"","species"
"138","Careproctus furcellus"
"139","Careproctus gilberti"
"140","Careproctus longifilis"
"141","Careproctus lycopersicus"
"142","Careproctus melanurus"
"143","Careproctus microstomus"
"144","Careproctus mollis"
"145","Careproctus oregonensis"
"146","Careproctus ostentum"
"147","Careproctus ovigerus"
"148","Careproctus phasma"
"149","Careproctus pycnosoma"
"150","Careproctus scottae"
"151","Careproctus simus"
"152","Careproctus spectrum"
"153","Caristius fasciatus"
"154","Caristius macropus"
"155","Cataetyx rubrirostris"
"156","Catostomus catostomus"
"157","Caulolatilus princeps"
"158","Caulophryne jordani"
"159","Caulophryne pelagica"
"160","Cebidichthys violaceus"
"161","Ceratoscopelus townsendi"
"162","Cetorhinus maximus"
"163","Chaenophryne draco"
"164","Chaenophryne longiceps"
"165","Chauliodus macouni"
"166","Cheilopogon pinnatibarbatus"
"167","Chesnonia verrucosa"
"168","Chiasmodon niger"
"169","Chilara taylori"
"170","Chirolophis decoratus"
"171","Chirolophis nugator"
"172","Chirolophis tarsodes"
"173","Chitonotus pugetensis"
"174","Chromis punctipinnis"
"175","Citharichthys sordidus"
"176","Citharichthys stigmaeus"
"177","Clevelandia ios"
"178","Clidoderma asperrimum"
"179","Clinocottus acuticeps"
"180","Clinocottus embryum"
"181","Clinocottus globiceps"
"182","Clinocottus recalvus"
"183","Clupea pallasii"
"184","Cololabis saira"
"185","Conocara salmoneum"
"186","Coregonus autumnalis"
"187","Coregonus laurettae"
"188","Coregonus pidschian"
"189","Coregonus sardinella"
"190","Coryphaena hippurus"
"191","Coryphaenoides acrolepis"
"192","Coryphaenoides armatus"
"193","Coryphaenoides cinereus"
"194","Coryphaenoides filifer"
"195","Coryphaenoides leptolepis"
"196","Coryphaenoides liocephalus"
"197","Coryphaenoides longifilis"
"198","Coryphaenoides spinulosus"
"199","Cryptacanthodes aleutensis"
"200","Cryptacanthodes giganteus"
"201","Crystallichthys cameliae"
"202","Crystallichthys cyclospilus"
"203","Crystallichthys mirabilis"
"204","Cyclothone acclinidens"
"205","Cyclothone atraria"
"206","Cyclothone pallida"
"207","Cyclothone pseudopallida"
"208","Cyclothone signata"
"209","Cyema atrum"
"210","Cymatogaster aggregata"
"211","Danaphos oculatus"
"212","Dasycottus setiger"
"213","Derepodichthys alepidotus"
"214","Diaphus theta"
"215","Dicrolene filamentosa"
"216","Dicrolene gregoryi"
"217","Dicrolene pullata"
"218","Diplophos taenia"
"219","Diretmoides pauciradiatus"
"220","Ditropichthys storeri"
"221","Dolicholagus longirostris"
"222","Dolichopteryx parini"
"223","Elassodiscus caudatus"
"224","Elassodiscus tremebundus"
"225","Electrona risso"
"226","Eleginus gracilis"
"227","Embassichthys bathybius"
"228","Embiotoca lateralis"
"229","Engraulis japonicus"
"230","Engraulis mordax"
"231","Enophrys bison"
"232","Enophrys diceraus"
"233","Enophrys lucasi"
"234","Entosphenus tridentatus"
"235","Eopsetta jordani"
"236","Eptatretus deani"
"237","Eptatretus stoutii"
"238","Erilepis zonifer"
"239","Eumesogrammus praecisus"
"240","Eumicrotremus andriashevi"
"241","Eumicrotremus asperrimus"
"242","Eumicrotremus barbatus"
"243","Eumicrotremus gyrinops"
"244","Eumicrotremus orbis"
"245","Eumicrotremus phrynoides"
"246","Eurymen gyrinus"
"247","Eustomias woollardi"
"248","Evermannella indica"
"249","Fodiator acutus"
"250","Gadus chalcogrammus"
"251","Gadus macrocephalus"
"252","Galeocerdo cuvier"
"253","Galeorhinus galeus"
"254","Gasterosteus aculeatus"
"255","Genioliparis ferox"
"256","Genyonemus lineatus"
"257","Gibbonsia metzi"
"258","Gibbonsia montereyensis"
"259","Gigantactis gargantua"
"260","Gigantactis macronema"
"261","Glyptocephalus zachirus"
"262","Gobiesox maeandricus"
"263","Gonostoma atlanticum"
"264","Gymnelus hemifasciatus"
"265","Gymnelus obscurus"
"266","Gymnelus popovi"
"267","Gymnelus viridis"
"268","Gymnocanthus detrisus"
"269","Gymnocanthus galeatus"
"270","Gymnocanthus pistilliger"
"271","Gymnoclinus cristulatus"
"272","Gyrinichthys minytremus"
"273","Halargyreus johnsonii"
"274","Hemilepidotus gilberti"
"275","Hemilepidotus hemilepidotus"
"276","Hemilepidotus jordani"
"277","Hemilepidotus papilio"
"278","Hemilepidotus spinosus"
"279","Hemilepidotus zapus"
"280","Hemitripterus bolini"
"281","Hemitripterus villosus"
"282","Heterodontus francisci"
"283","Hexagrammos decagrammus"
"284","Hexagrammos lagocephalus"
"285","Hexagrammos octogrammus"
"286","Hexagrammos stelleri"
"287","Hexanchus griseus"
"288","Hippoglossoides elassodon"
"289","Hippoglossoides robustus"
"290","Hippoglossus stenolepis"
"291","Histiobranchus bathybius"
"292","Holcomycteronus profundissimus"
"293","Holtbyrnia innesi"
"294","Holtbyrnia latifrons"
"295","Hydrolagus colliei"
"296","Hydrolagus melanophasma"
"297","Hygophum reinhardtii"
"298","Hypanus dipterurus"
"299","Hyperprosopon anale"
"300","Hyperprosopon argenteum"
"301","Hyperprosopon ellipticum"
"302","Hypomesus pretiosus"
"303","Hypsagonus quadricornis"
"304","Icelinus borealis"
"305","Icelinus burchami"
"306","Icelinus filamentosus"
"307","Icelinus fimbriatus"
"308","Icelinus tenuis"
"309","Icelus canaliculatus"
"310","Icelus euryops"
"311","Icelus spatula"
"312","Icelus spiniger"
"313","Icelus uncinalis"
"314","Ichthyococcus elongatus"
"315","Ichthyococcus irregularis"
"316","Icichthys lockingtoni"
"317","Icosteus aenigmaticus"
"318","Idiacanthus antrostomus"
"319","Isopsetta isolepis"
"320","Isurus oxyrinchus"
"321","Jordania zonope"
"322","Katsuwonus pelamis"
"323","Laemonema longipes"
"324","Lamna ditropis"
"325","Lampadena urophaos"
"326","Lampadena yaquinae"
"327","Lampanyctus acanthurus"
"328","Nannobrachium bristori"
"329","Lampanyctus jordani"
"330","Nannobrachium regale"
"331","Nannobrachium ritteri"
"332","Lampanyctus simulator"
"333","Lampetra ayresii"
"334","Lampris guttatus"
"335","Lepidogobius lepidus"
"336","Lepidopsetta bilineata"
"337","Lepidopsetta polyxystra"
"338","Lepidopus fitchi"
"339","Leptacanthichthys gracilispinis"
"340","Leptocephalus giganteus"
"341","Leptoclinus maculatus"
"342","Leptocottus armatus"
"343","Lestidiops ringens"
"344","Lestidiops sphyraenopsis"
"345","Lestidium atlanticum"
"346","Lethenteron camtschaticum"
"347","Lethotremus muticus"
"348","Leucicorus lusciosus"
"349","Leuroglossus callorhini"
"350","Leuroglossus schmidti"
"351","Leuroglossus stilbius"
"352","Limanda aspera"
"353","Limanda proboscidea"
"354","Linophryne coronata"
"355","Liopsetta glacialis"
"356","Liparis adiastolus"
"357","Liparis bathyarcticus"
"358","Liparis bristolensis"
"359","Liparis callyodon"
"360","Liparis catharus"
"361","Liparis cyclopus"
"362","Liparis dennyi"
"363","Liparis florae"
"364","Liparis fucensis"
"365","Liparis gibbus"
"366","Liparis marmoratus"
"367","Liparis megacephalus"
"368","Liparis micraspidophorus"
"369","Liparis mucosus"
"370","Liparis ochotensis"
"371","Liparis pulchellus"
"372","Liparis rutteri"
"373","Lipariscus nanus"
"374","Lipolagus ochotensis"
"375","Lophodolos acanthognathus"
"376","Lopholiparis flerxi"
"377","Loweina rara"
"378","Lucania parva"
"379","Lumpenella longirostris"
"380","Lumpenopsis hypochroma"
"381","Lumpenus fabricii"
"382","Lumpenus sagitta"
"383","Luvarus imperialis"
"384","Lycenchelys alta"
"385","Lycenchelys callista"
"386","Lycenchelys camchatica"
"387","Lycenchelys crotalinus"
"388","Lycenchelys jordani"
"389","Lycenchelys micropora"
"390","Lycenchelys pearcyi"
"391","Lycenchelys rassi"
"392","Lycenchelys ratmanovi"
"393","Lycenchelys rosea"
"394","Lycodapus dermatinus"
"395","Lycodapus endemoscotus"
"396","Lycodapus fierasfer"
"397","Lycodapus leptus"
"398","Lycodapus mandibularis"
"399","Lycodapus pachysoma"
"400","Lycodapus parviceps"
"401","Lycodapus poecilus"
"402","Lycodapus psarostomatus"
"403","Lycodes akuugun"
"404","Lycodes albolineatus"
"405","Lycodes beringi"
"406","Lycodes brevipes"
"407","Lycodes brunneofasciatus"
"408","Lycodes concolor"
"409","Ophthalmolycus amberensis"
"410","Lycodes cortezianus"
"411","Lycodes diapterus"
"412","Lycodes pacificus"
"413","Lycodes palearis"
"414","Lycodes polaris"
"415","Lycodes raridens"
"416","Lycodes turneri"
"417","Lyconema barbatum"
"418","Lyopsetta exilis"
"419","Macropinna microstoma"
"420","Magnisudis atlantica"
"421","Makaira nigricans"
"422","Malacocottus aleuticus"
"423","Malacocottus kincaidi"
"424","Malacocottus zonurus"
"425","Malacosteus niger"
"426","Mallotus villosus"
"427","Maulisia argipalla"
"428","Medialuna californiensis"
"429","Megalocottus platycephalus"
"430","Melamphaes lugubris"
"431","Melamphaes parvus"
"432","Melamphaes polylepis"
"433","Melanolagus bericoides"
"434","Melanonus zugmayeri"
"435","Melanostigma pammelas"
"436","Merluccius productus"
"437","Microcottus sellaris"
"438","Microgadus proximus"
"439","Microstomus pacificus"
"440","Mola mola"
"441","Morone saxatilis"
"442","Mustelus californicus"
"443","Mustelus henlei"
"444","Mustelus lunulatus"
"445","Myctophum nitidulum"
"446","Myliobatis californica"
"447","Myoxocephalus jaok"
"448","Myoxocephalus niger"
"449","Myoxocephalus polyacanthocephalus"
"450","Myoxocephalus quadricornis"
"451","Myoxocephalus scorpius"
"452","Myoxocephalus stelleri"
"453","Nalbantichthys elongatus"
"454","Nansenia candida"
"455","Narcetes stomias"
"456","Naucrates ductor"
"457","Nautichthys oculofasciatus"
"458","Nautichthys pribilovius"
"459","Nautichthys robustus"
"460","Nectoliparis pelagicus"
"461","Nemichthys larseni"
"462","Nemichthys scolopaceus"
"463","Neoclinus bryope"
"464","Neoscopelus macrolepidotus"
"465","Nezumia stelgidolepis"
"466","Notacanthus chemnitzii"
"467","Notophycis fitchi"
"468","Notorynchus cepedianus"
"469","Notoscopelus japonicus"
"470","Notoscopelus resplendens"
"471","Occella dodecaedron"
"472","Odontopyxis trispinosa"
"473","Oligocottus maculosus"
"474","Oligocottus rimensis"
"475","Oligocottus snyderi"
"476","Omosudis lowii"
"477","Oncorhynchus clarkii"
"478","Oncorhynchus gorbuscha"
"479","Oncorhynchus keta"
"480","Oncorhynchus kisutch"
"481","Oncorhynchus mykiss"
"482","Oncorhynchus nerka"
"483","Oncorhynchus tshawytscha"
"484","Oneirodes acanthias"
"485","Oneirodes bulbosus"
"486","Oneirodes eschrichtii"
"487","Oneirodes thompsoni"
"488","Opaeophacus acrogeneius"
"489","Ophichthus triserialis"
"490","Ophichthus zophochir"
"491","Ophiodon elongatus"
"492","Opisthocentrus ocellatus"
"493","Opostomias mitsuii"
"494","Osmerus dentex"
"495","Osmerus eperlanus"
"496","Osmerus mordax"
"497","Osteodiscus cascadiae"
"498","Oxylebius pictus"
"499","Pachycara bulbiceps"
"500","Pachycara gymninium"
"501","Pachycara lepinium"
"502","Pachystomias microdon"
"503","Pallasina barbata"
"504","Paralabrax clathratus"
"505","Paralichthys californicus"
"506","Paraliparis bullacephalus"
"507","Paraliparis cephalus"
"508","Paraliparis dactylosus"
"509","Paraliparis deani"
"510","Paraliparis holomelas"
"511","Paraliparis latifrons"
"512","Paraliparis megalopus"
"513","Paraliparis melanobranchus"
"514","Paraliparis mento"
"515","Paraliparis paucidens"
"516","Paraliparis pectoralis"
"517","Paraliparis penicillus"
"518","Paraliparis rosaceus"
"519","Paraliparis ulochir"
"520","Parataeniophorus brevis"
"521","Paricelinus hopliticus"
"522","Parophrys vetulus"
"523","Parvilux ingens"
"524","Pentaceros wheeleri"
"525","Peprilus simillimus"
"526","Percis japonica"
"527","Phallocottus obtusus"
"528","Phanerodon furcatus"
"529","Pholis clemensi"
"530","Pholis fasciata"
"531","Pholis laeta"
"532","Pholis ornata"
"533","Pholis schultzi"
"534","Photonectes margarita"
"535","Photostylus pycnopterus"
"536","Physiculus rastrelliger"
"537","Phytichthys chirus"
"538","Platichthys stellatus"
"539","Plectobranchus evides"
"540","Pleurogrammus monopterygius"
"541","Pleuronectes quadrituberculatus"
"542","Pleuronichthys coenosus"
"543","Pleuronichthys decurrens"
"544","Podothecus accipenserinus"
"545","Polyacanthonotus challengeri"
"546","Polypera greeni"
"547","Porichthys notatus"
"548","Poroclinus rothrocki"
"549","Porocottus mednius"
"550","Porocottus quadrifilis"
"551","Porogadus longiceps"
"552","Poromitra crassiceps"
"553","Poromitra cristiceps"
"554","Poromitra curilensis"
"555","Poromitra oscitans"
"556","Poromitra rugosa"
"557","Prionace glauca"
"558","Prionotus stephanophrys"
"559","Prognatholiparis ptychomandibularis"
"560","Protomyctophum crockeri"
"561","Protomyctophum thompsoni"
"562","Psenes maculatus"
"563","Psettichthys melanostictus"
"564","Pseudobathylagus milleri"
"565","Psychrolutes paradoxus"
"566","Psychrolutes phrictus"
"567","Psychrolutes sigalutes"
"568","Pteroplatytrygon violacea"
"569","Ptilichthys goodei"
"570","Pungitius pungitius"
"571","Radulinus asprellus"
"572","Radulinus boleoides"
"573","Rastrinus scutiger"
"574","Regalecus russelii"
"575","Reinhardtius hippoglossoides"
"576","Remora australis"
"577","Remora remora"
"578","Rhacochilus toxotes"
"579","Rhacochilus vacca"
"580","Rhadinesthes decimus"
"581","Rhamphocottus richardsonii"
"582","Rhinogobiops nicholsii"
"583","Rhinoliparis attenuatus"
"584","Rhinoliparis barbulifer"
"585","Rhodymenichthys dolichogaster"
"586","Rimicola muscarum"
"587","Ronquilus jordani"
"588","Rouleina attrita"
"589","Ruscarius meanyi"
"590","Sagamichthys abei"
"591","Salmo salar"
"592","Salmo trutta"
"593","Salvelinus alpinus"
"594","Salvelinus confluentus"
"595","Salvelinus fontinalis"
"596","Salvelinus malma"
"597","Sarda chiliensis"
"598","Sarda lineolata"
"599","Sardinops sagax"
"600","Sarritor frenatus"
"601","Sarritor leptorhynchus"
"602","Scomber japonicus"
"603","Scopeloberyx robustus"
"604","Scopelogadus bispinosus"
"605","Scopelosaurus adleri"
"606","Scopelosaurus harryi"
"607","Scorpaenichthys marmoratus"
"608","Scytalina cerdale"
"609","Sebastes aleutianus"
"610","Sebastes alutus"
"611","Sebastes auriculatus"
"612","Sebastes aurora"
"613","Sebastes babcocki"
"614","Sebastes borealis"
"615","Sebastes brevispinis"
"616","Sebastes carnatus"
"617","Sebastes caurinus"
"618","Sebastes chlorostictus"
"619","Sebastes chrysomelas"
"620","Sebastes ciliatus"
"621","Sebastes crameri"
"622","Sebastes diaconus"
"623","Sebastes diploproa"
"624","Sebastes elongatus"
"625","Sebastes emphaeus"
"626","Sebastes entomelas"
"627","Sebastes flavidus"
"628","Sebastes goodei"
"629","Sebastes helvomaculatus"
"630","Sebastes jordani"
"631","Sebastes maliger"
"632","Sebastes melanops"
"633","Sebastes melanostictus"
"634","Sebastes melanostomus"
"635","Sebastes miniatus"
"636","Sebastes mystinus"
"637","Sebastes nebulosus"
"638","Sebastes nigrocinctus"
"639","Sebastes paucispinis"
"640","Sebastes pinniger"
"641","Sebastes polyspinis"
"642","Sebastes proriger"
"643","Sebastes rastrelliger"
"644","Sebastes reedi"
"645","Sebastes rosaceus"
"646","Sebastes ruberrimus"
"647","Sebastes saxicola"
"648","Sebastes serranoides"
"649","Sebastes variabilis"
"650","Sebastes variegatus"
"651","Sebastes wilsoni"
"652","Sebastes zacentrus"
"653","Sebastolobus alascanus"
"654","Sebastolobus altivelis"
"655","Sebastolobus macrochir"
"656","Seriola lalandi"
"657","Seriphus politus"
"658","Serrivomer jesperseni"
"659","Sigmistes caulias"
"660","Sigmistes smithi"
"661","Sigmops gracilis"
"662","Somniosus pacificus"
"663","Spectrunculus crassus"
"664","Spectrunculus grandis"
"665","Sphoeroides lispus"
"666","Sphyraena argentea"
"667","Spirinchus starksi"
"668","Spirinchus thaleichthys"
"669","Squalus acanthias"
"670","Squalus suckleyi"
"671","Squatina californica"
"672","Stelgistrum concinnum"
"673","Stellerina xyosterna"
"674","Stenobrachius leucopsarus"
"675","Stenobrachius nannochir"
"676","Stereolepis gigas"
"677","Sternoptyx diaphana"
"678","Sternoptyx pseudobscura"
"679","Stichaeus punctatus"
"680","Symbolophorus californiensis"
"681","Symphurus atricaudus"
"682","Synchirus gilli"
"683","Syngnathus leptorhynchus"
"684","Synodus lucioceps"
"685","Taaningichthys bathyphilus"
"686","Tactostoma macropus"
"687","Talismania bifurcata"
"688","Taractes asper"
"689","Taranetzella lyoderma"
"690","Tarletonbeania crenularis"
"691","Tarletonbeania taylori"
"692","Temnocora candida"
"693","Tetragonurus cuvieri"
"694","Tetronarce californica"
"695","Thaleichthys pacificus"
"696","Thunnus alalunga"
"697","Thunnus obesus"
"698","Thunnus orientalis"
"699","Thyriscus anoplus"
"700","Trachipterus altivelis"
"701","Trachurus symmetricus"
"702","Triakis semifasciata"
"703","Trichocottus brashnikovi"
"704","Trichodon trichodon"
"705","Triglops forficatus"
"706","Triglops macellus"
"707","Triglops metopias"
"708","Triglops pingelii"
"709","Triglops scepticus"
"710","Triglops xenostethus"
"711","Uraspis helvola"
"712","Urolophus halleri"
"713","Valenciennellus tripunctulatus"
"714","Venefica tentaculata"
"715","Xeneretmus latifrons"
"716","Xeneretmus leiops"
"717","Xeneretmus triacanthus"
"718","Xenomystax atrarius"
"719","Xiphias gladius"
"720","Xiphister atropurpureus"
"721","Xiphister mucosus"
"722","Zaniolepis frenata"
"723","Zaniolepis latipinnis"
"724","Zaprora silenus"
"725","Zesticelus profundorum"
"726","Sebastes rufus"
"727","Cyprinus carpio"
"728","Raja rhina"
"729","Raja stellulata"
"730","Careproctus canus"
"731","Sebastes ovalis"
"732","Sebastes rubrivinctus"
"733","Kathetostoma averruncus"
"734","Aphanopus intermedius"
"735","Kajikia audax"
"736","Sebastes semicinctus"
"737","Raja inornata"
"738","Chaenophryne melanorhabdus"
"739","Protomyctophum arcticum"
"740","Soldatovia polyactocephala"
"741","Icelinus oculatus"
"742","Ammodytes tobianus"
"743","Sebastes levis"
"744","Stegastes planifrons"
"745","Cottus asper"
"746","Molva molva"
"747","Thalassenchelys coheni"
"748","Congriscus megastomus"
"749","Cottus aleuticus"
"750","Antimora rostrata"
"751","Eurypharynx pelecanoides"
"752","Stylephorus chordatus"
"753","Cryptopsaras couesii"
"754","Sternoptyx obscura"
"755","Lycenchelys paxillus"
"756","Paraliparis operculosus"
"757","Rhincodon typus"
"758","Scopelengys tristis"
"759","Mylocheilus caurinus"
"760","Rondeletia loricata"
"761","Venefica procera"
"762","Melanocetus johnsonii"
"763","Serrivomer sector"
"764","Nansenia crassa"
"765","Acipenser sturio"
"766","Fundulus diaphanus"
"767","Stegastes partitus"
"768","Plectroglyphidodon sindonis"
"769","Prosopium cylindraceum"
"770","Bajacalifornia erimoensis"
"771","Pleuronichthys verticalis"
"772","Epinephelus areolatus"
"773","Howella brodiei"
"774","Lutjanus fulvus"
"775","Careproctus rastrinus"
"776","Merluccius bilinearis"
"777","Lamprogrammus niger"
"778","Aphareus rutilans"
"779","Bassozetus elongatus"
"780","Liparis liparis"
"781","Anotopterus pharao"
"782","Pentaceros richardsoni"
"783","Micropterus salmoides"
"784","Ceratias holboelli"
"785","Triphoturus mexicanus"
"786","Syngnathus californiensis"
"787","Mola tecta"
"788","Lepomis macrochirus"
"789","Gasterosteus microcephalus"
"790","Clupea harengus"
"791","Cottus gulosus"
"792","Ulvicola sanctaerosae"
"793","Ameiurus nebulosus"
"794","Perca flavescens"
"795","Cyprinus rubrofuscus"
"796","Dallia pectoralis"
"797","Gyrinomimus grahami"
"798","Careproctus georgianus"
"799","Kali indica"
"800","Triglops jordani"
"801","Brama brama"
"802","Cottus rhotheus"
"803","Cottus perplexus"
"804","Catostomus macrocheilus"
"805","Leptochilichthys agassizii"
"806","Sebastes fuscescens"
"807","Chauliodus sloani"
"808","Diodon hystrix"
"809","Nezumia liolepis"
"810","Cyclothone microdon"
"811","Leucoraja erinacea"
"812","Eumicrotremus spinosus"
"813","Dorosoma cepedianum"
"814","Pristigenys serrula"
"815","Aphanopus carbo"
"816","Neonesthes capensis"
"817","Borostomias panamensis"
"818","Dolopichthys danae"
"819","Paraliparis calidus"
"820","Benthodesmus simonyi"
"821","Echinorhinus cookei"
"822","Cetostoma regani"
"823","Rondeletia bicolor"
"824","Pseudupeneus grandisquamis"
"825","Howella sherborni"
"826","Alectis ciliaris"
"827","Lota lota"
"828","Carassius auratus"
"829","Percopsis transmontana"
"830","Lepomis gibbosus"
"831","Gadus morhua"
"832","Paraplagusia bilineata"
"833","Chromobotia macracanthus"
"834","Trichopodus leerii"
"835","Kali kerberti"
"836","Cottus cognatus"
"837","Myoxocephalus scorpioides"
"838","Lumpenus lampretaeformis"
"839","Mentodus eubranchus"
"840","Cottus confusus"
"841","Ptychocheilus oregonensis"
"842","Ellochelon vaigiensis"
"843","Microstoma microstoma"
"844","Liparis fabricii"
"845","Porichthys myriaster"
"846","Novumbra hubbsi"
"847","Cyclothone alba"
"848","Acrocheilus alutaceus"
"849","Gymnocanthus herzensteini"
"850","Semotilus corporalis"
"851","Monopterus cuchia"
"852","Diaphus rafinesquii"
"853","Percina sciera"
"854","Hampala bimaculata"
"855","Hippocampus erectus"
"856","Oligocottus borealis"
"857","Icelinus strabo"
"858","Artedius asperulus"
"859","Fistularia petimba"
"860","Paramonacanthus choirocephalus"
"861","Rhamdia quelen"
"862","Nezumia bairdii"
"863","Paramonacanthus sulcatus"
"864","Acanthostracion quadricornis"
"865","Harengula humeralis"
"866","Harengula jaguana"
"867","Sphoeroides nephelus"
"868","Etropus crossotus"
"869","Bathyraja maculata"
"870","Porichthys porosissimus"
"871","Thunnus thynnus"
"872","Orthonopias triacis"
