query,phylum,class,order,family,genus
Asternoseius,Arthropoda,Arachnida,Mesostigmata,Asternoseiidae,Asternoseius
Megisthanus floridanus,Arthropoda,Arachnida,Mesostigmata,Megisthanidae,Megisthanus
Microgynium incisum,Arthropoda,Arachnida,Mesostigmata,Microgyniidae,Microgynium
Prodinychus,Arthropoda,Arachnida,Mesostigmata,Urodinychidae,Prodinychus
Discozercon,Arthropoda,Arachnida,Mesostigmata,Discozerconidae,Discozercon
Narceoheterozercon ohioensis,Arthropoda,Arachnida,Mesostigmata,Heterozerconidae,Narceoheterozercon
Asternolaelaps,Arthropoda,Arachnida,Mesostigmata,Ichthyostomatogasteridae,Asternolaelaps
Sejus porosus,Arthropoda,Arachnida,Mesostigmata,Sejidae,Sejus
Sejus carolinensis,Arthropoda,Arachnida,Mesostigmata,Sejidae,Sejus
Uropodella laciniata,Arthropoda,Arachnida,Mesostigmata,Uropodellidae,Uropodella
Proarctacarus oregonensis,Arthropoda,Arachnida,Mesostigmata,Arctacaridae,Proarctacarus
Potamonautes (subgenus in family Potamidae,Arthropoda,Malacostraca,Decapoda,Potamidae,Potamon
Potamonautes oderhi,Arthropoda,Malacostraca,Decapoda,Potamonautidae,Potamonautes
Potamonautes rayboldi,Arthropoda,Malacostraca,Decapoda,Potamonautidae,Potamonautes
Parathelphusa (genus in superfamily Gecarcinucoidea,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Parathelphusa
Phricothelphusa limula,Arthropoda,Malacostraca,Decapoda,Parathelphusidae,Phricothelphusa
Floracarus perrepae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Floracarus
Smeringurus mesaensis,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Smeringurus
Barytelphusa (genus in family Gecarcinucidae,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Barytelphusa
Acanthogammarus victorii,Arthropoda,Malacostraca,Amphipoda,Acanthogammaridae,Acanthogammarus
Eulimnogammarus inconspicuous,Arthropoda,Malacostraca,Amphipoda,Eulimnogammaridae,Eulimnogammarus
Melittina,Arthropoda,Insecta,Lepidoptera,Sesiidae,Melittina
Onychogammarus pictoides,Arthropoda,Malacostraca,Amphipoda,Acanthogammaridae,Onychogammarus
Branchinella affinis,Arthropoda,Branchiopoda,Anostraca,Thamnocephalidae,Branchinella
Branchinella longirostris,Arthropoda,Branchiopoda,Anostraca,Thamnocephalidae,Branchinella
Homalonychus theologus,Arthropoda,Arachnida,Araneae,Homalonychidae,Homalonychus
Homalonychus selenopoides,Arthropoda,Arachnida,Araneae,Homalonychidae,Homalonychus
Liocheles,Arthropoda,Arachnida,Scorpiones,Hemiscorpiidae,Liocheles
Brachypelma albopilosum,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma
Sericopelma angustum,Arthropoda,Arachnida,Araneae,Theraphosidae,Sericopelma
Brachypelma boehmei,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma
Brachypelma emelia,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma
Brachypelma klaasi,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma
Brachypelma smithi,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma
Brachypelma baumgarteni,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma
Pyemotes dryas,Arthropoda,Arachnida,Trombidiformes,Pyemotidae,Pyemotes
Pyemotes,Arthropoda,Arachnida,Trombidiformes,Pyemotidae,Pyemotes
Eurycercus longirostris,Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Eurycercus
Eurycercus glacialis,Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Eurycercus
Metaltella simoni,Arthropoda,Arachnida,Araneae,Amphinectidae,Metaltella
Tengella radiata,Arthropoda,Arachnida,Araneae,Zoropsidae,Tengella
Megadictyna,Arthropoda,Arachnida,Araneae,Nicodamidae,Megadictyna
Neolana dalmasi,Arthropoda,Arachnida,Araneae,Neolanidae,Neolana
Eriauchenius voronakely,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius halambohitra,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius namoroka,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius spiceri,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius gracilicollis,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius lavatenda,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius borimontsina,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius tsingyensis,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius anabohazo,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius griswoldi,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius legendrei,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius vadoni,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius jeanneli,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius workmani,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Eriauchenius bourgini,Arthropoda,Arachnida,Araneae,Archaeidae,Eriauchenius
Afrarchaea,Arthropoda,Arachnida,Araneae,Archaeidae,Afrarchaea
Eresus cinnaberinus,Arthropoda,Arachnida,Araneae,Eresidae,Eresus
Eresus walckenaeri,Arthropoda,Arachnida,Araneae,Eresidae,Eresus
Stegodyphus bicolor,Arthropoda,Arachnida,Araneae,Eresidae,Stegodyphus
Stegodyphus dumicola,Arthropoda,Arachnida,Araneae,Eresidae,Stegodyphus
Stegodyphus tentoriicola,Arthropoda,Arachnida,Araneae,Eresidae,Stegodyphus
Stegodyphus dufouri,Arthropoda,Arachnida,Araneae,Eresidae,Stegodyphus
Stegodyphus mimosarum,Arthropoda,Arachnida,Araneae,Eresidae,Stegodyphus
Stegodyphus africanus,Arthropoda,Arachnida,Araneae,Eresidae,Stegodyphus
Stegodyphus sarasinorum,Arthropoda,Arachnida,Araneae,Eresidae,Stegodyphus
Gandanameno spenceri,Arthropoda,Arachnida,Araneae,Eresidae,Gandanameno
Uroctea durandi,Arthropoda,Arachnida,Araneae,Oecobiidae,Uroctea
Pimoa clavata,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Pimoa reniformis,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Pimoa trifurcata,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Weintrauboa chikunii,Arthropoda,Arachnida,Araneae,Pimoidae,Weintrauboa
Weintrauboa,Arthropoda,Arachnida,Araneae,Pimoidae,Weintrauboa
Pimoa breviata,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Pimoa curvata,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Pimoa jellisoni,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Pimoa haden,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Pimoa edenticulata,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Pimoa lihengae,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Pimoa anatolica,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Raoiella indica,Arthropoda,Arachnida,Trombidiformes,Tenuipalpidae,Raoiella
Branchinella occidentalis,Arthropoda,Branchiopoda,Anostraca,Thamnocephalidae,Branchinella
Galendromus occidentalis,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Galendromus
Kampimodromus corylosus,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Kampimodromus
Kampimodromus aberrans,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Kampimodromus
Kampimodromus ericinus,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Kampimodromus
Kampimodromus hmiminai,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Kampimodromus
Kampimodromus langei,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Kampimodromus
Aceria eximia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria
Aceria tulipae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria
Oxyopes birmanicus,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes
Atractides latisetus,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,Atractides
Clitaetra,Arthropoda,Arachnida,Araneae,Nephilidae,Clitaetra
Epeirotypus brevipes,Arthropoda,Arachnida,Araneae,Theridiosomatidae,Epeirotypus
Herennia,Arthropoda,Arachnida,Araneae,Nephilidae,Herennia
Trichonephila clavipes,Arthropoda,Arachnida,Araneae,Nephilidae,Trichonephila
Uloborus glomosus,Arthropoda,Arachnida,Araneae,Uloboridae,Uloborus
Pseudocellus pearsei,Arthropoda,Arachnida,Ricinulei,NULL,Pseudocellus
Fumontana deprehendor,Arthropoda,Arachnida,Opiliones,Triaenonychidae,Fumontana
Monomontia,Arthropoda,Arachnida,Opiliones,Triaenonychidae,Monomontia
Sclerobunus nondimorphicus,Arthropoda,Arachnida,Opiliones,Triaenonychidae,Sclerobunus
Zuma acuta,Arthropoda,Arachnida,Opiliones,Triaenonychidae,Zuma
Phallocryptus spinosa,Arthropoda,Branchiopoda,Anostraca,Thamnocephalidae,Phallocryptus
Proctophyllodes cetti,Arthropoda,Arachnida,Sarcoptiformes,Proctophyllodidae,Proctophyllodes
Leiobunum vittatum,Arthropoda,Arachnida,Opiliones,Leiobunidae,Leiobunum
Ingrassia,Arthropoda,Arachnida,Sarcoptiformes,Xolalgidae,Ingrassia
Glaucalges,Arthropoda,Arachnida,Sarcoptiformes,Xolalgidae,Glaucalges
Glaucalges attenuatus,Arthropoda,Arachnida,Sarcoptiformes,Xolalgidae,Glaucalges
Brignolizomus woodwardi,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Brignolizomus
Bamazomus,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Bamazomus
Draculoides bramstokeri,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Draculoides
Draculoides julianneae,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Draculoides
Draculoides vinei,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Draculoides
Paradraculoides,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Paradraculoides
Paradraculoides anachoretus,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Paradraculoides
Paradraculoides bythius,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Paradraculoides
Paradraculoides gnophicola,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Paradraculoides
Paradraculoides kryptus,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Paradraculoides
Draculoides mesozeirus,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Draculoides
Proctophyllodes,Arthropoda,Arachnida,Sarcoptiformes,Proctophyllodidae,Proctophyllodes
Uroctonus mordax,Arthropoda,Arachnida,Scorpiones,Chactidae,Uroctonus
Feaella anderseni,Arthropoda,Arachnida,Pseudoscorpiones,Feaellidae,Feaella
Pseudogarypus bicornis,Arthropoda,Arachnida,Pseudoscorpiones,Pseudogarypidae,Pseudogarypus
Neopseudogarypus scutellatus,Arthropoda,Arachnida,Pseudoscorpiones,Pseudogarypidae,Neopseudogarypus
Afrochthonius godfreyi,Arthropoda,Arachnida,Pseudoscorpiones,Pseudotyrannochthoniidae,Afrochthonius
Pseudotyrannochthonius,Arthropoda,Arachnida,Pseudoscorpiones,Pseudotyrannochthoniidae,Pseudotyrannochthonius
Selachochthonius,Arthropoda,Arachnida,Pseudoscorpiones,Pseudotyrannochthoniidae,Selachochthonius
Lechytia hoffi,Arthropoda,Arachnida,Pseudoscorpiones,Lechytiidae,Lechytia
Anaulacodithella,Arthropoda,Arachnida,Pseudoscorpiones,Tridenchthoniidae,Anaulacodithella
Cyclatemnus,Arthropoda,Arachnida,Pseudoscorpiones,Atemnidae,Cyclatemnus
Stenatemnus,Arthropoda,Arachnida,Pseudoscorpiones,Atemnidae,Stenatemnus
Titanatemnus,Arthropoda,Arachnida,Pseudoscorpiones,Atemnidae,Titanatemnus
Oratemnus curtus,Arthropoda,Arachnida,Pseudoscorpiones,Atemnidae,Oratemnus
Caecatemnus,Arthropoda,Arachnida,Pseudoscorpiones,Atemnidae,Caecatemnus
Miratemnus,Arthropoda,Arachnida,Pseudoscorpiones,Atemnidae,Miratemnus
Mirobisium,Arthropoda,Arachnida,Pseudoscorpiones,Gymnobisiidae,Mirobisium
Ideobisium,Arthropoda,Arachnida,Pseudoscorpiones,Syarinidae,Ideobisium
Syarinus,Arthropoda,Arachnida,Pseudoscorpiones,Syarinidae,Syarinus
Chitrella cala,Arthropoda,Arachnida,Pseudoscorpiones,Syarinidae,Chitrella
Nannobisium,Arthropoda,Arachnida,Pseudoscorpiones,Syarinidae,Nannobisium
Ideoblothrus,Arthropoda,Arachnida,Pseudoscorpiones,Syarinidae,Ideoblothrus
Larca lata,Arthropoda,Arachnida,Pseudoscorpiones,Larcidae,Larca
Indohya (genus in subphylum Chelicerata,Arthropoda,Arachnida,Pseudoscorpiones,Hyidae,Indohya
Protogarypinus giganteus,Arthropoda,Arachnida,Pseudoscorpiones,Garypinidae,Protogarypinus
Pseudogarypinus cooperi,Arthropoda,Arachnida,Pseudoscorpiones,Garypinidae,Pseudogarypinus
Pseudalbiorix veracruzensis,Arthropoda,Arachnida,Pseudoscorpiones,Ideoroncidae,Pseudalbiorix
Afrosternophorus,Arthropoda,Arachnida,Pseudoscorpiones,Sternophoridae,Afrosternophorus
Garyops depressus,Arthropoda,Arachnida,Pseudoscorpiones,Sternophoridae,Garyops
Cheiridiinae,Arthropoda,Arachnida,Pseudoscorpiones,Cheiridiidae,NULL
Withius,Arthropoda,Arachnida,Pseudoscorpiones,Withiidae,Withius
Dolichotetranychus,Arthropoda,Arachnida,Trombidiformes,Tenuipalpidae,Dolichotetranychus
Leptodiaptomus garciai,Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Leptodiaptomus
Domitius lusitanicus,Arthropoda,Arachnida,Araneae,Nesticidae,Domitius
Domitius baeticus,Arthropoda,Arachnida,Araneae,Nesticidae,Domitius
Kryptonesticus eremita,Arthropoda,Arachnida,Araneae,Nesticidae,Kryptonesticus
Eyndhovenia euryalis,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Eyndhovenia
Spinturnix kolenatii,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix helvetiae,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix acuminata,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix mystacina,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix plecotina,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix emarginata,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix andegavinus,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix myoti,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix bechsteini,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix psi,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Spinturnix punctata,Arthropoda,Arachnida,Mesostigmata,Spinturnicidae,Spinturnix
Sicarius rupestris,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius
Sicarius hahni,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius
Sicarius damarensis,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius
Sicarius dolichocephalus,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius
Sicarius (genus in Panarthropoda,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius
Sicarius terrosus,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius
Sicarius rugosus,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius
Sicarius patagonicus,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius
Izithunzi capense,Arthropoda,Arachnida,Araneae,Drymusidae,Izithunzi
Drymusa serrana,Arthropoda,Arachnida,Araneae,Drymusidae,Drymusa
Drymusa dinora,Arthropoda,Arachnida,Araneae,Drymusidae,Drymusa
Plectreurys,Arthropoda,Arachnida,Araneae,Plectreuridae,Plectreurys
Micromegistus gourlayi,Arthropoda,Arachnida,Mesostigmata,Paratennulidae,Micromegistus
Sennertia alfkeni,Arthropoda,Arachnida,Sarcoptiformes,Chaetodactylidae,Sennertia
Dermatophagoides pteronyssinus,Arthropoda,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides
Rhinonyssus himantopus,Arthropoda,Arachnida,Mesostigmata,Rhinonyssidae,Rhinonyssus
Rhinonyssus rhinolethrum,Arthropoda,Arachnida,Mesostigmata,Rhinonyssidae,Rhinonyssus
Cambarellus shufeldtii,Arthropoda,Malacostraca,Decapoda,Cambaridae,Cambarellus
Steganacarus magnus,Arthropoda,Arachnida,Sarcoptiformes,Steganacaridae,Steganacarus
Scorpio birulai,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Scorpio
Scorpio maurus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Scorpio
Scorpio fuliginosus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Scorpio
Damon diadema,Arthropoda,Arachnida,Amblypygi,Phrynichidae,Damon
Cybaeota,Arthropoda,Arachnida,Araneae,Cybaeidae,Cybaeota
Cybaeus giganteus,Arthropoda,Arachnida,Araneae,Cybaeidae,Cybaeus
Cybaeus patritus,Arthropoda,Arachnida,Araneae,Cybaeidae,Cybaeus
Cybaeus angustiarum,Arthropoda,Arachnida,Araneae,Cybaeidae,Cybaeus
