query,phylum,class,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Nephasoma columbaris,Annelida,NA,Golfingiidae,NA,2032,Golfingiidae,"Stephen & Edmonds, 1972",accepted,NA,Family,2032,Golfingiidae,"Stephen & Edmonds, 1972",1268,Animalia,Sipuncula,NA,1,0,0,0,NA,exact
Hydroides triversiculosa,Annelida,Polychaeta,Serpulidae,NA,988,Serpulidae,"Rafinesque, 1815",accepted,NA,Family,988,Serpulidae,"Rafinesque, 1815",901,Animalia,Sabellida,NA,1,1,1,0,0,exact
Euclymene santandarensis,Annelida,Polychaeta,Maldanidae,NA,923,Maldanidae,"Malmgren, 1867",accepted,NA,Family,923,Maldanidae,"Malmgren, 1867",183607,Animalia,NA,NA,1,0,0,0,0,exact
Chamaedrilus lapponicus,Annelida,Clitellata,Enchytraeidae,NA,2038,Enchytraeidae,"d'Udekem, 1855",accepted,NA,Family,2038,Enchytraeidae,"d'Udekem, 1855",468017,Animalia,Enchytraeida,NA,1,1,1,1,NA,exact
Notopharyngoides aruensis,Annelida,NA,Myzostomatidae,NA,22609,Myzostomatidae,"Benham, 1896",accepted,NA,Family,22609,Myzostomatidae,"Benham, 1896",233983,Animalia,Myzostomida,NA,1,0,0,0,0,exact
Hypomyzostoma nanseni,Annelida,NA,Myzostomatidae,NA,22609,Myzostomatidae,"Benham, 1896",accepted,NA,Family,22609,Myzostomatidae,"Benham, 1896",233983,Animalia,Myzostomida,NA,1,0,0,0,0,exact
Syllis magellanica,Annelida,Polychaeta,Syllidae,NA,948,Syllidae,"Grube, 1850",accepted,NA,Family,948,Syllidae,"Grube, 1850",928,Animalia,Phyllodocida,NA,1,0,0,0,0,exact
Treadwellius bifidus,Annelida,Polychaeta,Flabelligeridae,NA,976,Flabelligeridae,"de Saint-Joseph, 1894",accepted,NA,Family,976,Flabelligeridae,"de Saint-Joseph, 1894",155087,Animalia,Terebellida,NA,1,0,0,0,0,exact
Myrianida paradesi,Annelida,Polychaeta,Syllidae,NA,948,Syllidae,"Grube, 1850",accepted,NA,Family,948,Syllidae,"Grube, 1850",928,Animalia,Phyllodocida,NA,1,0,0,0,0,exact
Neanthes wilsonchani,Annelida,Polychaeta,Nereididae,NA,22496,Nereididae,"Blainville, 1818",accepted,NA,Family,22496,Nereididae,"Blainville, 1818",928,Animalia,Phyllodocida,NA,1,1,1,1,0,exact
Enchytraeus polatdemiri,Annelida,Clitellata,Enchytraeidae,NA,2038,Enchytraeidae,"d'Udekem, 1855",accepted,NA,Family,2038,Enchytraeidae,"d'Udekem, 1855",468017,Animalia,Enchytraeida,NA,1,1,1,1,NA,exact
Ostreobdella californiana,Annelida,Clitellata,Piscicolidae,NA,2043,Piscicolidae,"Johnston, 1865",accepted,NA,Family,2043,Piscicolidae,"Johnston, 1865",2117,Animalia,Rhynchobdellida,NA,1,1,1,0,NA,exact
Heptacyclus diminutus,Annelida,Clitellata,Piscicolidae,NA,2043,Piscicolidae,"Johnston, 1865",accepted,NA,Family,2043,Piscicolidae,"Johnston, 1865",2117,Animalia,Rhynchobdellida,NA,1,1,1,0,NA,exact
Cambarincola holti,Annelida,Clitellata,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Branchiobdellida,Cambarincola,NA,NA,NA,NA,NA,NA
Cambarincola gracilis,Annelida,Clitellata,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Branchiobdellida,Cambarincola,NA,NA,NA,NA,NA,NA
Cambarincola mesochoreus,Annelida,Clitellata,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Branchiobdellida,Cambarincola,NA,NA,NA,NA,NA,NA
Cambarincola montanus,Annelida,Clitellata,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Branchiobdellida,Cambarincola,NA,NA,NA,NA,NA,NA
Cambarincola pamelae,Annelida,Clitellata,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Branchiobdellida,Cambarincola,NA,NA,NA,NA,NA,NA
Cambarincola philadelphicus,Annelida,Clitellata,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Branchiobdellida,Cambarincola,NA,NA,NA,NA,NA,NA
Phascolion cryptum,Annelida,Polychaeta,Phascolionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Golfingiida,Phascolion,NA,NA,NA,NA,NA,NA
Phascolion psammophilus,Annelida,Polychaeta,Phascolionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Golfingiida,Phascolion,NA,NA,NA,NA,NA,NA
Themiste dyscritum,Annelida,Polychaeta,Themistidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Golfingiida,Themiste,NA,NA,NA,NA,NA,NA
Phascolion gerardi,Annelida,Polychaeta,Phascolionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Golfingiida,Phascolion,NA,NA,NA,NA,NA,NA
