species
Abraliopsis pfefferi
Chiromantes buettikoferi
Chironomus dorsalis Auct
Chironomus mendax
Chloebia gouldiae
Chloebius psittacinus
Chlorepyris
Chlorodiella longimana
Chloropipo unicolor
Chlorostrymon maesites
Choanopomops graminosum
Choleoeimeria taggarti
Chroantha ornatula
Chromatochlamys muscorum
Chromodorididae gen
Chrysis brasiliana
Chryso
Chrysoritis azurius
Chrysoritis beulah
Chrysoritis braueri
Chrysoritis irene
Chrysoritis lyndseyae
Chrysoritis midas
Chrysoritis natalensis
Chrysoritis pelion
Chrysoritis penningtoni
Chrysoritis perseus
Chrysoritis plutus
Chrysoritis trimeni
Chusqueaspis patriciae
Chyptodes dejeani
Cigaritis acamas
Cigaritis takanonis
Cigaritis vulcanus
Cinguloterebra fenestrata
Cintractia sorghi
Cinygmina furcata
Circe nummulina
Circeida mutifascia
Circinaria hoffmanniana
Cladopathes cf
Cladophialophora minourae
Cladophialophora proteae
Cladosporium effusum
Clanga clanga
Clanga pomarina
Clastobryellina ceylonensis
Claudopus
Clausinella brongniartii
Clavariadelphus lovejoyae
Clavulina cristata
Clavus viduus
Clinostomum sinensis
Clitopilus hirneolus
Clonostachys pityrodes
Clubiona reichlini
Clupeidae spn
Clypeomorus humilis
Clypeostroma spilomeum
Cochlostyla collodes
Cochlostyla daphnis
Cochlostyla portii
Cochlostyla ticaonica
Cochylis amoenana
Coelatura stanleyvillensis
Coenotephria tophaceataAHSp
Cogia caicus
Coix lacryma
Colaspidema atrum
Collemopsidium pelvetiae
Colobopsis vitrea
Colopsus cancellatus
Colopsus ferruginus
Colopsus magnus
Colubraria reticulata
Cominella acuminata
Comostola pyrrhogona
Conasprella coletteae
Congopanchax brichardi
Conotrema stictideum
Contracaecum ogmorhini Australia
Contracaecum ogmorhini Pacific Canada
Contracaecum ogmorhini South Africa
Contracaecum osculatum A sensu Nascetti et al
Contracaecum osculatum B sensu Nascetti et al
Contracaecum osculatum C sensu Nascetti et al
Contracaecum rudolphii A Bullini et al
Contracaecum rudolphii B Bullini et al
Contradens crossei
Contradens misellus
Conus cacao
Conus iberogermanicus
Corallicolida
Corallina maxima
Coralliophila abbreviata
Cordyceps cicadae
Corinectria fuckeliana
Coriolopsis retropicta
Coriolopsis sanguinaria
Coriolopsis trogii
Cortinarius duracinus
Cortinarius russeoides
Cosmocerca simile
Cosmolaelaps vacua
Cosmospora gigas
Cossypha ansorgei
Costacallista erycina
Costacallista lilacina
Cottocomephorus comephoroides
Crangon abyssorum
Crangon communis
Crassiphycus crassissimus
Crassostrea gasar
Crassostrea gigas
Crassostrea iredalei
Crassostrea madrasensis
Crassostrea talonata
Crassostrea zhanjiangensis
Crematogaster dentata
Crenatula avicularis
Crenavolva chiapponii
Crenicichla biocellata
Crenicichla elegans
Crenicichla obtusirostris
Crepipatella fecunda
Criconemoides rotundicaudatus
Cricotopus lebetis
Crinula caliciiformis
Criorhina shirakii
Crossogale hantu
Cryphia orthogramma
Ctenocardia robillardi
Culapa amoena
Culapa bisaya
Culapa kina
Culapa mnasicles
Culapa tagala
Culicidae Ae
Culter compressocorpus
Cumopsis goodsiri
Cunninghamella bertholletiae
Curruca curruca
Curruca inornata
Cyanidiococcus yangmingshanensis
Cyanoderma erythropterum
Cyclocheilichthys repasson
Cyclocorinae
Cyclonaias mortoni
Cyclonaias refulgens
Cyerce habanensis
Cygnus bewickii
Cylindrocarpon cylindroides
Cyllopsis pyracmon
Cymatium cingulatum
Cynandrocerus antennalis
Cyornis olivaceus
Cypraea gracilis
Cyrto
Cystoderma granulosum
Cystolepiota cystidiosa
Dacrymyces estonicus
Dacrymyces pinacearum
Dacrysoma usambarensis
Dactylellina leptospora
Daedalea modesta
Daedalea sprucei
Dalla superior
Damithrax spinosissimus
Daphniola graeca
Deima validum validum
Delacourella capistrata
Delectopecten randolphi
Delphinidae gen
Dendostrea crenulifera
Dendro
Dendrocorticium roseocarneum
Dendrophora versiformis
Dendroplex picus
Dendropoma petraeum
Dendropsophus goughi
Dentiovula saturnalia
Dentiovula takeoi
Dentipellis separans
Derelomus piriformis
Dero lutzi
Destinoides rubeus
Deuterodon burgerai
Deuterodon giton
Deuterodon hamatilis
Deuterodon hastatus
Deuterodon heterostomus
Deuterodon janeiroensis
Deuterodon luetkenii
Deuterodon mutator
Deuterodon pelecus
Deuterodon ribeirae
Deuterodon taeniatus
Devario micronema
Devyatkinia unica
Diacavolinia elegans
Diaporthe eres
Diaporthe helianthi
Diaporthe phaseolorum
Diaporthe sojae
Dichomeris neatodes
Dictyonema pavonium
Diederichomyces ficuzzae
Digitipes jonesii
Dilatata dilatata
Dilocarcinus laevifrons
Diluvarca ferruginea
Dioryche colombensis
Dioszegia crocea
Diphtherocome verbenata
Diplocardia singularis
Diploderma formosgulae
Diplonychus nepoides
Dipturus intermedius
Discinella schimperi
Discodoris hummelincki
Disholandricus chrysolepidis
Disholandricus lasius
Disholandricus reniformis
Disholandricus truckeensis
Disphaerobius loricatus
Ditomus capito
Diuncus corpulentus
Doclea japonica
Dolichogenidea ensiger
Donacia flemola
Dondice trainitoi
Dosinia zelandica
Dothidea ribesia
Draculoides affinis
Draculoides anachoretus
Draculoides bythius
Draculoides catho
Draculoides celatus
Draculoides cochranus
Draculoides confusus
Draculoides eremius
Draculoides gnophicola
Draculoides kryptus
Draculoides obrutus
Draculoides trinity
Drechslerella brochopaga
Drechslerella dactyloides
Drechslerella doedycoides
Dreissena blanci
Dryopidae indet
Dussumieria albulina
Duttaphrynus peninsularis
Dysaethria quadricaudata
Echinogammarus bosnensis
Echinolittorina galapagiensis
Echinolittorina trochoides
Echinostoma chankensis
Edolisoma coerulescens
Elachertus argissa
Elaeidobius kamerunicus
Elaeidobius plagiatus
Elaeidobius subvittatus
Eleutherocaulis alte
Eleutherocaulis natalensis
Elinora baetica
Elliptotellina euglypta
Eluma purpurascens
Elysia setoensis
Elysia tuca
Emarginula eximia
Embiotoca caryi
Emmanuelia elaeodes
Emmanuelia erosa
Emmanuelia lobulifera
Emmanuelia ornata
Emmanuelia ravenelii
Emmanuelia tenuis
Emmia latemarginata
Endaseina gen
Endochopsis quadrimaculatus
Enicospilus zeugos
Enigmaticolus inflatus
Ensis arcuatus
Ensis minor sensu Dall
Entephria byssata
Enterographa anguinella
Enteromius akakianus
Enteromius alberti
Entiminae gen
Entoloma sericeonitidum
Eogonatus tinro
Eosipho coriolis
Epalzeorhynchos frenatum
Epicharis cumingiana
Epiglia gloeocapsae
Epinephelus quoyans
Episcapha opaca
Equulites oblongus
Eremastrella crystallifera
Eremias aporosceles
Erethistes hara
Erginus puniceus
Ericaria amentacea
Ericaria mediterranea
Erigorgus varicornis
Eriocheir rectus
Eriothrix rufomaculata
Eristalis horticola
Eristalis picea
Erpobdella parva
Erynia sciarae
Esperarge roxelana
Eucera fulva
Eucera penicillata Risch
Euclymene zonalis
Eucorydia dasytoides
Eugauria albidentata
Eulalia aurea Gravier
Eulimella laevis
Eumonospora henryae
Eumunida karubar
Eumunida parva
Eupezizella aureliella
Euphilotes baueri
Euphorinae gen
Eupsalis minuta
Eurycratera angustata
Euryderus zabroides
Eutrypanus tesselatus
Euwallacea fornicatior
Evynnis tumifrons
Excalfactoria chinensis
Exophiala nigra
Exsudoporus floridanus
Exsudoporus frostii
Fabogethes varicollis
Fallicambarus burrisi
Fallicambarus caesius
Fallicambarus danielae
Fallicambarus gilpini
Fallicambarus gordoni
Farysia taiwaniana
Fauxulella pamphorodon
Feihyla vittiger
Felimare midatlantica
Felimida britoi
Femsjonia peziziformis
Fernaldella georgiana
Fibroporia gossypium
Ficedula owstoni
Ficus variegata Roding
Filobasidium uniguttulatum
Fiorinia macroprocta
Firoloida demarestia
Flabellina fusca
Flabellina gabinierei
Flexopecten proteus
Fomitopsis dochmia
Fomitopsis hemitephra
Fomitopsis meliae
Fomitopsis nivosa
Forficula dentata
Francisrosea bicolor
Fregetta maoriana
Fulvifomes fastuosus
Fusarium cerealis
Fusarium decemcellulare
Fusarium larvarum
Fusarium merismoides
Fusarium nygamai
Fusarium phaseoli
Fusarium sambucinum
Fusarium subglutinans
Fusarium verticillioides
Fuscartona martini
Fuscoderma amphibolum
Fuscoderma applanatum
Fusconaia lananensis
Fuscoporia gilva
Fusigonalia obtecta
Gabura fascicularis
Gabura insignis
Gafrarium tumidum
Galerina laevis
Galeruca rufa
Gallus lafayettii
Gammarus glaber
Gandaritis whitelyi
Ganoderma cupreum
Ganoderma parvulum
Ganoderma subamboinense
Garra vinciguerrae
Gastrolina peltoidea
Geastrum indicum
Geastrum pseudolimbatum
Geastrum recolligens
Geastrum sessile
Geastrum tenuipes
Geckolepis petiti
Geloina erosa
Genistogethes erichsonii
Geocerthia serrana
Geocharax gracilis
Geospizopsis unicolor
Geotrupes semiopacus
Geranoaetus albicaudatus
Gilesius pulchriventer
Glaucestrilda caerulescens
Glaucestrilda perreini
Globisporangium middletonii
Gloeotulasnella cystidiophora
Glycymeris subobsoleta
Glycyphana stolata
Gnathophyllum fasciolatum
Gracilobenedenia hichi
Gracilobenedenia kuremibai
Gracilobenedenia lutjani
Granatina granatina
Granatina ianthinogaster
Graphina leprocarpa
Graphina peplophora
Graphis ruiziana
Grevenius pushkini
Grigorovia transvaalensis
Griseoporia carbonaria
Grosmannia penicillata
Grosmannia piceaperda
Grus paradisea
Grus virgo
Guerlinguetus aestuans
Guttigadus nana
Gyalecta carneola
Gyalecta fagicola
Gyalecta hypoleuca
Gyalolechia aurea
Gymnascella littoralis
Gymnochthebius coruscus
Gymnochthebius fontinalis
Gymnostellatospora alpina
Gypsophila annamensis
Gypsophila calcicola
Gypsophila crispifrons
Hadrosciurus igniventris
Hadrosciurus pyrrhinus
Hadrosciurus spadiceus
Haemocystidium pacayae
Halichoeres californicus
Halichoeres inornatus
Haliotis dohrniana
Haminoea callidegenita
Haminoea natalensis
Hammatoderus maculosus
Haplographium delicatum
Haploporus alabamae
Harveylithon munitum
Hasinamelissa seyrigi
Heleia goodfellowi
Heleia squamiceps
Heleia squamifrons
Heleia superciliaris
Heleia wallacei
Heleobia occidentalis
Helicomela punctulata
Helleia helle
Helluomorpha latitarsis
Helluomorpha papago
Hemicriconemoides litchi
Hemidoras morei
Hemidoras stuebelii
Hemilaelaps triangulus
Hemiodopsis ocellata
Hemiphaedusa billeti
Hemiphaedusa polydona
Hermerius intermedia
Hermerius prionoides
Herpisticus laesicollis
Herpisticus lanatus
Herpotrichia juniperi
Herteliana taylorii
Heterocephalacria
Heterogynis affinis
Heteromys adspersus
Heteromys irroratus
Heteromys pictus
Heteromys salvini
Heteromys spectabilis
Heteropelma grossator
Hexagonia glabra
Hexapanopeus manningi
Hippa pacifica
Hippodamia rufocincta
Hirticrusta subradiata
Homalictus achrostus
Homalictus dampieri
Homalictus flindersi
Homalictus micheneri
Homalorhynchites hungaricus
Hondaria leptospora
Hornodermoporus latissimus
Hornodermoporus martius
Hua intermedia
Hyale nilssoni
Hyaloklossia kasumiensis
Hydrobia marocana
Hydromys neobrittanicus
Hydropisphaera peziza
Hydropuntia eucheumatoides
Hydrothelphusa goudoti
Hygrocybe persistens
Hylidae gen
Hymenochaete arida
Hymenochaete corrugata
Hymenochaete cyclolamellata
Hymenochaete porioides
Hynesionella omercooperi
Hypholoma aurantiacum
Hypnum leptothallum
Hypodamaeus brevitibialis
Hypoderma vincetoxici
Hypogymnia enteromorpha
Hypophytala reducta
Hypostomus spiniger
Hypotrachyna afrorevoluta
Hypotrachyna horrescens
Hypotrachyna minarum
Hypotrachyna subfatiscens
Hypsipetes thompsoni
Hysterangium cistophilum
Hysteroscene hyalina
Ianthocincla cineracea
Ianthocincla maxima
Ianthocincla ocellata
Ianthocincla rufogularis
Idaea furciferata
Idotea baltica
Imasa heleensis
Inocephalus cystidiophorus
Inocephalus dennisii
Inocephalus dragonosporus
Inocephalus flavotinctus
Inocephalus hypipamee
Inocephalus quadratus
Inocephalus
Inonotus tomentosus
Inopinatum lactosum
Iravadia reflecta
Iridopsis obliquaria
Iridopsis perfectaria
Ischiopachys bicolor
Isognathotermes finitimus
Isognathotermes fungifaber
Isognathotermes planifrons
Isognathotermes severus
Isognathotermes ugandensis
Isognomon acutirostris
Isoperla mohri
Isopterygiella pulchella
Ispidina lecontei
Isyndus planicollis
Ixobrychus flavicollis
Ixothraupis guttata
Jamesiella anastomosans
Jasus tristani
Johnsonita assula
Jupiaba anterior
Kalloconus canariensis
Karoowia adhaerens
Kazimierzus franciscus
Kellermania nolinae
Kellermania uniseptata
Klauderuiella flavescens
Klauderuiella thallincola
Kneiffiella subglobosa
Koutabatermes spinifer
Kretania psylorita
Labiobaetis borneoensis
Labiobaetis moriharai
Labiobaetis multus
Laccaria anglica
Laccaria scotica
Lactarius akahatsu
Lactifluus hygrophoroides
Lactifluus
Laetiporus cincinnatus
Laetiporus versisporus
Laevicardium elenense
Lambiella psephota
Lampanyctus idostigma
Lampanyctus phyllisae
Lampanyctus tenuiformes
Lanistes carinatus
Larvivora akahige
Larvivora komadori
Lasiopogon puyallupi
Laterallus fasciatus
Laternula marilina
Laternula truncata
Laundonia flavovirescens
Lauxania albomaculata
Lecania sambucina
Leccinum albellum
Leccinum roseofractum
Lecidella effugiens
Lecidella elaeochromoides
Leistes militaris
Lentaria pinicola
Lentinellus omphalodes
Lepiota acutesquamosa
Lepiota eriophora
Lepiota humei
Lepiota jacobi
Lepiota kuehneriana
Lepista saeva
Leporinus crassilabris
Lepra lacerans
Lepra xantholeucoides
Lepraria finkii
Leptochelia africana
Leptochelia dubia
Leptochelia parasavignyi
Leptochilus republicanus
Leptodactylus brevipes
Leptodactylus intermedius
Leptodius nigromaculatus
Leptogium pulvinatum
Leptographium truncatum
Leptolalax purpurus
Leptonia argyropellis
Leptonia euchroa
Leptonia fragilis
Leptonia odorifera
Leptophion maculipennis
Leptoscarus vaigienis
Leptosiphonia brodiei
Leptostylus neivai
Leptotrema wightii
Leratia obtusifolia
Lescuraea plicata
Letispe metanemaria
Leucoagaricus naucinus
Leucopaxillus amarus
Leucosporidium creatinivorum
Leucosporidium muscorum
Lichtheimia hongkongensis
Licinus punctulatus
Lilioceris egena
Lima sowerbyi
Limenitis hybrid form
Limia islai
Limnoasellus poberezhnii
Limtongozyma cylindracea
Linaeidea placida
Lindbergocapsus allii
Linnemannia amoeboidea
Linnemannia hyalina
Lionepha probata
Lithobius setiger
Lithobius validus
Lithocalla ecorticata
Littorina mariae
Littorina nigrolineata
Livendula aminias
Loekoeslaszloa geumohdoensis
Lohora muelleri
Lohora umbrosa
Lohora unipupillata
Loligo formosana
Longchaeus schanderi
Lopharia mirabilis
Lophoceros camurus
Lophochaete fryei
Lophodermium platyplacum
Lophosis labeculata
Loripes lucinalis
Loxodactylus dingo
Lucifer hanseni
Lucifuga dentata var
Lucina grandinata
Lunatia alderi
Lymnaeidae gen
Lynnia grapsolytica
Lyomyces sambuci
Lyomyces
Lyophyllum ambustum
Lyophyllum atratum
Lysurus sphaerocephalum
Lythrichthys cypho
Lythrichthys eulabes
Lythrichthys longimanus
Macalpinomyces ewartii
Macaria benigna
Machilus faberi
Macoma takahokoensis
Macracantha hasselti
Macridiscus melanaegis
Macrobrachium anhuiense
Macrobrachium caementarius
Macrobrachium luscus
Macrobrachium perspicax
Macrocamptoptera grangeri
Macrophthalmus dentipes
Mactra corallina
Maculabatis randalli
Maera inaequipes
Maja goltziana
Maja japonica
Maja kominatoensis
Maja spinigera
Makunaima guaporensis
Malagasanja palliatella
Maniola tithonus
Mantispa viridis
Marasmius menieri
Marchantiana burneyensis
Marchantiana kalbiorum
Marchantiana michelagoensis
Marchantiana seppeltii
Marcia marmorata
Marcusenius lambouri
Margarites beringensis
Margarya tropidophora
Marginella constricta
Mariaglaja sandrana
Marionina aestuum
Marmosa constantiae
Marmosa demerarae
Marmosa paraguayana
Marmosa phaea
Marmosa rapposa
Marmosa regina
Marphysa haemasoma
Marssonina brunnea
Mascarinus mascarinus
Masonhalea inermis
Megalocystidium leucoxanthum
Meganola triangulalis
Megascops usta
Melaenornis mariquensis
Melaenornis microrhynchus
Melampsora pinitorqua
Melampsora
Melanatria fluminea
Melanobaris erysimi
Melanobaris hochhuthi
Melanops tulasnei
Melanospiza bicolor
Melaspilea costaricensis
Melionyx fuscus
Melita formosa
Melita matilda
Melongena bicolor
Melongena sprucecreekensis
Melopyrrha portoricensis
Menaethius inornatus
Menticirrhus gracilis
Menticirrhus martinicensis
Mentocrex kioloides
Meridionale pachycheira
Merodon analis
Merodon rubidiventris
Meromacrus cingulatus
Meruliopsis corium
Merulius incarnatus
Mesaphorura yosii
Metacallophyllis laciniata
Metaphire bianensis
Metarhizium album
Metarhizium pinghaense
Methia pusilla
Mexipyrgus churinceanus
Miaromima pangolina
Micropanchax vitschumbaensis
Micropanope nuttingi
Microperus perparvus
Microperus recidens
Microphrys antillensis
Microphrys bicornutus
Microphysogobio chenhsienensis
Microphysogobio exilicauda
Microporus subaffinis
Microspingus erythrophrys
Microspingus lateralis
Microtus mustersi
Microxenops milleri
Mimachlamys australis
Mimachlamys nobilis
Mimachlamys senatoria
Mimographus amandus
Mimuloria castanea
Mimuloria dilatata
Mimuloria missouriensis
Miocora lugubris
Mirocaris keldyshi
Mitra ambigua
Mitra assimilis
Mitra puncticulata
Mitrella margarita
Mocis mayeri
Modiolus metcalfei
Modiolus rumphii
Moema peruensis
Moesziomyces eriocauli
Mongeperipatus kekoldi
Monilinia vaccinii
Monobrachium parasiticum
Monochamus homoeus
Monochamus leuconotus
Monochamus maculosus
Monoculodes borealis
Monoculodes intermedius
Montagnia macrospora
Montecincla cachinnans
Montecincla fairbanki
Mopalia plumosa
Morphnarchus princeps
Motacilla bocagii
Mrakia gelida
Mucor ambiguus
Mucronella perforata
Muellerella atricola
Munida leviantennata
Munida rubrodigitalis
Munida subrugosa
Munidopsis rostrata
Muraenichthys hattae
Musa x chiliocarpa
Musa x formobisiana
Muschampia floccifera
Muschampia lavatherae
Muschampia mohammed
Mycena heteracantha
Mycetomoellerius opulentus
Mycobernardia incrustans
Mycobilimbia carneoalbida
Mycobilimbia epixanthoides
Mycobilimbia tetramera
Mycosphaerella arachidis
Mycosphaerella microsora
Mydosama asophis
Mydosama bazochii
Mydosama biformis
Mydosama bilineata
Mydosama dohertyi
Mydosama drusillodes
Mydosama felderi
Mydosama fulvianetta
Mydosama giamana
Mydosama ita
Mydosama itys
Mydosama messene
Mydosama nerida
Mydosama pernotata
Mydosama pitana
Mydosama shiva
Mydosama teatus
Mydosama treadawayi
Mydosama valeria
Mylothris dimidiata
Myoxocephalus aenaeas
Myriolecis contractula
Myriostigma candidum
Myriotrema album
Myriotrema insigne
Myriotrema santessonii
Myriotrema subcompunctum
Myrmecia pyriformis Smith
