"","x"
"179","Astropecten oerstedii"
"180","Astropecten erinaceus"
"181","Conodiplostomum"
"182","Clinostomum marginatum"
"183","Diplostomum indistinctum"
"184","Megalogonia ictaluri"
"185","Plagioporus sinitsini"
"186","Didymocystis irregularis"
"187","Didymocystis bifasciatus"
"188","Koellikeria globosa"
"189","Litomosa chiropterorum"
"190","Metapolystoma brygoonis"
"191","Metapolystoma"
"192","Trichotheristus mirabilis"
"193","Eupolystoma alluaudi"
"194","Eupolystoma vanasi"
"195","Lemuricola pongoi"
"196","Enterobius buckleyi"
"197","Pongobius hugoti"
"198","Neopolystoma liewi"
"199","Neopolystoma fentoni"
"200","Neopolystoma palpebrae"
"201","Polystomoides bourgati"
"202","Polystomoides siebenrockiella"
"203","Aproctella"
"204","Foleyella candezei"
"205","Ochoterenella"
"206","Polystomoides coronatum"
"207","Clarkcomanthus comanthipinnus"
"208","Liparometra articulata"
"209","Himerometra magnipinna"
"210","Bohadschia tenuissima"
"211","Porania antarctica"
"212","Echinostoma malayanum"
"213","Lamprometra palmata"
"214","Steinernema websteri"
"215","Rumbleaster eructans"
"216","Ophiomusium lymani"
"217","Diplogonoporus"
"218","Psolidiella mollis"
"219","Psolus koehleri"
"220","Psolus charcoti"
"221","Ophiura meridionalis"
"222","Ophiomusium glabrum"
"223","Ophiomusium scalare"
"224","Ophiomusium laqueatum"
"225","Ophionereis dubia"
"226","Ophiocoma pusilla"
"227","Ophiocoma doederleini"
"228","Ophioceres incipiens"
"229","Ophiophthalmus cataleimmoidus"
"230","Ophiophthalmus normani"
"231","Paragonimus heterotremus"
"232","Paragonimus microrchis"
"233","Ophiosphalma fimbriatum"
"234","Tetrancistrum nebulosi"
"235","Acrostichus puri"
"236","Haematoloechus meridionalis"
"237","Haematoloechus coloradensis"
"238","Haematoloechus illimis"
"239","Haematoloechus danbrooksi"
"240","Haematoloechus micrurus"
"241","Haematoloechus exoterorchis"
"242","Cephaluris alaskensis"
"243","Cephaluris coloradensis"
"244","Cephaluris hashmi"
"245","Labiostomum talkeetnaeuris"
"246","Labiostomum akhtari"
"247","Labiostomum rauschi"
"248","Ditylenchus gigas"
"249","Bursaphelenchus arthuroides"
"250","Benedenia sargocentron"
"251","Ophiomusium australe"
"252","Ophionereis terba"
"253","Arbacia crassispina"
"254","Rhinebothrium cadenati"
"255","Rhinebothrium shipleyi"
"256","Khawia baltica"
"257","Devibursaphelenchus eproctatus"
"258","Ophiocomina australis"
"259","Ophiocoma endeani"
"260","Ophiocoma pumila"
"261","Metapolystoma cachani"
"262","Astriclypeus manni"
"263","Diplostomum paracaudum"
"264","Velasquezotrema tripurensis"
"265","Carmyerius spatiosus"
"266","Madathamugadia hiepei"
"267","Rumenfilaria andersoni"
"268","Cryptopeltaster"
"269","Xiphinema parapachydermum"
"270","Xiphinema parabrevicolle"
"271","Brachisternaster chesheri"
"272","Rotylenchus jaeni"
"273","Rotylenchus paravitis"
"274","Furnestinia echeneis"
"275","Nematodirella cameli"
"276","Olveria bosi"
"277","Calicophoron shillongensis"
"278","Olveria indica"
"279","Leiperocotyle meghalayensis"
"280","Orthocoelium orthocoelium"
"281","Calicophoron calicophorum"
"282","Paramphistomum epiclitum"
"283","Holothuria ocellata"
"284","Schistonchus fistulosus"
"285","Spauligodon occidentalis"
"286","Geoplana goetschi"
"287","Geoplana pulchella"
"288","Ophiocoma wendtii"
"289","Ophiocoma brevipes"
"290","Ophiolepis cincta"
"291","Ophiopeza fallax"
"292","Nacospatangus alta"
"293","Phyllophorus kohkutiensis"
"294","Cenolia benhami"
"295","Recurva postrema"
"296","Salenia nudispina"
"297","Anonchotaenia prolixa"
"298","Anonchotaenia macrocephala"
"299","Anonchotaenia brasiliensis"
"300","Ascocotyle pindoramensis"
"301","Bentholebouria georgenascimentoi"
"302","Capillaria aerophila"
"303","Spirometra decipiens"
"304","Coronacanthus magnihamatus"
"305","Coronacanthus omissus"
"306","Enterobius shriveri"
"307","Cookiella ondatrae"
"308","Douthittia nearctica"
"309","Rodentocestus freemani"
"310","Tenoraia janickii"
"311","Mesocriconema inaratum"
"312","Hemicycliophora gracilis"
"313","Gephyrocrinus messingi"
"314","Philometroides sanguineus"
"315","Ectenurus virgulus"
"316","Binema ornata"
"317","Laevocnus katrinae"
"318","Laevocnus laevigatus"
"319","Laevocnus leachmani"
"320","Laevocnus perrieri"
"321","Staurocucumis nocturna"
"322","Onchocerca armillata"
"323","Brachylaima fuscata"
"324","Koerneria sudhausi"
"325","Meloidogyne haplanaria"
"326","Lobocriconema warrenense"
"327","Neolobocriconema serratum"
"328","Anteropora comicus"
"329","Renicola sternae"
"330","Renicola lari"
"331","Ophiocoma dentata"
"332","Ophiocoma pica"
"333","Microplana monacensis"
"334","Ichtyobronema hamulatum"
"335","Luidia sarsi"
"336","Calicophoron phillerouxi"
"337","Carmyerius mancupatus"
"338","Calicophoron raja"
"339","Carmyerius gregarius"
"340","Carmyerius exoporus"
"341","Calicophoron clavula"
"342","Onchocerca boehmi"
"343","Mansonella mariae"
"344","Perostrongylus falciformis"
"345","Phrikoceros lizardensis"
"346","Meloidogyne luci"
"347","Euparyphium capitaneum"
"348","Syphacia rifaii"
"349","Brachylaima asakawai"
"350","Oesophagostomum muntiacum"
"351","Lemuricola nycticebi"
"352","Thysaniezia connochaeti"
"353","Thysaniezia ovilla"
"354","Parachristianella mendozai"
"355","Parachristianella kuchtai"
"356","Parachristianella campbelli"
"357","Parachristianella soldanovae"
"358","Pasipha albicaudata"
"359","Pasipha paucilineata"
"360","Encope aberrans"
"361","Criconema silvum"
"362","Characitecium costaricensis"
"363","Sciadicleithrum panamensis"
"364","Hemicycliophora obtusa"
"365","Hemicycliophora robbinsi"
"366","Hemicycliophora californica"
"367","Hemicycliophora raskii"
"368","Hemicycliophora lutosoides"
"369","Hemicycliophora parvana"
"370","Hemicycliophora similis"
"371","Hemicycliophora poranga"
"372","Hemicycliophora halophila"
"373","Trichuris rhinopiptheroxella"
"374","Afrina sporoboliae"
"375","Pterygodermatites nycticebi"
"376","Spirocerca vulpis"
"377","Meloidogyne floridensis"
"378","Meloidogyne partityla"
"379","Cylicostephanus calicatus"
"380","Spirometra ranarum"
"381","Vittatidera zeaphila"
"382","Spinitectus mexicanus"
