found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Echiniscidae,family,Tardigrada,Heterotardigrada,Echiniscoidea,Echiniscidae,NA,342530,154122,3118,963273,Echiniscidae,accepted,NA,FALSE,NA,"Thulin, 1928",Echiniscidae,Echiniscidae,Echiniscidae,Echiniscidae,NA,1
Adineta,genus,Rotifera,Eurotatoria,NA,Adinetidae,Adineta,886172,78954,1000789,681218,Adineta,accepted,NA,FALSE,NA,"Hudson, 1886",Adineta,Adineta,Adineta,"Adineta Hudson, 1886",1,1
Adineta steineri,species,Rotifera,Eurotatoria,NA,Adinetidae,Adineta,886582,151974,1000792,743723,Adineta steineri,accepted,NA,FALSE,NA,"Bartoš, 1951",Adineta steineri,Adineta steineri,Adineta steineri,"Adineta steineri Bartoš, 1951",1,1
Adineta vaga,species,Rotifera,Eurotatoria,NA,Adinetidae,Adineta,886583,78955,1000794,681215,Adineta vaga,accepted,NA,FALSE,NA,"(Davis, 1873)",Adineta vaga,Adineta vaga,Adineta vaga,"Adineta vaga (Davis, 1873)",1,1
Hymeniacidon perlevis,species,Porifera,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,132663,105650,2250035,372516,Hymeniacidon sinapium,unaccepted,junior synonym,FALSE,NA,"(Montagu, 1814)",Hymeniacidon perlevis,Hymeniacidon sinapium,Hymeniacidon sinapium,"Hymeniacidon sinapium de Laubenfels, 1930",0,0
Echiniscus testudo,species,Tardigrada,Heterotardigrada,Echiniscoidea,Echiniscidae,Echiniscus,343024,154125,2253070,66117,Echiniscus testudo,accepted,NA,FALSE,NA,"(Doyère, 1840)",Echiniscus testudo,Echiniscus testudo,Echiniscus testudo,"Echiniscus testudo (Doyère, 1840)",0,1
Lubomirskia baikalensis,species,Porifera,Demospongiae,Spongillida,Lubomirskiidae,Lubomirskia,167018,NA,2246457,2835174,Lubomirskia baikalensis,accepted,NA,FALSE,NA,"(Pallas, 1776)",Lubomirskia baikalensis,Lubomirskia baikalensis,NA,"Lubomirskia baikalensis (Pallas, 1776)",1,0
Swartschewskia papyracea,species,Porifera,Demospongiae,Spongillida,Lubomirskiidae,Swartschewskia,167021,103782,2246464,386303,Swartschewskia papyracea,accepted,NA,FALSE,NA,"(Dybowsky, 1880)",Swartschewskia papyracea,Swartschewskia papyracea,Swartschewskia papyracea,"Swartschewskia papyracea (Dybowsky, 1880)",1,0
Echiniscus blumi,species,Tardigrada,Heterotardigrada,Echiniscoidea,Echiniscidae,Echiniscus,342902,506012,2253160,279871,Echiniscus blumi,accepted,NA,FALSE,NA,"Richters, 1903",Echiniscus blumi,Echiniscus blumi,Echiniscus blumi,"Echiniscus blumi Richters, 1903",0,1
Richtersius coronifer,species,Tardigrada,Eutardigrada,Parachela,Richtersiidae,Richtersius,343566,26038,2254080,176559,Richtersius coronifer,accepted,NA,FALSE,NA,"(Richters, 1903)",Richtersius coronifer,Richtersius coronifer,Richtersius coronifer,"Richtersius coronifer (Richters, 1903)",NA,NA
Favia,genus,Cnidaria,Anthozoa,Scleractinia,Faviidae,Favia,718691,29901,10241599,992408,Favia,accepted,NA,FALSE,NA,"De Blainville, 1820",Favia,Favia,Favia,"Favia De Blainville, 1820",0,0
Favia,genus,Cnidaria,Anthozoa,Scleractinia,Faviidae,Favia,718691,29901,10241599,992408,Favia,accepted,NA,FALSE,NA,"De Blainville, 1820",Favia,Favia,Favia,"Favia De Blainville, 1820",0,0
Favia,genus,Cnidaria,Anthozoa,Scleractinia,Faviidae,Favia,718691,29901,10241599,992408,Favia,accepted,NA,FALSE,NA,"De Blainville, 1820",Favia,Favia,Favia,"Favia De Blainville, 1820",0,0
Favia,genus,Cnidaria,Anthozoa,Scleractinia,Faviidae,Favia,718691,29901,10241599,992408,Favia,unaccepted,invalid authority,FALSE,NA,"De Blainville, 1820",Favia,Favia,Favia,"Favia De Blainville, 1820",0,0
Favia,genus,Cnidaria,Anthozoa,Scleractinia,Faviidae,Favia,718691,29901,10241599,992408,Favia,unaccepted,invalid authority,FALSE,NA,"De Blainville, 1820",Favia,Favia,Favia,"Favia De Blainville, 1820",0,0
Favia,genus,Cnidaria,Anthozoa,Scleractinia,Faviidae,Favia,718691,29901,10241599,992408,Favia,unaccepted,invalid authority,FALSE,NA,"De Blainville, 1820",Favia,Favia,Favia,"Favia De Blainville, 1820",0,0
Borealibius zetlandicus,species,Tardigrada,Eutardigrada,Parachela,Hypsibiidae,Borealibius,342746,649727,4338963,37214,Borealibius zetlandicus,accepted,NA,FALSE,NA,"(Murray, 1907)",Borealibius zetlandicus,Borealibius zetlandicus,Borealibius zetlandicus,"Borealibius zetlandicus (Murray, 1907)",NA,NA
Gelatinella toanensis,species,Bryozoa,Phylactolaemata,Plumatellida,Plumatellidae,Gelatinella,1046316,247922,9578685,1089103,Gelatinella toanensis,accepted,NA,FALSE,NA,"(Hozawa & Toriumi, 1940)",Gelatinella toanensis,Gelatinella toanensis,Gelatinella toanensis,"Gelatinella toanensis (Hozawa & Toriumi, 1940)",1,0
Pectinatella magnifica,species,Bryozoa,Phylactolaemata,Plumatellida,Pectinatellidae,Pectinatella,234090,247902,1003567,189631,Pectinatella magnifica,accepted,NA,FALSE,NA,"(Leidy, 1851)",Pectinatella magnifica,Pectinatella magnifica,Pectinatella magnifica,"Pectinatella magnifica (Leidy, 1851)",1,0
Cristatella mucedo,species,Bryozoa,Phylactolaemata,Plumatellida,Cristatellidae,Cristatella,254615,247873,1003652,320347,Cristatella mucedo,accepted,NA,FALSE,NA,"Cuvier, 1798",Cristatella mucedo,Cristatella mucedo,Cristatella mucedo,"Cristatella mucedo Cuvier, 1798",1,0
Lophopus crystallinus,species,Bryozoa,Phylactolaemata,Plumatellida,Lophopodidae,Lophopus,472353,247870,1003642,935704,Lophopus crystallinus,accepted,NA,FALSE,NA,"(Pallas, 1768)",Lophopus crystallinus,Lophopus crystallinus,Lophopus crystallinus,"Lophopus crystallinus (Pallas, 1768)",1,0
Macrotrachela quadricornifera,species,Rotifera,Eurotatoria,NA,Philodinidae,Macrotrachela,1390864,79436,1001005,681209,Macrotrachela quadricornifera,accepted,NA,FALSE,NA,"Milne, 1886",Macrotrachela quadricornifera,Macrotrachela quadricornifera,Macrotrachela quadricornifera,"Macrotrachela quadricornifera Milne, 1886",1,1
Milnesium tardigradum,species,Tardigrada,Eutardigrada,Apochela,Milnesiidae,Milnesium,343421,199979,2253484,13567,Milnesium tardigradum,accepted,NA,FALSE,NA,"Doyère, 1840",Milnesium tardigradum,Milnesium tardigradum,Milnesium tardigradum,"Milnesium tardigradum Doyère, 1840",0,1
Caulophacus (Caulophacella) tenuis,species,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Caulophacella,172040,246030,2236041,103769,Caulophacella tenuis,unaccepted,status change,FALSE,NA,"Lendenfeld, 1915",Caulophacus (Caulophacella) tenuis,Caulophacella tenuis,Caulophacella tenuis,"Caulophacella tenuis Lendenfeld, 1915",0,0
Caulophacus (Oxydiscus) weddelli,species,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Caulophacus,172067,246054,5180179,612405,Caulophacus weddelli,alternate representation,NA,FALSE,sibling_higher,"Janussen, Tabachnick & Tendal, 2004",Caulophacus (Oxydiscus) weddelli,Caulophacus weddelli,Caulophacus weddelli,"Caulophacus weddelli Janussen, Tabachnick & Tendal, 2004",0,0
Caulophacus (Caulodiscus) valdiviae,species,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Caulophacus,172047,246052,5180173,103768,Caulophacus valdiviae,alternate representation,NA,FALSE,sibling_higher,"Schulze, 1904",Caulophacus (Caulodiscus) valdiviae,Caulophacus valdiviae,Caulophacus valdiviae,"Caulophacus valdiviae Schulze, 1904",0,0
Mussismilia leptophylla,species,Cnidaria,Anthozoa,Scleractinia,Faviidae,Favia,1344208,29946,2260121,706976,Favia leptophylla,superseded combination,basionym,FALSE,NA,"(Verrill, 1868)",Mussismilia leptophylla,Favia leptophylla,Favia leptophylla,"Favia leptophylla Verrill, 1868",0,0
Echinopora pacifica,species,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,1341443,29907,11339319,601947,Echinopora pacificus,unaccepted,"amended spelling, feminine",FALSE,NA,"Veron, 1990",Echinopora pacifica,Echinopora pacificus,Echinopora pacificus,"Echinopora pacificus Veron, 1990",0,0
Meandrina brasiliensis,species,Cnidaria,Anthozoa,Scleractinia,Meandrinidae,Meandrina,430665,29855,5784764,973244,Meandrina braziliensis,misspelling,NA,FALSE,NA,"(Milne Edwards & Haime, 1848)",Meandrina brasiliensis,Meandrina braziliensis,Meandrina braziliensis,"Meandrina braziliensis (Milne Edwards & Haime, 1858)",0,0
Stephanocoenia intersepta,species,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,Stephanocoenia,291119,30055,NA,292624,Stephanocoenia michelinii,junior subjective synonym,NA,FALSE,NA,"(Esper, 1795)",Stephanocoenia intersepta,Stephanocoenia michelinii,Stephanocoenia michelinii,NA,0,0
Merulina cylindrica,species,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Scapophyllia,1465792,199391,2259541,1065035,Scapophyllia cylindrica,superseded combination,basionym,FALSE,NA,"(Milne Edwards & Haime, 1849)",Merulina cylindrica,Scapophyllia cylindrica,Scapophyllia cylindrica,"Scapophyllia cylindrica Milne Edwards & Haime, 1849",0,0
Craspedacusta sowerbii,species,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,117767,575827,4408321,127047,Craspedacusta sowerbii,accepted,NA,FALSE,NA,"Lankester, 1880",Craspedacusta sowerbii,Craspedacusta sowerbii,Craspedacusta sowerbii,"Craspedacusta sowerbii Lankester, 1880",1,0
Leptastrea purpurea,species,Cnidaria,Anthozoa,Scleractinia,Leptastreidae,Leptastrea,207470,200247,2260092,878037,Leptastrea pruinosa,unaccepted,synonymy,FALSE,incertae_sedis_inherited,"(Dana, 1846)",Leptastrea purpurea,Leptastrea pruinosa,Leptastrea pruinosa,"Leptastrea pruinosa Crossland, 1952",0,0
Fimbriaphyllia divisa,species,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Euphyllia,1048074,200254,2259288,878033,Euphyllia divisa,superseded combination,NA,FALSE,NA,"(Veron & Pichon, 1980)",Fimbriaphyllia divisa,Euphyllia divisa,Euphyllia divisa,"Euphyllia divisa Veron & Pichon, 1980",0,0
Fimbriaphyllia ancora,species,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Euphyllia,1048073,200255,2259285,313607,Euphyllia ancora,superseded combination,NA,FALSE,NA,"(Veron & Pichon, 1980)",Fimbriaphyllia ancora,Euphyllia ancora,Euphyllia ancora,"Euphyllia ancora Veron & Pichon, 1980",0,0
Psammocora columna,species,Cnidaria,Anthozoa,Scleractinia,Coscinaraeidae,Coscinaraea,766867,152235,2258888,555521,Coscinaraea columna,superseded combination,NA,FALSE,NA,"Dana, 1846",Psammocora columna,Coscinaraea columna,Coscinaraea columna,"Coscinaraea columna (Dana, 1846)",0,0
Balticina,genus,Cnidaria,Anthozoa,Pennatulacea,Halipteridae,Halipteris,146534,395039,2258736,364267,Halipteris,unaccepted,NA,FALSE,NA,"Gray, 1870",Balticina,Halipteris,Halipteris,"Halipteris Kölliker, 1870",0,0
Ptilella grandis,species,Cnidaria,Anthozoa,Pennatulacea,Pennatulidae,Pennatula,1379630,514306,2258699,3680007,Pennatula grandis,unaccepted,original combination,FALSE,NA,"(Ehrenberg, 1834)",Ptilella grandis,Pennatula grandis,Pennatula grandis,"Pennatula grandis Ehrenberg, 1834",0,0
Olindias muelleri,species,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Olindias,292470,671265,2266807,757863,Olindias phosphorica,unaccepted,"invalid name, misapplication of Oceania phosphorica Péron & Lesueur, 1810",FALSE,NA,"Haeckel, 1879",Olindias muelleri,Olindias phosphorica,Olindias phosphorica,Olindias phosphorica,0,0
Porites panamensis,species,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,288912,211888,5184795,1008765,Porites panamensis,accepted,NA,FALSE,NA,"Verrill, 1866",Porites panamensis,Porites panamensis,Porites panamensis,"Porites panamensis Verrill, 1866",0,0
Porites panamensis,species,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,288912,211888,5184795,1008765,Porites panamensis,accepted,NA,FALSE,NA,"Verrill, 1866",Porites panamensis,Porites panamensis,Porites panamensis,"Porites panamensis Verrill, 1866",0,0
Porites panamensis,species,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,288912,211888,5184795,1008765,Porites panamensis,accepted,NA,FALSE,NA,"Verrill, 1866",Porites panamensis,Porites panamensis,Porites panamensis,"Porites panamensis Verrill, 1866",0,0
Porites panamensis,species,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,1348130,211888,5184795,1008765,Porites panamensis,taxon inquirendum,NA,FALSE,NA,"Vaughan, 1919",Porites panamensis,Porites panamensis,Porites panamensis,"Porites panamensis Verrill, 1866",0,0
Porites panamensis,species,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,1348130,211888,5184795,1008765,Porites panamensis,taxon inquirendum,NA,FALSE,NA,"Vaughan, 1919",Porites panamensis,Porites panamensis,Porites panamensis,"Porites panamensis Verrill, 1866",0,0
Porites panamensis,species,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,1348130,211888,5184795,1008765,Porites panamensis,taxon inquirendum,NA,FALSE,NA,"Vaughan, 1919",Porites panamensis,Porites panamensis,Porites panamensis,"Porites panamensis Verrill, 1866",0,0
Porites duerdeni,species,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,411269,211894,5784762,348411,Porites duerdeni,taxon inquirendum,NA,FALSE,hidden,"Vaughan, 1907",Porites duerdeni,Porites duerdeni,Porites duerdeni,"Porites duerdeni Vaughan, 1907",0,0
Tropidocyathus lessonii,species,Cnidaria,Anthozoa,Scleractinia,Turbinoliidae,Tropidocyathus,291249,671422,4879910,242139,Tropidocyathus lessoni,misspelling,NA,FALSE,NA,"(Michelin, 1842)",Tropidocyathus lessonii,Tropidocyathus lessoni,Tropidocyathus lessoni,"Tropidocyathus lessoni (Michelin, 1842)",0,0
