"","species"
"284","Cleisthenes herzensteini"
"285","Thymallus baicalolenensis"
"288","Percilia irwini"
"291","Dissostichus eleginoides"
"293","Acrossocheilus jishouensis"
"296","Peprilus triacanthus"
"299","Benthodesmus tenuis"
"302","Cataetyx rubrirostris"
"303","Notropis bifrenatus"
"306","Carapus bermudensis"
"308","Rhabdosargus sarba"
"310","Naso lopezi"
"313","Bhavania australis"
"314","Schistura scaturigina"
"316","Salvelinus leucomaenis"
"318","Pseudogobio vaillanti"
"321","Leptobotia elongata"
"323","Osteobrama feae"
"325","Aphyocypris kikuchii"
"327","Periophthalmus minutus"
"331","Squatina nebulosa"
"332","Centropyge bispinosa"
"336","Heterodontus zebra"
"337","Amphiprion polymnus"
"340","Cheilodactylus quadricornis"
"342","Omegophora armilla"
"343","Amphiprion ocellaris"
"344","Oryzias sarasinorum"
"347","Dicentrarchus labrax"
"349","Sinocyclocheilus ronganensis"
"353","Phycodurus eques"
"357","Normichthys operosus"
"359","Copadichromis quadrimaculatus"
"360","Liobagrus obesus"
"361","Amphiprion percula"
"363","Glyphis glyphis"
"365","Hemibarbus maculatus"
"368","Brycon henni"
"369","Dipturus oxyrinchus"
"372","Scyliorhinus canicula"
"374","Salminus brasiliensis"
"376","Astyanax paranae"
"378","Triplophysa stewarti"
"381","Tetragonurus cuvieri"
"384","Bathyraja albomaculata"
"388","Nansenia ardesiaca"
"390","Leiocassis longirostris"
"393","Oreoglanis immaculatus"
"397","Kneria sp. SL-2004"
"401","Scriptaphyosemion guignardi"
"403","Oncorhynchus gorbuscha"
"406","Macroramphosus scolopax"
"410","Atractosteus tristoechus"
"414","Zenopsis nebulosus"
"418","Parataeniophorus gulosus"
"422","Notorynchus cepedianus"
"424","Pagrus auriga"
"427","Parupeneus multifasciatus"
"430","Narcetes stomias"
"432","Pseudolaubuca engraulis"
"434","Sicyopterus stiphodonoides"
"435","Spinibarbus denticulatus"
"437","Yasuhikotakia morleti"
"440","Pholis fangi"
"442","Gymnocypris scleracanthus"
"444","Makaira nigricans"
"447","Synchiropus splendidus"
"451","Aldrovandia oleosa"
"454","Nemipterus japonicus"
"457","Thaumatichthys pagidostomus"
"461","Chelmon rostratus"
"463","Ethmalosa fimbriata"
"465","Mystus cavasius"
"467","Luciogobius platycephalus"
"469","Assurger anzac"
"470","Bathyraja multispinis"
"472","Gnathopogon nicholsi"
"476","Ginglymostoma cirratum"
"478","Culaea inconstans"
"482","Ateleopus japonicus"
"484","Xenophysogobio boulengeri"
"486","Labeo bata"
"490","Channa argus"
"493","Anguilla dieffenbachii"
"497","Pollachius virens"
"498","Sinocyclocheilus tingi"
"500","Pellonula leonensis"
"501","Schizothorax prenanti"
"503","Coregonus peled"
"504","Pseudobagrus tenuis"
"505","Schizothorax molesworthi"
"506","Brycon orbignyanus"
"509","Betta splendens"
"512","Embiotoca jacksoni"
"514","Barbonymus altus"
"516","Megalobrama amblycephala x (Megalobrama amblycephala x Parabramis pekinensis)"
"519","Hemigaleus microstoma"
"521","Nibea mitsukurii"
"524","Derichthys serpentinus"
"526","Aluterus scriptus"
"528","Canthigaster coronata"
"530","Pseudorasbora parva"
"533","Denticeps clupeoides"
"535","Apolemichthys griffisi"
"539","Narcine brasiliensis"
"540","Hemibarbus labeo"
"543","Branchiostegus argentatus"
"544","Carassius auratus x Cyprinus carpio"
"546","Thoburnia rhothoeca"
"549","Cynoglossus semilaevis"
"551","Pethia ticto"
"555","Hapalogenys nigripinnis"
"557","Hampala macrolepidota"
"558","Sinocyclocheilus oxycephalus"
"560","Phoxinus keumkang"
"564","Capros aper"
"566","Saurogobio dabryi"
"570","Epigonus denticulatus"
"571","Takifugu oblongus"
"573","Prognichthys sealei"
"574","Schizothorax nepalensis"
"577","Prochilodus lineatus"
"579","Brachygobius doriae"
"581","Discogobio tetrabarbatus"
"583","Carcharhinus macloti"
"585","Trachurus trachurus"
"589","Osteoglossum bicirrhosum"
"591","Cyprinus multitaeniata"
"593","Labeobarbus intermedius"
"596","Rhyacichthys aspro"
"599","Pegasus volitans"
"600","Odontobutis potamophila"
"601","Rhinichthys osculus"
"603","Squalidus gracilis"
"605","Cottus poecilopus"
"607","Sarcocheilichthys variegatus"
"608","Triplophysa strauchii"
"610","Botia udomritthiruji"
"612","Squalius lepidus"
"615","Diceratias pileatus"
"618","Ictalurus punctatus"
"620","Pagothenia borchgrevinki"
"622","Rhinogobio ventralis"
"625","Anoplopoma fimbria"
"626","Scartelaos histophorus"
"629","Xenomystus nigri"
"630","Epinephelus lanceolatus"
"633","Brachirus orientalis"
"637","Plecoglossus altivelis"
"639","Hemigobius hoevenii"
"643","Pseudolabrus eoethinus"
"645","Onychostoma lini"
"648","Parazen pacificus"
"650","Microphysogobio longidorsalis"
"652","Cheilopogon spilonotopterus"
"653","Osteobrama cunma"
"656","Bidyanus bidyanus"
"659","Coloconger cadenati"
"661","Nocomis micropogon"
"663","Sardinella longiceps"
"665","Pampus chinensis"
"667","Rhodeus sericeus"
"670","Eleginops maclovinus"
"671","Sebastes longispinis"
"672","Liobagrus styani"
"676","Lovettia sealii"
"678","Hippocampus mohnikei"
"680","Vieja melanura"
"681","Centropyge deborae"
"682","Ptychobarbus dipogon"
"684","Tropheus duboisi"
"687","Gymnothorax niphostigmus"
"688","Coregonus autumnalis"
"690","Ameiurus natalis"
"691","Carcharhinus amboinensis"
"693","Canthophrys gongota"
"694","Pethia conchonius"
"696","Etroplus maculatus"
"697","Gnathopogon elongatus"
"699","Tetractenos glaber"
"703","Cetorhinus maximus"
"704","Epinephelus fuscoguttatus x Epinephelus lanceolatus"
"705","Sebastes thompsoni"
"707","Clupanodon thrissa"
"710","Silurus glanis"
"711","Hemibarbus umbrifer"
"712","Epinephelus akaara x Epinephelus lanceolatus"
"714","Hemiculter tchangi"
"716","Carpiodes carpio"
"717","Triplophysa cuneicephala"
"720","Saccopharynx lavenbergi"
"723","Cyema atrum"
"725","Notemigonus crysoleucas"
"728","Rondeletia loricata"
"730","Pagellus erythrinus"
"734","Chlorophthalmus agassizi"
"738","Macrognathus pancalus"
"739","Gymnocypris namensis"
"741","Pimelodus maculatus"
"743","Puntius eugrammus"
"746","Myleus cf. schomburgkii XL-2018"
"748","Pseudogobius javanicus"
"750","Heterotilapia buttikoferi"
"752","Petruichthys brevis"
"754","Leptoderma retropinna"
"756","Pareuchiloglanis anteanalis"
"757","Schizothorax labiatus"
"759","Trichopodus microlepis"
"763","Aetobatus flagellum"
"765","Tor khudree"
"766","Megalobrama amblycephala x Megalobrama hoffmanni"
"767","Carcharhinus longimanus"
"770","Lateolabrax latus"
"771","Acheilognathus yamatsutae"
"772","Lateolabrax japonicus"
"775","Ilisha elongata"
"777","Homaloptera ogilviei"
"779","Chaetodon octofasciatus"
"780","Pseudogobius fulvicaudus"
"782","Hyporthodus septemfasciatus"
"783","Epinephelus coioides x Epinephelus lanceolatus"
"784","Sarcocheilichthys sinensis"
"786","Bangana tungting"
"788","Lagocephalus inermis"
"790","Thryssa dussumieri"
"793","Chaenocephalus aceratus"
"795","Amblyrhynchichthys truncatus"
"797","Incisilabeo behri"
"798","Triplophysa orientalis"
"800","Clupeichthys perakensis"
"802","Labiobarbus leptocheilus"
"803","Thryssa baelama"
"805","Leucaspius delineatus"
"806","Pampus cinereus"
"807","Silurus asotus"
"809","Aphyosemion gabunense"
"812","Lophiosilurus alexandri"
"814","Sciaenops ocellatus"
"816","Lepturichthys fimbriata"
"818","Lamna nasus"
"821","Gonorynchus greyi"
"822","Microphysogobio fukiensis"
"824","Nemateleotris decora"
"827","Pythonichthys microphthalmus"
"829","Phenacobius mirabilis"
"831","Euthynnus affinis"
"834","Chirolophis japonicus"
"836","Coptodon zillii"
"838","Tetraodon lineatus"
"840","Nothobranchius ocellatus"
"842","Zebrias zebra"
"843","Centropyge flavissima"
"845","Pennahia argentata"
"848","Simenchelys parasitica"
"850","Awaous banana"
"852","Fundulopanchax sjostedti"
"855","Samaris cristatus"
"856","Labiobarbus lineatus"
"858","Luciocyprinus striolatus"
"859","Hippocampus comes"
"862","Perca fluviatilis"
"864","Rudarius ercodes"
"866","Verasper moseri"
"868","Symphurus orientalis"
"871","Platycephalus indicus"
"873","Gobiobotia naktongensis"
"875","Coreoperca kawamebari"
"878","Xenotoca eiseni"
"879","Cynoglossus sinicus"
"881","Lepidocephalichthys micropogon"
"882","Anguilla bicolor"
"885","Formosania lacustris"
"886","Schizothorax progastus"
"887","Epinephelus malabaricus"
"890","Kryptolebias hermaphroditus"
"892","Acipenser sturio"
"894","Eleotris acanthopoma"
"896","Canthidermis maculata"
"898","Kryptopterus bicirrhis"
"900","Micromesistius poutassou"
"902","Ponticola kessleri"
"903","Acrossocheilus monticola"
"905","Diploprion bifasciatum"
"908","Auchenoglanis occidentalis"
"910","Lamiopsis tephrodes"
"913","Hyporhamphus intermedius"
"915","Alepes kleinii"
"917","Phractolaemus ansorgii"
"920","Sillago japonica"
"922","Potamothrissa obtusirostris"
"925","Lates calcarifer"
"927","Symphysodon haraldi"
"928","Megalobrama terminalis x Megalobrama amblycephala"
"930","Chitala ornata"
"932","Lepisosteus osseus"
"933","Schizothorax biddulphi"
"935","Calotomus japonicus"
"936","Channa gachua"
"937","Ctenopharyngodon idella x Megalobrama amblycephala"
"938","Silurus lanzhouensis"
"940","Rhynchocypris percnurus"
"942","Scarus forsteni"
"947","Petromyzon marinus"
"948","Sarcocheilichthys lacustris"
"949","Schizothorax grahami"
"950","Schistura corica"
"951","Labeo nasus"
"953","Eugnathogobius oligactis"
"955","Clinostomus elongatus"
"956","Phoxinus phoxinus"
"957","Nothobranchius vosseleri"
"959","Collichthys lucidus"
"962","Acanthaphritis unoorum"
"964","Zeus faber"
"965","Notropis hudsonius"
"967","Sphoeroides parvus"
"970","Pareutropius debauwi"
"973","Pachypanchax playfairii"
"976","Clarias batrachus"
"978","Acreichthys tomentosus"
"980","Sinorhodeus microlepis"
"983","Hepsetus odoe"
"986","Chaenobryttus gulosus"
"987","Epinephelus tukula"
"988","Gymnocypris dobula"
"991","Howella brodiei"
"993","Anematichthys apogon"
"994","Pareuchiloglanis sinensis"
"995","Ictalurus furcatus"
"997","Luciobarbus capito"
"999","Stenodus leucichthys"
"1000","Hippocampus reidi"
"1001","Pseudobagrus crassilabris"
"1004","Grammatobothus polyophthalmus"
"1005","Pollachius pollachius"
"1007","Bathytroctes breviceps"
"1009","Serranochromis robustus"
"1011","Pleuragramma antarctica"
"1012","Lagocephalus lagocephalus"
"1014","Bostockia porosa"
"1016","Amoya chusanensis"
"1018","Umbra limi"
"1020","Percina brevicauda"
"1023","Siganus fuscescens"
"1025","Hemigrammus bleheri"
"1026","Acipenser gueldenstaedtii x Acipenser baerii"
"1028","Genicanthus semifasciatus"
"1029","Hyporhamphus dussumieri"
"1031","Aphanopus carbo"
"1034","Leuresthes tenuis"
"1036","Creteuchiloglanis gongshanensis"
"1038","Halichoeres trimaculatus"
"1041","Mene maculata"
"1042","Ameiurus nebulosus"
"1043","Cottus czerskii"
"1045","Danio nigrofasciatus"
"1047","Mugilogobius chulae"
"1048","Sphyrna zygaena"
"1049","Tor tambra"
"1051","Tanichthys micagemmae"
"1053","Macropodus ocellatus"
"1055","Claea dabryi"
"1057","Acanthorhodeus gracilis"
"1062","Myxine glutinosa"
"1063","Glossogobius giuris"
"1066","Lycodes ygreknotatus"
"1067","Sinocyclocheilus grahami"
"1069","Tanakia koreensis"
"1071","Huso dauricus"
"1075","Salarias fasciatus"
"1078","Plectorhinchus lineatus"
"1080","Yunnanilus jinxiensis"
"1081","Tetrapturus belone"
"1082","Hippocampus erectus"
"1084","Sicydium altum"
"1085","Discogobio yunnanensis"
"1088","Monodactylus argenteus"
"1089","Triplophysa xiangxiensis"
"1092","Diodon liturosus"
"1093","Homaloptera confuzona"
"1094","Centropyge acanthops"
"1096","Pseudecheneis sulcata"
"1097","Leptobotia mantschurica"
"1098","Gobiobotia filifer"
"1101","Poecilia reticulata"
"1102","Rhodeus suigensis"
"1104","Folifer brevifilis"
"1106","Hypophthalmichthys molitrix"
"1109","Corydoras rabauti"
"1111","Thunnus obesus"
"1113","Amblygaster sirm"
"1115","Chilomycterus reticulatus"
"1116","Sphoeroides pachygaster"
"1117","Glyphis sp. Bangladesh"
"1118","Apolemichthys armitagei"
"1119","Triplophysa siluroides"
"1121","Galaxiella nigrostriata"
"1122","Squaliobarbus curriculus x Ctenopharyngodon idella"
"1123","Siniperca chuatsi x Siniperca knerii"
"1125","Sorubim cuspicaudus"
"1127","Galaxias sp. 'southern'"
"1130","Glossolepis incisus"
"1132","Algansea lacustris"
"1133","Creteuchiloglanis macropterus"
"1134","Plectorhinchus cinctus"
"1136","Eleginus gracilis"
"1137","Bathyraja maccaini"
"1141","Diaphus splendidus"
"1143","Cephalopholis urodeta"
"1144","Takifugu xanthopterus"
"1145","Bathyraja shuntovi"
"1146","Lutjanus fulviflamma"
"1149","Hypoptopoma incognitum"
"1153","Monocentris japonicus"
"1155","Micropterus salmoides"
"1157","Colistium nudipinnis"
"1158","Poecilia mexicana"
"1159","Gobiobotia intermedia"
"1160","Capoeta damascina"
"1161","Zebrias zebrinus"
"1162","Triplophysa stenura"
"1164","Platysmacheilus exiguus"
"1167","Hemiscyllium ocellatum"
"1169","Bathygobius coalitus"
"1171","Leuciscus baicalensis"
"1174","Selenotoca multifasciata"
"1176","Andinoacara pulcher"
"1178","Carassius auratus x Megalobrama amblycephala x Carassius cuvieri"
"1179","Centropyge heraldi"
"1180","Sinocyclocheilus furcodorsalis"
"1182","Leucoraja circularis"
"1183","Variola albimarginata"
"1186","Polynemus paradiseus"
"1187","Cobitis matsubarai"
"1188","Pimelodus pictus"
"1190","Parabotia banarescui"
"1191","Schistura geisleri"
"1192","Labeo pangusia"
"1194","Uraspis secunda"
"1196","Neolamprologus brichardi"
"1197","Oreonectes furcocaudalis"
"1199","Misgurnus anguillicaudatus"
"1201","Garra salweenica"
"1203","Lampetra fluviatilis"
"1204","Nothobranchius kuhntae"
"1206","Lepomis macrochirus"
"1208","Hemieleotris latifasciata"
"1210","Rhinogobius cliffordpopei"
"1212","Rasboroides vaterifloris"
"1213","Labeo boggut"
"1215","Yuriria alta"
"1216","Carcharhinus amblyrhynchoides"
"1219","Paracirrhites arcatus"
"1220","Pungitius sinensis"
"1222","Exyrias puntang"
"1223","Coreoperca loona"
"1224","Coregonus nasus"
"1226","Lycengraulis grossidens"
"1228","Crossorhombus kobensis"
"1229","Cheilopogon doederleinii"
"1230","Onychostoma rara"
"1231","Schizothorax davidi"
"1232","Nemipterus virgatus"
"1233","Lutjanus malabaricus"
"1236","Masturus lanceolatus"
"1238","Gadus ogac"
"1241","Hexagrammos agrammus"
"1243","Isurus paucus"
"1245","Syncrossus hymenophysa"
"1247","Conocara murrayi"
"1248","Rhinichthys cataractae"
"1250","Chrosomus erythrogaster"
"1251","Coregonus muksun"
"1252","Acipenser nudiventris"
"1253","Epinephelus fuscoguttatus x Epinephelus tukula"
"1256","Lepidotrigla microptera"
"1257","Opsariichthys evolans"
"1258","Cobitis melanoleuca"
"1259","Sicyopterus lagocephalus"
"1262","Hemitriakis japanica"
"1264","Aulorhynchus flavidus"
"1266","Carinotetraodon salivator"
"1268","Selaroides leptolepis"
"1269","Sarcocheilichthys davidi"
"1271","Dentex angolensis"
"1272","Microphysogobio kiatingensis"
"1274","Cirrhitichthys aprinus"
"1276","Nannoperca variegata"
"1278","Gambusia holbrooki"
"1280","Rasbora lateristriata"
"1284","Chimaera monstrosa"
"1285","Schizothorax eurystomus"
"1288","Solenostomus paradoxus"
"1290","Tridentiger trigonocephalus"
"1291","Megalobrama amblycephala"
"1293","Ompok bimaculatus"
"1295","Chaetobranchopsis bitaeniatus"
"1296","Thunnus alalunga"
"1298","Homatula berezowskii"
"1301","Cetonurus globiceps"
"1303","Trypauchen vagina"
"1304","Cyprinus carpio"
"1306","Larimichthys crocea"
"1307","Carassius auratus x Megalobrama amblycephala tetraploid hybrid"
"1310","Amblydoras gonzalezi"
"1311","Cottus hangiongensis"
"1312","Pseudobagrus medianalis"
"1313","Thamnaconus tessellatus"
"1314","Oreochromis esculentus"
"1315","Lutjanus argentimaculatus"
"1317","Opsopoeodus emiliae"
"1318","Narcine entemedor"
"1319","Carassius auratus x Megalobrama amblycephala triploid hybrid"
"1320","Megalobrama amblycephala x Megalobrama pellegrini"
"1322","Metzia lineata"
"1323","Squalidus wolterstorffi"
"1324","Tetraodon biocellatus"
"1325","Sillago sinica"
"1326","Glyphis sp. Borneo"
"1327","Tor tor"
"1330","Stegostoma fasciatum"
"1332","Selar crumenophthalmus"
"1334","Gila robusta"
"1337","Apteronotus albifrons"
"1340","Beryx mollis"
"1343","Eusphyra blochii"
"1344","Chimaera fulva"
"1346","Chiloscyllium griseum"
"1348","Discherodontus ashmeadi"
"1352","Priacanthus tayenus"
"1354","Diplacanthopoma brachysoma"
"1355","Epinephelus bontoides"
"1356","Hippocampus spinosissimus"
"1359","Scopelengys tristis"
"1361","Seriolina nigrofasciata"
"1363","Cheilochromis euchilus"
"1365","Hemilepidotus gilberti"
"1366","Oncorhynchus mykiss"
"1368","Nematalosa japonica"
"1371","Triacanthus biaculeatus"
"1372","Schistura reticulofasciata"
"1375","Datnioides microlepis"
"1376","Dipturus chilensis"
"1379","Saurida microlepis"
"1380","Trichopodus leerii"
"1381","Oreoglanis jingdongensis"
"1382","Sebastes trivittatus"
"1385","Taeniura lymma"
"1388","Myroconger compressus"
"1391","Cranoglanis bouderius"
"1392","Hypophthalmichthys nobilis x Hypophthalmichthys molitrix"
"1394","Hemiculterella sauvagei"
"1395","Scarus rubroviolaceus"
"1398","Diretmus argenteus"
"1399","Coregonus chadary"
"1400","Zebrias crossolepis"
"1404","Stomias atriventer"
"1405","Triplophysa yarkandensis"
"1406","Acrossocheilus spinifer"
"1408","Eurypegasus draconis"
"1409","Perca schrenkii"
"1410","Sebastes nigrocinctus"
"1412","Raja rhina"
"1414","Tachysurus nitidus"
"1417","Chrysichthys nigrodigitatus"
"1419","Glyptothorax sinensis"
"1421","Lavinia exilicauda"
"1425","Sargocentron spiniferum"
"1427","Petroscirtes breviceps"
"1432","Erpetoichthys calabaricus"
"1434","Gadopsis bispinosus"
"1436","Crenimugil crenilabis"
"1437","Hyporhamphus limbatus"
"1440","Nesiarchus nasutus"
"1443","Eumegistus illustris"
"1445","Acanthogobius hasta"
"1447","Konia dikume"
"1449","Mylopharyngodon piceus"
"1451","Reinhardtius hippoglossoides"
"1453","Kareius bicoloratus"
"1455","Aethaloperca rogaa"
"1456","Tropheus moorii"
"1458","Scortum barcoo"
"1459","Botia lohachata"
"1460","Megaleporinus piavussu"
"1462","Uaru amphiacanthoides"
"1464","Melanotaenia praecox"
"1467","Hyperoglyphe japonica"
"1468","Sphyrna tiburo"
"1469","Chlorophthalmus nigromarginatus"
"1472","Labracoglossa argenteiventris"
"1474","Sahyadria chalakkudiensis"
"1476","Odontamblyopus rebecca"
"1478","Xenocypris davidi"
"1479","Halichoeres melanurus"
"1480","Saurida wanieso"
"1481","Channa punctata"
"1486","Latimeria menadoensis"
"1488","Ptychidio jordani"
"1490","Psenopsis anomala"
"1491","Fundulopanchax gardneri"
"1493","Oxynoemacheilus angorae"
"1494","Channa striata"
"1496","Ilyophis brunneus"
"1497","Pungitius hellenicus"
"1498","Copadichromis virginalis"
"1502","Percopsis transmontana"
"1504","Homalopteroides smithi"
"1506","Campostoma anomalum"
"1508","Lethenteron reissneri"
"1509","Carassius cuvieri"
"1511","Chauliodus sloani"
"1513","Heteromycteris japonicus"
"1515","Scomberomorus cavalla"
"1518","Arctoscopus japonicus"
"1520","Gobio gobio"
"1523","Salangichthys microdon"
"1525","Prosopium williamsoni"
"1526","Squalidus multimaculatus"
"1528","Hypsibarbus vernayi"
"1529","Ancherythroculter nigrocauda"
"1531","Raiamas guttatus"
"1533","Horadandia atukorali"
"1534","Sarcocheilichthys nigripinnis"
"1535","Rhodeus shitaiensis"
"1536","Onychostoma fangi"
"1539","Pateobatis jenkinsii"
"1541","Plagiognathops microlepis"
"1544","Elassoma evergladei"
"1546","Potamotrygon magdalenae"
"1547","Eleotris oxycephala"
"1549","Johnius borneensis"
"1551","Atrobucca nibe"
"1553","Microdevario nana"
"1555","Monotrete cochinchinensis"
"1557","Mobula tarapacana"
"1558","Oryzias latipes"
"1560","Scaphiodonichthys acanthopterus"
"1561","Sebastes rubrivinctus"
"1562","Genicanthus lamarck"
"1564","Hypselobarbus thomassi"
"1565","Dicentrarchus punctatus"
"1568","Pempheris schwenkii"
"1571","Bagre panamensis"
"1573","Oostethus manadensis"
"1575","Trachidermus fasciatus"
"1577","Squalogadus modificatus"
"1580","Sinobatis borneensis"
"1581","Carcharhinus acronotus"
"1582","Leptobotia microphthalma"
"1583","Saurogobio dumerili"
"1586","Scombrops boops"
"1588","Seriola rivoliana"
"1589","Pseudorasbora pumila"
"1591","Euchiloglanis davidi"
"1592","Hippocampus histrix"
"1593","Oryzias sinensis"
"1596","Gnathonemus petersii"
"1597","Acheilognathus intermedia"
"1599","Tilodon sexfasciatum"
"1601","Etheostoma chuckwachatte"
"1602","Tenualosa toli"
"1603","Epinephelus chlorostigma"
"1604","Sinocyclocheilus anophthalmus"
"1606","Prionace glauca"
"1608","Balistapus undulatus"
"1609","Chaunax abei"
"1610","Eleotris amblyopsis"
"1611","Oryzias minutillus"
"1614","Synagrops japonicus"
"1616","Dawkinsia tambraparniei"
"1617","Cottus amblystomopsis"
"1618","Sardinella maderensis"
"1621","Fundulus notatus"
"1623","Acentrogobius chlorostigmatoides"
"1625","Solegnathus hardwickii"
"1627","Lefua costata"
"1629","Hypseleotris klunzingeri"
"1630","Culter alburnus x Ancherythroculter nigrocauda"
"1632","Xiphophorus maculatus"
"1633","natural gynogenetic Carassius auratus red var."
"1634","Liobagrus marginatoides"
"1635","Bangana decora"
"1636","Melanotaenia australis"
"1638","Taenioides anguillaris"
"1641","Helostoma temminkii"
"1643","Okamejei kenojei"
"1645","Mustelus mustelus"
"1649","Polymixia japonica"
"1650","Siniperca knerii"
"1652","Repomucenus curvicornis"
"1653","Acrossocheilus kreyenbergii"
"1655","Pseudopungtungia tenuicorpus"
"1656","Periophthalmus magnuspinnatus"
"1657","Clupeichthys aesarnensis"
"1659","Belligobio nummifer"
"1661","Macrhybopsis hyostoma"
"1663","Gillichthys seta"
"1664","Labeo gonius"
"1666","Catostomus commersonii"
"1667","Thamnaconus modestus"
"1669","Lythrurus fumeus"
"1671","Hemibagrus spilopterus"
"1672","Glyptothorax zanaensis"
"1673","Labeo lineatus"
"1675","Pseudaspius leptocephalus"
"1677","Tampichthys ipni"
"1679","Maccullochella mariensis"
"1681","Scaphirhynchus cf. albus"
"1682","Oncorhynchus masou"
"1685","Sphyraena jello"
"1686","Misgurnus nikolskyi"
"1687","Lepisosteus oculatus"
"1689","Schizopygopsis anteroventris"
"1690","Thunnus tonggol"
"1692","Gasterosteus aculeatus"
"1694","Tylerius spinosissimus"
"1696","Himantura uarnak"
"1697","Maccullochella macquariensis"
"1699","Discocheilus wui"
"1700","Takifugu exascurus"
"1701","Rasbora sumatrana"
"1703","Spratelloides delicatulus"
"1704","Lagocephalus lunaris"
"1705","Cyprinus acutidorsalis"
"1707","Yongeichthys criniger"
"1710","Orectolobus japonicus"
"1712","Abudefduf bengalensis"
"1714","Pterygoplichthys disjunctivus"
"1715","Prochilodus costatus"
"1717","Conger japonicus"
"1718","Labiobarbus ocellatus"
"1719","Acheilognathus typus"
"1720","Luciogobius grandis"
"1721","Discherodontus schroederi"
"1722","Hippoglossus hippoglossus"
"1724","Neosalanx taihuensis"
"1726","Alopias pelagicus"
"1729","Anoplocapros lenticularis"
"1732","Hoplunnis punctata"
"1733","Sarcocheilichthys kiangsiensis"
"1734","Taeniura meyeni"
"1735","Triplophysa venusta"
"1736","Rhinogobius leavelli"
"1737","Salvelinus malma"
"1739","Odaxothrissa vittata"
"1743","Squalus brevirostris"
"1744","Dipturus innominatus"
"1745","Carcharhinus melanopterus"
"1746","Raiamas senegalensis"
"1747","Glyptothorax lanceatus"
"1748","Potamothrissa acutirostris"
"1751","Paralichthys olivaceus"
"1754","Psephurus gladius"
"1755","Lepisosteus platyrhincus"
"1757","Sagamichthys abei"
"1758","Pampus sp. LY-2009"
"1759","Squalidus argentatus"
"1761","Liza carinata"
"1762","Acipenser ruthenus"
"1764","Esomus metallicus"
"1765","Cottus dzungaricus"
"1768","Ablennes hians"
"1769","Lutjanus kasmira"
"1770","Lythrurus ardens"
"1773","Pristiophorus japonicus"
"1774","Tanakia himantegus"
"1776","Coilia brachygnathus"
"1780","Hiodon alosoides"
"1782","Dunckerocampus dactyliophorus"
