#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
ASV3	Gasterosteus aculeatus microcephalus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: FRLM:52767	LC277885	481460	98.225	100	4.08e-76	296	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus microcephalus
ASV3	Gasterosteus aculeatus aculeatus mitochondrial gene for 12S rRNA, partial sequence	LC026580	481459	98.225	100	4.08e-76	296	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus aculeatus
ASV3	Gasterosteus aculeatus personal:Katsutoshi Watanabe:G52-1 mitochodrial gene for 12S rRNA, partial sequence	LC601883	69293	98.225	100	4.08e-76	296	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus
ASV3	Gasterosteus aculeatus mitochondrial DNA, complete genome, except for D-loop	AP002944	69293	98.225	100	4.08e-76	296	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus
ASV4	Sebastes baramenuke FAKU:81605 mitochondrial gene for 12S rRNA, partial sequence	LC552555	214491	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes baramenuke
ASV4	Sebastes alutus NSMT:P:90612 mitochondrial gene for 12S rRNA, partial sequence	LC519384	72055	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes alutus
ASV4	Sebastes joyneri CBM:ZF:20130 mitochondrial gene for 12S rRNA, partial sequence	LC519381	160817	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes joyneri
ASV4	Sebastes cheni CBM:ZF:18290 mitochondrial gene for 12S rRNA, partial sequence	LC519380	1738870	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes cheni
ASV4	Sebastes cheni CBM:ZF:18289 mitochondrial gene for 12S rRNA, partial sequence	LC519379	1738870	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes cheni
ASV4	Sebastes alutus FAKU:201587 mitochondrial gene for 12S rRNA, partial sequence	LC506683	72055	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes alutus
ASV4	Sebastes cheni CBM:ZF:19677 mitochondrial gene for 12S rRNA, partial sequence	LC492348	1738870	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes cheni
ASV4	Sebastes pachycephalus CBM:ZF:19757 mitochondrial gene for 12S rRNA, partial sequence	LC492344	201706	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes pachycephalus
ASV4	Sebastes alutus voucher University of Washington UW157691.2 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MK803056	72055	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes alutus
ASV4	Sebastes alutus voucher University of Washington UW157686.2 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MK803050	72055	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Sebastidae / Sebastes / Sebastes alutus
ASV5	Ammodytes personatus isolate AP3 mitochondrion, complete genome	MK163332	215382	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes personatus
ASV5	Ammodytes personatus isolate AP2 mitochondrion, complete genome	MK163331	215382	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes personatus
ASV5	Ammodytes personatus isolate AP1 mitochondrion, complete genome	MK163330	215382	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes personatus
ASV5	Ammodytes personatus mitochondrial DNA, complete genome	AP006023	215382	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes personatus
ASV5	Ammodytes japonicus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: CBM:ZF:13547	AB969933	1483214	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes japonicus
ASV5	Ammodytes personatus mitochondrion, complete genome	KF672362	215382	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes personatus
ASV5	Ammodytes personatus mitochondrion, complete genome	JQ085861	215382	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes personatus
ASV5	Ammodytes marinus mitochondrion, complete genome	MN122922	146480	99.408	100	1.89e-79	307	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes marinus
ASV5	Ammodytes tobianus mitochondrion, complete genome	MN122889	84621	99.408	100	1.89e-79	307	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes tobianus
ASV5	Ammodytes marinus isolate FR01 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW818431	146480	99.408	100	1.89e-79	307	Genbank	Eukaryota / Chordata / Actinopteri / Uranoscopiformes / Ammodytidae / Ammodytes / Ammodytes marinus
ASV6	Hexagrammos decagrammus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151439	LC091901	274741	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos decagrammus
ASV6	Hexagrammos decagrammus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:119939	LC091900	274741	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos decagrammus
ASV6	Hexagrammos decagrammus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:118547	LC091899	274741	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos decagrammus
ASV6	Hexagrammos decagrammus 12S ribosomal RNA gene, partial sequence; mitochondrial	KM057963	274741	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos decagrammus
ASV6	Hexagrammos agrammus mitochondrion, complete genome	MT363637	192376	98.204	98	5.32e-75	292	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos agrammus
ASV6	Hexagrammos agrammus CBM:ZF:19773 mitochondrial gene for 12S rRNA, partial sequence	LC492353	192376	98.204	98	5.32e-75	292	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos agrammus
ASV6	Hexagrammos agrammus CBM:ZF:19760 mitochondrial gene for 12S rRNA, partial sequence	LC492352	192376	98.204	98	5.32e-75	292	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos agrammus
ASV6	Hexagrammos agrammus CBM:ZF:19697 mitochondrial gene for 12S rRNA, partial sequence	LC492351	192376	98.204	98	5.32e-75	292	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos agrammus
ASV6	Hexagrammos agrammus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: CBM:ZF:17713	LC277980	192376	98.204	98	5.32e-75	292	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos agrammus
ASV6	Hexagrammos agrammus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: CBM:ZF:15301	AB969905	192376	98.204	98	5.32e-75	292	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Hexagrammidae / Hexagrammos / Hexagrammos agrammus
ASV7	Oncorhynchus gorbuscha mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:040102	LC091621	8017	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus gorbuscha
ASV7	Oncorhynchus gorbuscha mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151072	LC091620	8017	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus gorbuscha
ASV7	Oncorhynchus gorbuscha mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:223890	LC069500	8017	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus gorbuscha
ASV7	Oncorhynchus gorbuscha mitochondrion, complete genome	EF455489	8017	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus gorbuscha
ASV7	Oncorhynchus nerka isolate FB1 mitochondrion, complete genome	MG993162	8023	99.412	100	5.28e-80	309	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus nerka
ASV7	Oncorhynchus nerka isolate FB7 mitochondrion, complete genome	MH003641	8023	99.412	100	5.28e-80	309	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus nerka
ASV7	Oncorhynchus nerka isolate FB2 mitochondrion, complete genome	MH003639	8023	99.412	100	5.28e-80	309	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus nerka
ASV7	Oncorhynchus nerka mitochondrion, complete genome	NC_008615	8023	99.412	100	5.28e-80	309	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus nerka
ASV7	Oncorhynchus mykiss isolate CES077 tRNA-Phe gene, partial sequence; 12S ribosomal RNA and tRNA-Val genes, complete sequence; and 16S ribosomal RNA gene, partial sequence; mitochondrial	KY798500	8022	98.824	100	2.46e-78	303	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus mykiss
ASV7	Oncorhynchus mykiss voucher NEFC_F16-293 mitochondrion, complete genome.	MF621750	8022	98.824	100	2.46e-78	303	Genbank	Eukaryota / Chordata / Actinopteri / Salmoniformes / Salmonidae / Oncorhynchus / Oncorhynchus mykiss
ASV8	Pholis laeta mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151665	LC092021	283367	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis laeta
ASV8	Pholis laeta mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151654	LC092020	283367	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis laeta
ASV8	Pholis gunnellus isolate RF61 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	MH377827	56726	99.405	100	6.73e-79	305	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis gunnellus
ASV8	Pholis crassispina CBM:ZF:18298 mitochondrial gene for 12S rRNA, partial sequence	LC385123	283025	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis crassispina
ASV8	Pholis crassispina mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:222848	LC037129	283025	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis crassispina
ASV8	Pholis picta mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:190336	LC037127	283026	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis picta
ASV8	Pholis ornata mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:152994	LC092019	283028	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis ornata
ASV8	Pholis ornata mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151676	LC092018	283028	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis ornata
ASV8	Pholis clemensi mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:047872	LC092017	740703	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis clemensi
ASV8	Pholis clemensi mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:118575	LC092016	740703	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Pholidae / Pholis / Pholis clemensi
ASV9	Leptocottus armatus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:152928	LC091940	214925	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Leptocottus / Leptocottus armatus
ASV9	Leptocottus armatus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151646	LC091939	214925	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Leptocottus / Leptocottus armatus
ASV9	Leptocottus armatus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151185	LC091930	214925	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Leptocottus / Leptocottus armatus
ASV9	Leptocottus armatus mitochondrial gene for 12S rRNA, partial sequence, country:USA: California, Camp Pendleton	AB188194	214925	99.412	100	5.28e-80	309	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Leptocottus / Leptocottus armatus
ASV9	Leptocottus armatus 12S ribosomal RNA gene, partial sequence; mitochondrial	KM057968	214925	99.412	100	1.90e-79	307	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Leptocottus / Leptocottus armatus
ASV9	Cottus szanaga isolate CSZIF3 mitochondrion, complete genome	KX762050	1920503	98.235	100	1.14e-76	298	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Cottus / Cottus szanaga
ASV9	Cottus szanaga isolate CSZID2 mitochondrion, complete genome	KX762049	1920503	98.235	100	1.14e-76	298	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Cottus / Cottus szanaga
ASV9	Cottus czerskii mitochondrion, complete genome	KJ956027	157167	98.235	100	4.11e-76	296	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Cottus / Cottus czerskii
ASV9	Taurocottus bergii BSKU:122312 mitochondrial gene for 12S rRNA, partial sequence	LC579106	1849266	98.235	100	4.11e-76	296	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Taurocottus / Taurocottus bergii
ASV9	Cottus poecilopus mitochondrion, complete genome	EU332750	182643	98.235	100	4.11e-76	296	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Cottidae / Cottus / Cottus poecilopus
ASV10	Embiotoca lateralis mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:155041	LC091976	229144	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Embiotoca / Embiotoca lateralis
ASV10	Embiotoca lateralis mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:113232	LC091975	229144	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Embiotoca / Embiotoca lateralis
ASV10	Rhacochilus vacca mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:113150	LC091972	50905	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Rhacochilus / Rhacochilus vacca
ASV10	Rhacochilus vacca mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:047650	LC091971	50905	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Rhacochilus / Rhacochilus vacca
ASV10	Rhacochilus vacca 12S ribosomal RNA gene, partial sequence; mitochondrial	AY279572	50905	98.810	100	3.13e-77	300	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Rhacochilus / Rhacochilus vacca
ASV10	Zalembius rosaceus isolate SIO 95-03 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW630187	100204	98.214	100	1.46e-75	294	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Zalembius / Zalembius rosaceus
ASV10	Phanerodon furcatus isolate SIO 02-72 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW630186	100200	98.214	100	1.46e-75	294	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Phanerodon / Phanerodon furcatus
ASV10	Phanerodon furcatus voucher LACM:DISCO 13429 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW575776	100200	98.214	100	1.46e-75	294	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Phanerodon / Phanerodon furcatus
ASV10	Embiotoca jacksoni mitochondrion, complete genome	KU530212	100190	97.041	100	3.15e-72	283	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Embiotoca / Embiotoca jacksoni
ASV10	Embiotoca jacksoni isolate KU:IT:58 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW630184	100190	97.041	100	3.15e-72	283	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Embiotoca / Embiotoca jacksoni
ASV11	Anoplarchus purpurescens mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:196823	LC069677	320623	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Anoplarchus / Anoplarchus purpurescens
ASV11	Anoplarchus purpurescens mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151681	LC092011	320623	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Anoplarchus / Anoplarchus purpurescens
ASV11	Anoplarchus purpurescens mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151672	LC092010	320623	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Anoplarchus / Anoplarchus purpurescens
ASV11	Anoplarchus insignis mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:047870	LC091997	1225888	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Anoplarchus / Anoplarchus insignis
ASV11	Anoplarchus insignis mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:047869	LC091996	1225888	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Anoplarchus / Anoplarchus insignis
ASV11	Anoplarchus purpurescens mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151653	LC091995	320623	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Anoplarchus / Anoplarchus purpurescens
ASV11	Anoplarchus insignis isolate CIS-s10 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OK172576	1225888	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Anoplarchus / Anoplarchus insignis
ASV11	Leptoclinus maculatus ZMUB:21840 mitochondrial DNA, complete genome	LC493904	980417	96.450	100	4.11e-71	279	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Leptoclinus / Leptoclinus maculatus
ASV11	Leptoclinus maculatus ZMUB:ICHT:10004 mitochondrial gene for 12S rRNA, partial sequence	LC458372	980417	96.450	100	4.11e-71	279	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Leptoclinus / Leptoclinus maculatus
ASV11	Anisarchus medius CBM:DNA No. 2018-381 mitochondrial gene for 12S rRNA, partial sequence	LC458265	980385	96.450	100	4.11e-71	279	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Stichaeidae / Anisarchus / Anisarchus medius
ASV12	Isopsetta isolepis mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:154472	LC145941	195617	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Pleuronectidae / Isopsetta / Isopsetta isolepis
ASV12	Psettichthys melanostictus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151421	LC145938	195639	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Pleuronectidae / Psettichthys / Psettichthys melanostictus
ASV12	Parophrys vetulus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:152927	LC145937	172659	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Pleuronectidae / Parophrys / Parophrys vetulus
ASV12	Parophrys vetulus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151394	LC145936	172659	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Pleuronectidae / Parophrys / Parophrys vetulus
