seed_asv_reads	description	accession	identity_percentage	evalue	bitscore
ASV283_5935	Uncultured bacterium clone 07152 16S ribosomal RNA gene, partial sequence	MF011563	98.41	5.21613e-120	240.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_426466	LN531544	98.02	6.74749e-119	238.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_267101	LN527962	98.02	6.74749e-119	238.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_238925	LN527366	98.02	6.74749e-119	238.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.4.1.2_299584	LN520004	98.02	6.74749e-119	238.0
ASV283_5935	uncultured Bacterium partial 16S rRNA gene	OV288926	98.02	2.42683e-118	237.0
ASV283_5935	Uncultured bacterium clone OTU_5949 16S ribosomal RNA gene, partial sequence	MH529597	97.63	3.1393e-117	235.0
ASV283_5935	Uncultured organism isolate 1301VA10 clone 142 16S ribosomal RNA gene, partial sequence	KT271336	98.38	3.1393e-117	235.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.2.1.6_144402	LN544490	97.63	3.1393e-117	235.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_251486	LN527627	97.63	3.1393e-117	235.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.2.1.6_410448	LN550917	97.63	3.1393e-117	235.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_22323	LN522812	97.63	3.1393e-117	235.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.2.1.6_360570	LN549677	97.63	3.1393e-117	235.0
ASV283_5935	Uncultured bacterium clone OTU_12466 16S ribosomal RNA gene, partial sequence	KR843750	98.37	4.06094e-116	233.0
ASV283_5935	Uncultured bacterium clone OTU_5917 16S ribosomal RNA gene, partial sequence	MH529565	97.23	1.46058e-115	232.0
ASV283_5935	Uncultured bacterium clone GASP-WC2S1_F12 16S ribosomal RNA gene, partial sequence	EF074958	97.23	1.46058e-115	232.0
ASV283_5935	uncultured Bacterium partial 16S rRNA gene	OV288288	97.22	5.25316e-115	231.0
ASV283_5935	Uncultured prokaryote gene for urease, partial sequence, 16S_OTU:13447	LC300495	97.96	1.88937e-114	230.0
ASV283_5935	Uncultured candidate division OD1 bacterium clone Paddy_75_2211 16S ribosomal RNA gene, partial sequence	JF982923	96.84	6.7954e-114	229.0
ASV283_5935	Uncultured prokaryote gene for urease, partial sequence, 16S_OTU:13364	LC300418	97.55	8.7904e-113	227.0
ASV283_5935	Uncultured bacterium clone OTU85824_AL194_7650462 16S ribosomal RNA gene, partial sequence	KP936171	97.55	8.7904e-113	227.0
ASV283_5935	Uncultured bacterium clone OTU_5801 16S ribosomal RNA gene, partial sequence	MH529449	96.44	3.16159e-112	226.0
ASV283_5935	Uncultured bacterium clone OTU_5734 16S ribosomal RNA gene, partial sequence	MH529382	96.44	3.16159e-112	226.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_315207	LN529087	96.44	3.16159e-112	226.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_257251	LN527751	96.44	3.16159e-112	226.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_171839	LN525911	96.44	3.16159e-112	226.0
ASV283_5935	Uncultured microorganism clone RB1_original55 16S ribosomal RNA gene, partial sequence	KF275246	96.44	3.16159e-112	226.0
ASV283_5935	Uncultured bacterium clone OTU_3161 16S ribosomal RNA gene, partial sequence	KX970755	96.43	1.13711e-111	225.0
ASV283_5935	Uncultured bacterium clone OTU_5079 16S ribosomal RNA gene, partial sequence	KR836363	97.14	4.08978e-111	224.0
ASV283_5935	Uncultured bacterium clone 12999 16S ribosomal RNA gene, partial sequence	KU109848	97.14	4.08978e-111	224.0
ASV283_5935	Uncultured bacterium clone OTU112268_AL205_929303 16S ribosomal RNA gene, partial sequence	KP916575	97.14	4.08978e-111	224.0
ASV283_5935	Uncultured bacterium clone OTU_5930 16S ribosomal RNA gene, partial sequence	MH529578	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium clone OTU_5622 16S ribosomal RNA gene, partial sequence	MH529270	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.1.6.1.4_6500	LN532214	96.06	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_407328	LN531089	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_360079	LN530026	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_351087	LN529840	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_298518	LN528666	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_294219	LN528576	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_287086	LN528419	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_244411	LN527473	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_208609	LN526686	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_72607	LN523804	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.1.6.1.4_267948	LN537387	96.06	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.1.6.1.4_238872	LN536811	96.06	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_9185 >gi|697249902|emb|LN526980.1| Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_222797	LN522563	96.05	1.47094e-110	223.0
ASV283_5935	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.4.1.2_369165	LN521072	96.06	1.47094e-110	223.0
ASV285_5896	Synchirus gilli mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:049429	LC104541	100.00	2.65485e-81	170.0
ASV285_5896	Synchirus gilli voucher #05-186 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846524	100.00	2.6737e-76	161.0
ASV287_5812	Uncultured cyanobacterium clone CFA05 16S ribosomal RNA gene, partial sequence	JF929446	95.26	3.18404e-107	217.0
ASV287_5812	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43 >gi|2237334164|emb|OW749573.1| uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW539364	93.88	8.97896e-98	200.0
ASV287_5812	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43 >gi|2237334157|emb|OW749566.1| uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW539357	92.21	5.44231e-90	186.0
ASV287_5812	Uncultured organism isolate 1207VA12 clone 3 16S ribosomal RNA gene, partial sequence	KT271321	91.84	1.9574e-89	185.0
ASV287_5812	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW762481	91.87	1.9574e-89	185.0
ASV287_5812	Uncultured organism clone SBYG_6906 16S ribosomal RNA gene, partial sequence	JN451265	91.30	1.9574e-89	185.0
ASV287_5812	Uncultured bacterium clone 40H09 16S ribosomal RNA gene, partial sequence	HQ189675	90.91	1.9574e-89	185.0
ASV287_5812	Uncultured bacterium clone OTU_1330 16S ribosomal RNA gene, partial sequence	KX968996	90.91	7.04007e-89	184.0
ASV287_5812	Uncultured bacterium clone Upland_8_4723 16S ribosomal RNA gene, partial sequence	JF985425	90.51	3.27543e-87	181.0
ASV287_5812	Uncultured bacterium C1_B036 16S ribosomal RNA gene, partial sequence	AF419697	90.59	3.27543e-87	181.0
ASV287_5812	Uncultured bacterium clone OTU155918_AL243_2146038 16S ribosomal RNA gene, partial sequence	KP922735	91.36	1.17805e-86	180.0
ASV287_5812	uncultured fungus genomic DNA sequence contains ITS1	OW837030	90.48	1.17805e-86	180.0
ASV287_5812	Uncultured bacterium clone 1516 16S ribosomal RNA gene, partial sequence	KX703590	91.02	4.23703e-86	179.0
ASV287_5812	Uncultured bacterium clone A494_Bac838 16S ribosomal RNA gene, partial sequence	KY125452	90.76	4.23703e-86	179.0
ASV287_5812	Uncultured microorganism clone 2 16S ribosomal RNA gene, partial sequence	MF042364	90.16	1.52391e-85	178.0
ASV287_5812	Uncultured bacterium clone OTU_8122 16S ribosomal RNA gene, partial sequence	KX975449	90.16	1.52391e-85	178.0
ASV287_5812	Uncultured bacterium clone New.OTU10052_1 16S ribosomal RNA gene, partial sequence	MF366885	90.20	9.17156e-83	173.0
ASV287_5812	Uncultured bacterium clone OTU_13986 16S ribosomal RNA gene, partial sequence >gi|1002672817|gb|KU336485.1| Uncultured bacterium clone OTU_13986 16S ribosomal RNA gene, partial sequence	KU223959	90.24	9.17156e-83	173.0
ASV287_5812	Uncultured bacterium clone OTU56698_AL228_43774 16S ribosomal RNA gene, partial sequence	KP932077	90.20	9.17156e-83	173.0
ASV287_5812	Uncultured bacterium clone filt880525 16S ribosomal RNA gene, partial sequence	KY959758	90.20	9.17156e-83	173.0
ASV287_5812	Uncultured bacterium clone OTU114679_AL214_99315 16S ribosomal RNA gene, partial sequence	KP916885	90.16	1.18642e-81	171.0
ASV306_5310	Uncultured bacterium clone cafs1995 16S ribosomal RNA gene, partial sequence	MF439227	95.65	6.84364e-109	220.0
ASV306_5310	Uncultured bacterium clone OTU_5788 16S ribosomal RNA gene, partial sequence	KX973246	94.86	1.48139e-105	214.0
ASV306_5310	Uncultured bacterium partial 16S rRNA gene, clone SIBS864_N12D0_16S_B	LN564834	94.88	1.48139e-105	214.0
ASV306_5310	Uncultured bacterium clone OTU_4312 16S ribosomal RNA gene, partial sequence	KX971846	94.47	6.89223e-104	211.0
ASV306_5310	Uncultured bacterium clone OTU_2629 16S ribosomal RNA gene, partial sequence	KR833913	95.10	8.91566e-103	209.0
ASV306_5310	Uncultured bacterium clone ELA_111314_OTU_1950 16S ribosomal RNA gene, partial sequence	KY517460	94.07	3.20664e-102	208.0
ASV306_5310	Uncultured bacterium clone OTU_4696 16S ribosomal RNA gene, partial sequence	KX972214	94.09	3.20664e-102	208.0
ASV306_5310	Uncultured bacterium partial 16S rRNA gene, isolate BACT_OTU_2731	LT843951	93.28	6.94116e-99	202.0
ASV306_5310	Uncultured bacterium clone 02g09 16S ribosomal RNA gene, partial sequence	GQ133268	93.28	6.94116e-99	202.0
ASV306_5310	Uncultured bacterium clone 01e12 16S ribosomal RNA gene, partial sequence	GQ132243	93.28	6.94116e-99	202.0
ASV306_5310	Uncultured bacterium partial 16S rRNA gene, isolate BACT_OTU_1022	LT844228	92.89	3.22941e-97	199.0
ASV306_5310	Uncultured bacterium partial 16S rRNA gene, isolate BACT_OTU_2733	LT843972	92.89	3.22941e-97	199.0
ASV306_5310	Uncultured bacterium clone MISEQ01_89_000000000-A647M_1_1103_3735_9600 16S ribosomal RNA gene, partial sequence	KP378575	92.49	1.5025e-95	196.0
ASV306_5310	Uncultured bacterium clone 14043 16S ribosomal RNA gene, partial sequence	KU110798	93.06	1.9436e-94	194.0
ASV306_5310	Uncultured bacterium clone 22609 16S ribosomal RNA gene, partial sequence	KU118594	91.39	1.17805e-86	180.0
ASV306_5310	Uncultured bacterium clone OTU111585_AL220_943517 16S ribosomal RNA gene, partial sequence	KP916473	91.39	1.17805e-86	180.0
ASV311_5157	No Results
ASV339_4566	Cosmocampus arctus voucher #11-100 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846087	98.20	1.23474e-74	158.0
ASV346_4476	Uncultured microorganism clone 500 16S ribosomal RNA gene, partial sequence	MF042862	92.49	1.5025e-95	196.0
ASV346_4476	Uncultured bacterium clone OTU_7583 16S ribosomal RNA gene, partial sequence	KX974936	92.49	1.5025e-95	196.0
ASV346_4476	Uncultured microorganism clone 304 16S ribosomal RNA gene, partial sequence	MF042666	92.40	6.99044e-94	193.0
ASV346_4476	Uncultured bacterium clone 081029-OL-KR13:6-8 16S ribosomal RNA gene, partial sequence	FJ851573	92.13	6.99044e-94	193.0
ASV346_4476	Uncultured microorganism clone 597 16S ribosomal RNA gene, partial sequence	MF042959	91.70	3.25234e-92	190.0
ASV346_4476	Uncultured bacterium clone ELA_111314_OTU_3106 16S ribosomal RNA gene, partial sequence	KY518528	92.00	3.25234e-92	190.0
ASV346_4476	Uncultured bacterium clone GSPM_10 16S ribosomal RNA gene, partial sequence	KF623861	92.00	3.25234e-92	190.0
ASV346_4476	Uncultured bacterium partial 16S rRNA gene, clone t30d34L57	FM956242	91.70	3.25234e-92	190.0
ASV346_4476	Uncultured microorganism clone 457 16S ribosomal RNA gene, partial sequence	MF042819	91.30	1.51316e-90	187.0
ASV346_4476	Uncultured Parcubacteria group bacterium clone 400 16S ribosomal RNA gene, partial sequence	MF042762	91.30	1.51316e-90	187.0
ASV346_4476	Uncultured bacterium clone Clip 159 16S ribosomal RNA gene, partial sequence	HQ691934	91.30	1.51316e-90	187.0
ASV346_4476	Uncultured bacterium clone ELA_111314_OTU_2467 16S ribosomal RNA gene, partial sequence	KY517943	91.20	7.04007e-89	184.0
ASV346_4476	Uncultured bacterium clone OTU_8442 16S ribosomal RNA gene, partial sequence	KX975752	90.91	7.04007e-89	184.0
ASV346_4476	Uncultured bacterium clone XCDL-20-WB31 16S ribosomal RNA gene, partial sequence	FJ948253	90.91	7.04007e-89	184.0
ASV346_4476	Uncultured bacterium clone CRO_C6_GW_16S_Clone_64 16S ribosomal RNA gene, partial sequence	JQ041470	90.51	2.53206e-88	183.0
ASV346_4476	Uncultured bacterium clone OTU_3606 16S ribosomal RNA gene, partial sequence	KX971177	90.51	3.27543e-87	181.0
ASV346_4476	Uncultured bacterium clone XCDL-20-WB39 16S ribosomal RNA gene, partial sequence	FJ948256	90.51	3.27543e-87	181.0
ASV346_4476	Uncultured candidate division OP11 bacterium partial 16S rRNA gene, clone B1-64	AM229484	90.51	3.27543e-87	181.0
ASV346_4476	Uncultured bacterium clone 21856 16S ribosomal RNA gene, partial sequence	KU117911	91.32	4.23703e-86	179.0
ASV346_4476	Uncultured microorganism clone 687 16S ribosomal RNA gene, partial sequence	MF043049	90.12	1.52391e-85	178.0
ASV346_4476	Uncultured microorganism clone 594 16S ribosomal RNA gene, partial sequence	MF042956	90.12	1.52391e-85	178.0
ASV346_4476	Uncultured microorganism clone 354 16S ribosomal RNA gene, partial sequence	MF042716	90.12	1.52391e-85	178.0
ASV346_4476	Uncultured microorganism clone 3 16S ribosomal RNA gene, partial sequence	MF042365	90.12	1.52391e-85	178.0
ASV346_4476	Uncultured bacterium clone OTU468 16S ribosomal RNA gene, partial sequence	MF454551	90.12	1.52391e-85	178.0
ASV346_4476	Uncultured bacterium clone OTU1066 16S ribosomal RNA gene, partial sequence	MF450581	90.12	1.52391e-85	178.0
ASV346_4476	Uncultured bacterium clone ELA_111314_OTU_4062 16S ribosomal RNA gene, partial sequence	KY519420	90.12	1.52391e-85	178.0
ASV346_4476	Uncultured organism clone SBYH_1758 16S ribosomal RNA gene, partial sequence	JN454910	90.16	1.52391e-85	178.0
ASV346_4476	Uncultured bacterium partial 16S rRNA gene, clone HydGH-Bac21	AM229196	90.40	1.52391e-85	178.0
ASV346_4476	Uncultured bacterium partial 16S rRNA gene, clone HA-EUB-T9-47	FM867974	90.20	1.52391e-85	178.0
ASV346_4476	Uncultured bacterium clone OTU_8734 16S ribosomal RNA gene, partial sequence	KX976019	90.00	7.09005e-84	175.0
ASV346_4476	Uncultured bacterium clone CP_Otu7067 16S ribosomal RNA gene, partial sequence	KY281887	90.20	9.17156e-83	173.0
ASV371_3857	Ralstonia pickettii strain MCR chromosome 1, complete sequence	CP104381	95.30	4.99209e-58	128.0
ASV371_3857	Ralstonia mannitolilytica strain Guangzhou-RMAB10 chromosome 1	CP049132	95.24	6.45768e-57	126.0
ASV371_3857	Ralstonia mannitolilytica strain SN82F48 chromosome 1, complete sequence	CP010799	95.24	6.45768e-57	126.0
ASV371_3857	Ralstonia pickettii strain FDAARGOS_1535 chromosome 1, complete sequence	CP084359	94.63	2.32259e-56	125.0
ASV371_3857	Ralstonia pickettii strain K-288 chromosome 1, complete sequence	CP066771	94.63	2.32259e-56	125.0
ASV371_3857	Ralstonia solanacearum strain FJAT1303.F1 chromosome, complete genome	CP052128	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT1303.F50 chromosome, complete genome	CP052126	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT1303.F8 chromosome, complete genome	CP052130	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT1452.F1 chromosome, complete genome	CP052124	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT1452.F50 chromosome, complete genome	CP052122	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT1458.F1 chromosome, complete genome	CP052120	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT1458.F50 chromosome, complete genome	CP052118	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT1463.F1 chromosome, complete genome	CP052116	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia pseudosolanacearum strain PSS4 chromosome, complete genome	CP115957	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia sp. RS647 chromosome, complete genome	CP086265	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia sp. RS650 chromosome, complete genome	CP086104	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia sp. RS642 chromosome, complete genome	CP086018	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain RS639 chromosome, complete genome	CP084738	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain RS638 chromosome, complete genome	CP085043	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain WR-1 chromosome 1, complete sequence	CP102184	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain Wj644 chromosome 1, complete sequence	CP102182	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia pseudosolanacearum strain Cw717 chromosome 1, complete sequence	CP104494	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia pseudosolanacearum strain Gj707 chromosome 1, complete sequence	CP104496	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia pseudosolanacearum strain Sw698 chromosome 1, complete sequence	CP104498	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain Bs715 chromosome 1, complete sequence	CP102181	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain RS-N chromosome 1, complete sequence	CP099579	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia pseudosolanacearum strain PeaFJ1 chromosome, complete genome	CP069245	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia pseudosolanacearum strain SL1931 chromosome, complete genome	CP093535	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain CIP417_UW70 chromosome	CP088235	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJ1003 chromosome 1, complete sequence	CP087277	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain RS10 chromosome, complete genome	CP076415	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain RS24 chromosome, complete genome	CP076120	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain Rs-SY1 chromosome, complete genome	CP076115	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia nicotianae strain RS chromosome, complete genome	CP046674	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain 362200 chromosome, complete genome	CP065531	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum MAFF 311693 DNA, complete genome	AP024161	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum MAFF 211479 DNA, complete genome	AP024159	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum MAFF 211472 DNA, complete genome	AP024157	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum MAFF 241648 DNA, complete genome	AP024107	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum MAFF 241647 DNA, complete genome	AP024105	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum MAFF 301560 DNA, complete genome	AP024103	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum MAFF 211491 DNA, complete genome	AP024101	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum MAFF 211479 DNA, complete genome	AP024099	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum MAFF 211471 DNA, complete genome	AP024097	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain UW763 chromosome, complete genome	CP051173	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT454.F50-1 chromosome, complete genome	CP060701	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain YQ chromosome, complete genome	CP059489	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT15244-F8 chromosome, complete genome	CP059376	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT91-F8 chromosome, complete genome	CP056085	91.95	1.08827e-49	113.0
ASV371_3857	Ralstonia solanacearum strain FJAT91-F1 chromosome, complete genome	CP056083	91.95	1.08827e-49	113.0
ASV380_3811	Uncultured bacterium clone IN_A05 16S ribosomal RNA gene, partial sequence	JX564321	99.60	1.44006e-125	250.0
ASV380_3811	Uncultured organism clone 1454 16S ribosomal RNA gene, partial sequence	JN221392	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 408 16S ribosomal RNA gene, partial sequence	JN220346	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 1199 16S ribosomal RNA gene, partial sequence	JN221137	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 953 16S ribosomal RNA gene, partial sequence	JN220891	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 946 16S ribosomal RNA gene, partial sequence >gi|342311813|gb|JN221306.1| Uncultured organism clone 1368 16S ribosomal RNA gene, partial sequence	JN220884	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 889 16S ribosomal RNA gene, partial sequence	JN220827	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 786 16S ribosomal RNA gene, partial sequence	JN220724	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 675 16S ribosomal RNA gene, partial sequence	JN220613	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 504 16S ribosomal RNA gene, partial sequence	JN220442	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 392 16S ribosomal RNA gene, partial sequence	JN220330	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 189 16S ribosomal RNA gene, partial sequence	JN220127	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 162 16S ribosomal RNA gene, partial sequence	JN220100	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 124 16S ribosomal RNA gene, partial sequence	JN220062	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured organism clone 35 16S ribosomal RNA gene, partial sequence	JN219973	99.21	6.69992e-124	247.0
ASV380_3811	Uncultured bacterium clone OTU_5934 16S ribosomal RNA gene, partial sequence	MH529582	98.81	3.11717e-122	244.0
ASV380_3811	Uncultured bacterium clone OTU_5059 16S ribosomal RNA gene, partial sequence	KX972560	98.81	3.11717e-122	244.0
ASV380_3811	Uncultured organism clone 286 16S ribosomal RNA gene, partial sequence	JN220224	98.82	3.11717e-122	244.0
ASV380_3811	Uncultured organism clone 1126 16S ribosomal RNA gene, partial sequence	JN221064	98.81	3.11717e-122	244.0
ASV380_3811	Uncultured organism clone 1090 16S ribosomal RNA gene, partial sequence	JN221028	98.82	3.11717e-122	244.0
ASV380_3811	Uncultured organism clone 872 16S ribosomal RNA gene, partial sequence	JN220810	98.82	3.11717e-122	244.0
ASV380_3811	Uncultured organism clone 13 16S ribosomal RNA gene, partial sequence	JN219951	98.82	3.11717e-122	244.0
ASV380_3811	Uncultured bacterium clone 2609 16S ribosomal RNA gene, partial sequence	MF558236	98.81	1.12113e-121	243.0
ASV380_3811	Uncultured organism clone 149 16S ribosomal RNA gene, partial sequence	JN220087	98.81	1.12113e-121	243.0
