"query","species"
"Bathypallenopsis oculotuberculosis","Bathypallenopsis oculotuberculosis"
"Bathypallenopsis tritonis","Bathypallenopsis tritonis"
"Bathypathes alternata","Alternatipathes alternata"
"Bathypera ovoida","Bathypera ovoida"
"Bathypolypus salebrosus","Sasakiopus salebrosus"
"Bathysoecia bassleri","Bathysoecia bassleri"
"Bathysoecia hastingsae","Bathysoecia hastingsae"
"Bathystyeloides anfractus","Bathystyeloides anfractus"
"Bathystyeloides atlantica","Bathystyeloides enderbyanus"
"Bathystyeloides enderbyanus","Bathystyeloides enderbyanus"
"Bathystyeloides magnus","Bathystyeloides magnus"
"Beania alaskensis","Beania alaskensis"
"Bebryce peripatus","Sphaerodorum gracilis"
"Bela albrechti","Granotoma albrechti"
"Bela arctica","Propebela arctica"
"Bela conoidea","Curtitoma conoidea"
"Bela excurvata","Oenopota excurvata"
"Bela harpa","Oenopota harpa"
"Bela incisula","Curtitoma incisula"
"Bela krausei","Granotoma krausei"
"Bela lutkeana","Propebela luetkeana"
"Bela murdochiana","Oenopota murdochiana"
"Bela nobilis var. brevispira","Propebela nobilis"
"Bela robusta","Bela robusta"
"Bela robusta","Austrotoma minor"
"Bela robusta","Obesotoma robusta"
"Bela schmidti","Oenopota harpa"
"Bela sculpturata","Mangelia sculpturata"
"Bela solida","Obesotoma solida"
"Bela tenuicostata","Oenopota tenuicostata"
"Bela tenuilirata","Obesotoma tenuilirata"
"Belonella borealis","Taonius borealis"
"Bentheogennema borealis","Boreogennema borealis"
"Bentheuphausia amblyops","Bentheuphausia amblyops"
"Benthoctopus hokkaidensis","Muusoctopus hokkaidensis"
"Benthoctopus leioderma","Muusoctopus leioderma"
"Benthoctopus oregonensis","Muusoctopus oregonensis"
"Benthoctopus sibiricus","Muusoctopus sibiricus"
"Benthopecten claviger claviger","Benthopecten claviger"
"Berenicea patina","Plagioecia patina"
"Beringiaphoxus beringianus","Beringiaphoxus beringianus"
"Beringius aleuticus","Beringius aleuticus"
"Beringius crebricostatus undatus","Beringius undatus"
"Beringius frielei","Beringius frielei"
"Beringius incisus","Beringius kennicottii"
"Beringius indentatus","Beringius indentatus"
"Beringius malleatus","Beringius stimpsoni"
"Beringius marshalli","Beringius marshalli"
"Beringius stimpsoni","Beringius stimpsoni"
"Beringius undatus","Beringius undatus"
"Bernhardus armatus","Pagurus armatus"
"Bernhardus hirsutiusculus","Pagurus hirsutiusculus"
"Bernhardus tenuimanus","Elassochirus tenuimanus"
"Beroe roseola","Beroe cucumis"
"Bicidiopsis arctica","Peachia parasitica"
"Bicidiopsis tubicola","Peachia parasitica"
"Bicidium parasitica","Peachia parasitica"
"Bicidium parasiticum","Peachia parasitica"
"Bidenkapia spitsbergensis","Bidenkapia spitzbergensis"
"Biemna capillifera","Biemna variantia"
"Biemna gemmulifera","Biemna variantia"
"Biemna groenlandica","Biemna variantia"
"Biemna hamifera","Biemna variantia"
"Biemna peachii","Biemna variantia"
"Biemna variantia","Biemna variantia"
"Biemna variantia hamifera","Biemna variantia"
"Biphora depressa","Salpa fusiformis"
"Biphora tricuspidata","Salpa fusiformis"
"Bispira polymorpha","Eudistylia polymorpha"
"Bittium attenuatum","Lirobittium attenuatum"
"Bittium boreale","Lirobittium attenuatum"
"Bittium catalinense","Lirobittium purpureum"
"Bittium eschrichtii","Neostylidium eschrichtii"
"Bittium eschrichtii montereyense","Neostylidium eschrichtii"
"Bittium esuriens","Lirobittium attenuatum"
"Bittium icelum","Neostylidium eschrichtii"
"Bittium latifilosum","Lirobittium attenuatum"
"Bittium munitoide","Lirobittium munitum"
"Bittium munitum","Lirobittium munitum"
"Boeckosimus affinis","Onisimus affinis"
"Boeckosimus normani","Onisimus normani"
"Boeckosimus plautus","Onisimus plautus"
"Bogasonia gorjachevi","Bogasonia gorjachevi"
"Bogasonia volutoides","Bogasonia volutoides"
"Bolinopsis alata","Bolinopsis infundibulum"
"Bolinopsis microptera","Bolinopsis microptera"
"Bolinopsis septentrionalis","Bolinopsis infundibulum"
"Bolocera brevicornis","Liponema brevicorne"
"Bolocera eques","Urticina felina"
"Boltenia arctica","Boltenia echinata"
"Boltenia beringia","Boltenia ovifera"
"Boltenia bolteni","Boltenia ovifera"
"Boltenia burkhardti","Boltenia ovifera"
"Boltenia ciliata","Boltenia ovifera"
"Boltenia clavata","Boltenia ovifera"
"Boltenia elegans","Boltenia ovifera"
"Boltenia fusiformis","Boltenia ovifera"
"Boltenia hirsuta","Boltenia echinata"
"Boltenia microcosmus","Boltenia ovifera"
"Boltenia ovifera","Boltenia ovifera"
"Boltenia reniformis","Boltenia ovifera"
"Boltenia rubra","Boltenia ovifera"
"Boltenia thompsoni","Boltenia ovifera"
"Bonellia achaeta","Pseudoikedella achaeta"
"Bonelliopsis alaskana","Bonelliopsis alaskana"
"Bonneviella grandis","Bonneviella grandis"
"Bonneviella superba","Bonneviella superba"
"Bopyroides acutimarginatus","Bopyroides hippolytes"
"Bopyrus abdominalis","Hemiarthrus abdominalis"
"Bopyrus hippolytes","Bopyroides hippolytes"
"Boreacola maltzani","Boreacola maltzani"
"Boreacola vadosa","Boreacola maltzani"
"Boreochiton beringensis","Boreochiton beringensis"
"Boreomysis distinguenda","Boreomysis inermis"
"Boreomysis intermedia","Boreomysis intermedia"
"Boreomysis jacobi","Boreomysis jacobi"
"Boreomysis kincaidi","Boreomysis californica"
"Boreomysis media","Boreomysis californica"
"Boreomysis microps","Boreomysis microps"
"Boreomysis nobilis","Boreomysis nobilis"
"Boreomysis rostrata","Boreomysis rostrata"
"Boreomysis scyphops","Boreomysis inermis"
"Boreomysis subpellucida","Boreomysis microps"
"Boreomysis suhmi","Boreomysis inermis"
"Boreomysis tregouboffi","Boreomysis arctica"
"Boreophausia inermis","Thysanoessa inermis"
"Boreophausia raschii","Thysanoessa raschii"
"Boreoscala planicosta","Boreoscala greenlandica"
"Boreoscala subulata","Boreoscala greenlandica"
"Boreotrophon alborostratus","Boreotrophon alborostratus"
"Boreotrophon beringi","Boreotrophon clathratus"
"Boreotrophon cepulus","Boreotrophon clathratus"
"Boreotrophon coronatus","Boreotrophon coronatus"
"Boreotrophon cymatus","Boreotrophon cymatus"
"Boreotrophon dalli","Nodulotrophon coronatus"
"Boreotrophon dalli var. altus","Nodulotrophon coronatus"
"Boreotrophon ithitomus","Boreotrophon alaskanus"
"Boreotrophon kamchatkanus","Boreotrophon kamchatkanus"
"Boreotrophon orpheus","Trophonopsis orpheus"
"Boreotrophon peregrinus","Boreotrophon multicostatus"
"Boreotrophon smithi","Scabrotrophon stuarti"
"Boreotrophon stuarti","Scabrotrophon stuarti"
"Borgella pustulosa","Borgella pustulosa"
"Borgella tumulosa","Borgella pustulosa"
"Bornia inflata","Kellia suborbicularis"
"Bornia luticola","Kellia laperousii"
"Bornia seminulum","Lasaea rubra"
"Botrylloides magnum","Botryllus magnus"
"Botryllus aurolineatus","Botryllus schlosseri"
"Botryllus badium","Botryllus schlosseri"
"Botryllus badius","Botryllus schlosseri"
"Botryllus bivittatus","Botryllus schlosseri"
"Botryllus calendula","Botryllus schlosseri"
"Botryllus calyculatus","Botryllus schlosseri"
"Botryllus castaneus","Botryllus schlosseri"
"Botryllus gemmeus","Botryllus schlosseri"
"Botryllus gouldii","Botryllus schlosseri"
"Botryllus magnus","Botryllus magnus"
"Botryllus marionis","Botryllus schlosseri"
"Botryllus miniatus","Botryllus schlosseri"
"Botryllus minutus","Botryllus schlosseri"
"Botryllus morio","Botryllus schlosseri"
"Botryllus polycyclus","Botryllus schlosseri"
"Botryllus pruinosus","Botryllus schlosseri"
"Botryllus rubens","Botryllus schlosseri"
"Botryllus rubigo","Botryllus schlosseri"
"Botryllus smaragdus","Botryllus schlosseri"
"Botryllus stellatus","Botryllus stellatus"
"Botryllus stellatus","Botryllus schlosseri"
"Botryllus violaceus","Botryllus schlosseri"
"Botryllus violatinctus","Botryllus schlosseri"
"Botryllus virescens","Botryllus schlosseri"
"Botrynema ellinorae","Botrynema ellinorae"
"Botryodactyla grandis","Cucumaria frondosa"
"Bougainvillia allmanii","Bougainvillia principis"
"Bougainvillia bella","Bougainvillia britannica"
"Bougainvillia britannica","Bougainvillia britannica"
"Bougainvillia dinema","Bougainvillia britannica"
"Bougainvillia flavida","Bougainvillia britannica"
"Bougainvillia paradoxa","Bougainvillia superciliaris"
"Bougainvillia superciliaris","Bougainvillia superciliaris"
"Bougainvillia xantha","Bougainvillia britannica"
"Bouvierella carcinophila","Bouvierella carcinophila"
"Bowerbankia composita","Amathia composita"
"Bowerbankia imbricata","Amathia imbricata"
"Brachionus cernuus","Pedicellina cernua"
"Brachydiastylis resima","Brachydiastylis resima"
"Brada granosa","Brada granosa"
"Brada granulata","Brada inhabilis"
"Brada incrustata","Brada incrustata"
"Brada inhabilis","Brada inhabilis"
"Brada normani","Brada granulosa"
"Brada nuda","Brada nuda"
"Brada pilosa","Bradabyssa pilosa"
"Brada rugosa","Brada rugosa"
"Branchiomma burrardum","Acromegalomma splendidum"
"Branchiomma disparoculatum","Acromegalomma splendidum"
"Branchiomma infarctum","Branchiomma infarctum"
"Branchiosabella zostericola","Ampharete acutifrons"
"Briareum grandiflorum","Drifa glomerata"
"Briareum grandiflorum","Anthothela grandiflora"
"Brisaster lacunosus","Schizaster lacunosus"
"Brisaster owstoni","Brisaster owstoni"
"Brisinga exilis","Hymenodiscus exilis"
"Brisingella exilis","Hymenodiscus exilis"
"Brisingella pannychia","Hymenodiscus pannychia"
"Brisingella pusilla","Hymenodiscus pusilla"
"Bryophila setosa","Philobrya setosa"
"Bubaris simplicima","Bubaris vermiculata"
"Bubaris vermiculata","Bubaris vermiculata"
"Buccinopsis canaliculata","Pseudoliomesus canaliculatus"
"Buccinum acutispiratum","Buccinum acutispiratum"
"Buccinum aleuticum","Buccinum aleuticum"
"Buccinum angulosum","Buccinum angulosum"
"Buccinum angulosum subcostatum","Buccinum angulosum"
"Buccinum angulosum transliratum","Buccinum angulosum"
"Buccinum bayani","Buccinum bayani"
"Buccinum bulimuloideum","Buccinum bulimuloideum"
"Buccinum carinatum","Cominella errata"
"Buccinum carinatum","Buccinum glaciale"
"Buccinum castaneum","Buccinum glaciale"
"Buccinum castaneum fluctuatum","Buccinum glaciale"
"Buccinum castaneum incisulum","Buccinum glaciale"
"Buccinum castaneum triplostephanum","Buccinum glaciale"
"Buccinum chartium","Buccinum chartium"
"Buccinum chishimanum","Buccinum chishimanum"
"Buccinum ciliatum","Buccinum ciliatum"
"Buccinum cnismatopleura","Buccinum cnismatopleura"
"Buccinum cnismatum","Buccinum cnismatum"
"Buccinum corrugatum","Nassarius corrugatus"
"Buccinum corrugatum","Amphissa columbiana"
"Buccinum costatum","Buccinum costatum"
"Buccinum costatum","Harpa costata"
"Buccinum costatum","Cominella eburnea"
"Buccinum dirum","Lirabuccinum dirum"
"Buccinum donovani","Buccinum glaciale"
"Buccinum donovani","Buccinum undatum"
"Buccinum ekblawi","Buccinum glaciale"
"Buccinum elatior","Buccinum scalariforme"
"Buccinum elegans","Tritia spectabilis"
"Buccinum elegans","Nassarius crassiusculus"
"Buccinum eugrammatum","Buccinum eugrammatum"
"Buccinum fischerianum","Buccinum baerii"
"Buccinum fossatum","Nassarius fossatus"
"Buccinum fringillum","Buccinum fringillum"
"Buccinum glaciale parallelum","Buccinum glaciale"
"Buccinum groenlandicum","Buccinum cyaneum"
"Buccinum groenlandicum","Buccinum glaciale"
"Buccinum kadiakense","Buccinum kadiakense"
"Buccinum kennicottii","Beringius kennicottii"
"Buccinum lamellatum","Boreotrophon clathratus"
"Buccinum lamellosa","Nucella lamellosa"
"Buccinum lyperum","Buccinum lyperum"
"Buccinum lyratum","Boreotrophon clathratus"
"Buccinum lyratum","Cyllene lamarcki"
"Buccinum maltzani","Buccinum maltzani"
"Buccinum morchianum","Buccinum glaciale"
"Buccinum normale","Buccinum normale"
"Buccinum obsoletum","Buccinum obsoletum"
"Buccinum obsoletum","Ilyanassa obsoleta"
"Buccinum oedematum","Buccinum oedematum"
"Buccinum onismatopleura","Buccinum glaciale"
"Buccinum orotundum","Buccinum terraenovae"
"Buccinum ovulum","Ovulatibuccinum ovulum"
"Buccinum ovum","Liomesus ovum"
"Buccinum parallelum","Buccinum glaciale"
"Buccinum pemphigus orotundum","Buccinum pemphigus"
"Buccinum percrassum","Buccinum percrassum"
"Buccinum physematum","Buccinum physematum"
"Buccinum picturatum","Buccinum mirandum"
"Buccinum planeticum","Buccinum planeticum"
"Buccinum polare","Buccinum polare"
"Buccinum polaris","Buccinum polare"
"Buccinum rhodium","Buccinum scalariforme"
"Buccinum rosaceum","Astyris rosacea"
"Buccinum rossellinum","Buccinum rossellinum"
"Buccinum rossicum","Buccinum rossicum"
"Buccinum sabini","Colus sabini"
"Buccinum sericatum","Buccinum ciliatum"
"Buccinum sigmatopleura","Buccinum sigmatopleura"
"Buccinum simplex","Buccinum simplex"
"Buccinum simulatum","Buccinum simulatum"
"Buccinum solenum","Buccinum terraenovae"
"Buccinum stimpsoni","Buccinum angulosum"
"Buccinum stimpsoni","Beringius stimpsoni"
"Buccinum striatissimum","Buccinum striatissimum"
"Buccinum subreticulatum","Buccinum subreticulatum"
"Buccinum taphrium","Sulcosinus taphrium"
"Buccinum tenellum","Buccinum tenellum"
"Buccinum tenue","Buccinum scalariforme"
"Buccinum tenuisulcatum","Buccinum tenuisulcatum"
"Buccinum totteni","Buccinum totteni"
"Buccinum truncatum","Boreotrophon truncatus"
"Buccinum unicum","Clinopegma magnum"
"Buccinum ventricosum","Neptunea ventricosa"
"Buccinum ventricosum","Cypraecassis rufa"
"Buffonellaria arctica","Buffonellaria arctica"
"Bugula californica","Bugulina californica"
"Bugula flabellata","Bugulina flabellata"
"Bugula levinseni","Dendrobeania levinseni"
"Bugula murrayana","Dendrobeania murrayana"
"Bugula pacifica","Crisularia pacifica"
"Bugula pugeti","Bugulina pugeti"
"Bugula purpurotincta","Crisularia purpurotincta"
"Bugula tschukotkensis","Bugula tschukotkensis"
"Bulbus fragilis","Bulbus fragilis"
"Bulbus smithii","Bulbus smithii"
"Bulbus striatus","Bulbus striatus"
"Bulla alba","Bulla striata"
"Bulla cerealis","Acteocina cerealis"
"Bulla culcitella","Acteocina culcitella"
"Bulla debilis","Diaphana minuta"
"Bulla flexilis","Velutina plicatilis"
"Bulla hyalina","Diaphana minuta"
"Bulla nucleola","Cylichna corticata"
"Bulla obtusa","Retusa obtusa"
"Bulla occulta","Cylichnoides occultus"
"Bulla pertenuis","Retusa obtusa"
"Bulla plicata","Bulla plicata"
"Bulla plicata","Retusa obtusa"
"Bulla plicatilis","Velutina plicatilis"
"Bulla reinhardi","Cylichnoides occultus"
"Bulla subangulata","Diaphana minuta"
"Bulla umbilicata","Retusa umbilicata"
"Bulla umbilicata","Bulla occidentalis"
"Bulla velutina","Velutina velutina"
"Bulla vesicula","Haminoea vesicula"
"Bulla virescens","Haminoea virescens"
"Bullia ampullacea","Buccinum ampullaceum"
"Bullia perryi","Buccinum perryi"
"Bullina eximia","Acteocina cerealis"
"Bulocera eques","Urticina eques"
"Bunodactis elegantissima","Anthopleura elegantissima"
"Bunodactis japonica","Epiactis japonica"
"Bunodactis stella","Aulactinia stella"
"Bunodactis xanthogrammica","Anthopleura xanthogrammica"
"Bunodes californica","Anthopleura xanthogrammica"
"Bunodes japonica","Epiactis japonica"
"Bunodes spectabilis","Aulactinia stella"
"Bunodes stella","Aulactinia stella"
"Burtonella melanokhemia","Iophon lamella"
"Byblis arcticus","Byblis arcticus"
"Byblis crassicornis","Byblis crassicornis"
"Byblis frigidus","Byblis frigidus"
"Byblis gaimardi","Byblis gaimardii"
"Byblis longispina","Byblis longispina"
"Byblis robustus","Byblis robustus"
"Byblis teres","Byblis teres"
"Bylgia elegans","Bylgides elegans"
"Bylgides promamme","Bylgides promamme"
"Bylgides sarsi","Bylgides sarsi"
"Bythocaris curvirostris","Bythocaris curvirostris"
"Bythocaris leucopis","Bythocaris leucopis"
"Cadlina marginata","Cadlina luteomarginata"
"Cadulus aberrans","Gadila aberrans"
"Cadulus nitentior","Gadila aberrans"
"Cadulus tolmiei","Gadila tolmiei"
"Caecognathia elongata","Caecognathia elongata"
"Caecum bakeri","Caecum dextroversum"
"Caesaromysides liguriae","Caesaromysis hispida"
"Caesaromysis vanclevei","Caesaromysis hispida"
"Caesira citrina","Molgula citrina"
"Caesira crystallina","Molgula griffithsii"
"Caesira pacifica","Molgula pacifica"
"Caesira retortiformis","Molgula retortiformis"
"Calastacus investigatoris","Lophaxius investigatoris"
"Calathura brachiata","Calathura brachiata"
"Caligorgia fraseri","Callogorgia fraseri"
"Calliactis kroyeri","Allantactis parasitica"
"Callianassa californiensis","Neotrypaea californiensis"
"Callianassa goniophthalma","Callianopsis goniophthalma"
"Callinema ornata","Phacellophora camtschatica"
"Calliopaea dendritica","Placida dendritica"
"Calliopiella pratti","Paracalliopiella pratti"
"Calliopius behringi","Calliopius behringi"
"Calliopius columbianus","Calliopius columbianus"
"Calliostoma kiheiziebisu","Otukaia kiheiziebisu"
"Calliostoma platinum","Akoya platinum"
"Calliostoma titanium","Akoya platinum"
"Callista subdiaphana pedroana","Compsomyax subdiaphana"
"Callista voyi","Mactromeris polynyma"
"Calliteuthis reversa","Histioteuthis reversa"
"Callizona angelini","Rhynchonereella angelini"
"Callizona grubei","Rhynchonereella angelini"
"Callizona henseni","Rhynchonereella angelini"
"Callomysis maculata","Archaeomysis grebnitzkii"
"Callopora amissavicularis","Tegella amissavicularis"
"Callopora aurita","Amphiblestrum auritum"
"Callopora corniculifera","Callopora corniculifera"
"Callopora craticula","Callopora craticula"
"Callopora decidua","Callopora decidua"
"Callopora horrida","Tegella horrida"
"Callopora lata","Callopora lata"
"Callopora nuda","Callopora nuda"
"Callopora obesa","Callopora obesa"
"Callopora weslawski","Callopora weslawski"
"Callopora whiteavesi","Flustrellaria whiteavesi"
"Callyspongia mucosa","Callyspongia mucosa"
"Calocaris granulosus","Calocaris granulosus"
"Calocaris investigatoris","Lophaxius investigatoris"
"Calycidoris guentheri","Calycidoris guentheri"
"Calycopsis birulai","Eumedusa birulai"
"Calycosaccus ijimae","Aulosaccus ijimae"
"Calyptraea dorsata","Crepipatella dorsata"
"Calyptrophora ijimai","Arthrogorgia ijimai"
"Campanularia abietina","Grammaria abietina"
"Campanularia fasciculata","Campanularia fasciculata"
"Campanularia grandis","Bonneviella grandis"
"Campanularia integra","Orthopyxis integra"
"Campanularia integriformis","Orthopyxis integra"
"Campanularia kincaidi","Clytia kincaidi"
"Campanularia laevis","Orthopyxis integra"
"Campanularia laevis","Campanularia agas"
"Campanularia levinseni","Campanularia groenlandica"
"Campanularia pelagica","Clytia gracilis"
"Campanularia regia","Bonneviella regia"
"Campanularia ritteri","Orthopyxis integra"
"Campanularia serpens","Filellum serpens"
"Campanularia verticillata","Rhizocaulus verticillatus"
"Campanulina membranosa","Aequorea victoria"
"Campanulina rugosa","Opercularella rugosa"
"Campylaspis rubicunda","Campylaspis rubicunda"
"Cancellaria arctica","Neoiphinoe arctica"
"Cancellaria buccinoides","Admete viridula"
"Cancellaria buccinoides","Solatia buccinoides"
"Cancellaria californica","Admete californica"
"Cancellaria circumcincta","Neadmete circumcincta"
"Cancellaria couthouyi","Admete viridula"
"Cancellaria ghiorum","Cancellaria crawfordiana"
"Cancellaria gracilior","Admete gracilior"
"Cancellaria middendorffiana","Admete viridula"
"Cancellaria modesta","Neadmete modesta"
"Cancellaria unalaskensis","Neadmete modesta"
"Cancer bernhardus","Pagurus bernhardus"
"Cancer boreas","Sclerocrangon boreas"
"Cancer branneri","Romaleon branneri"
"Cancer cheiragonus","Telmessus cheiragonus"
"Cancer gammarus","Homarus gammarus"
"Cancer gibbosulus","Romaleon gibbosulum"
"Cancer gracilis","Metacarcinus gracilis"
"Cancer linearis","Caprella linearis"
"Cancer locusta","Gammarus locusta"
"Cancer magister","Metacarcinus magister"
"Cancer medusarum","Hyperia medusarum"
"Cancer nugax","Anonyx nugax"
"Cancer oculatus","Mysis oculata"
"Cancer opilio","Chionoecetes opilio"
"Cancer oregonensis","Cancer oregonensis"
"Cancer oregonensis","Glebocarcinus oregonensis"
"Cancer spinus","Spirontocaris spinus"
"Candidella doederleini","Parastenella doederleini"
"Capellinia rustya","Eubranchus rustyus"
"Capitella capitata belgica","Capitella capitata"
"Capitella capitata danica","Capitella capitata"
"Capitella capitata hebridarum","Capitella capitata"
"Capitella fabricii","Capitella capitata"
"Capitella filiformis","Heteromastus filiformis"
"Capitella prototypa","Capitella capitata"
"Capitella similis","Capitella capitata"
"Capnella rubiformis","Gersemia rubiformis"
"Caprella alaskensis","Caprella alaskensis"
"Caprella anomala","Metacaprella anomala"
"Caprella carina","Caprella carina"
"Caprella horrida","Metacaprella horrida"
"Caprella kennerlyi","Metacaprella kennerlyi"
"Caprella loveni","Caprella septentrionalis"
"Caprella macho","Caprella mutica"
"Caprella monocera","Caprella septentrionalis"
"Caprella punctata","Caprella septentrionalis"
"Caprella septentrionalis","Caprella septentrionalis"
"Capulacmaea radiata","Piliscus commodus"
"Capulus radiatus","Piliscus commodus"
"Carbasea carbasea","Carbasea carbasea"
"Carcinobdella cyclostoma","Notostomum cyclostomum"
"Carcinonemertes regicides","Carcinonemertes regicides"
"Cardiomya behringensis","Cardiomya behringensis"
"Cardiomya oldroydi","Cardiomya pectinata"
"Cardiomya robiginosa","Cardiomya behringensis"
"Cardita borealis crebricostata","Crassicardia crebricostata"
"Cardita borealis paucicostata","Crassicardia crassidens"
"Cardita hilli","Coanicardita ventricosa"
"Cardita matitukensis","Crassicardia crassidens"
"Cardita piltunensis","Crassicardia crebricostata"
"Cardita umnaka","Cyclocardia umnaka"
"Cardita ventricosa","Coanicardita ventricosa"
"Cardium blandum","Keenocardium blandum"
"Cardium boreale","Keenocardium californiense"
"Cardium boreale","Serripes groenlandicus"
"Cardium californianum","Clinocardium nuttallii"
"Cardium californiense","Keenocardium californiense"
"Cardium ciliatum","Ciliatocardium ciliatum"
"Cardium decoratum","Cardium decoratum"
"Cardium fucanum","Keenocardium blandum"
"Cardium groenlandicum","Serripes groenlandicus"
"Cardium laperousii","Serripes laperousii"
"Cardium notabile","Serripes notabilis"
"Cardium nuttallii","Clinocardium nuttallii"
"Cardium rubrum","Lasaea rubra"
"Carinella albocincta","Tubulanus albocinctus"
"Carinella annulata","Tubulanus annulatus"
"Carinella capistrata","Tubulanus capistratus"
"Carinella dinema","Tubulanus sexlineatus"
"Carinella frenata","Tubulanus frenatus"
"Carinella nothus","Tubulanus nothus"
"Carinella polymorpha","Tubulanus polymorphus"
"Carinella rubra","Tubulanus polymorphus"
"Carinella sexlineata","Tubulanus sexlineatus"
"Carinella speciosa","Tubulanus polymorphus"
"Carpoapseudes serratispinosus","Carpoapseudes serratispinosus"
"Cartilagovelutina beringensis","Cartilagovelutina beringensis"
"Carybdea periphylla","Periphylla periphylla"
"Caryophyllia ambrosia","Caryophyllia ambrosia"
"Castalia aphroditioides","Nereimyra aphroditoides"
"Castalia arctica","Nereimyra aphroditoides"
"Castalia fabricii","Nereimyra aphroditoides"
"Castalia punctata","Nereimyra punctata"
"Catablema campanula","Catablema vesicarium"
"Catablema eurystoma","Catablema vesicarium"
"Catablema multicirrata","Catablema multicirratum"
"Catablema nodulosum","Catablema vesicarium"
"Catablema vesicarium var. nodulosa","Catablema vesicarium"
"Caudina ransonnetti","Paracaudina chilensis"
"Caulleriella alata maculata","Caulleriella alata"
"Caulleriella gracilis","Chaetozone gracilis"
"Caulleriella viridis pacifica","Caulleriella pacifica"
"Caulophacus elegans","Caulophacus elegans"
"Cauloramphus cymbaeformis","Cauloramphus cymbaeformis"
"Cauloramphus intermedius","Cauloramphus intermedius"
"Cauloramphus pseudospinifer","Cauloramphus pseudospinifer"
"Cauloramphus spectabilis","Cauloramphus spectabilis"
"Cauloramphus spinifer","Cauloramphus spiniferum"
"Cavernularia vansyoci","Cavernularia vansyoci"
"Cavolina crassicornis","Hermissenda crassicornis"
"Cavolina trispinosa","Diacria trispinosa"
"Cellaria borealis","Microporina articulata"
"Cellaria ternata","Tricellaria ternata"
"Cellarina scabra","Aquiloniella scabra"
"Cellepora annulata","Juxtacribrilina annulata"
"Cellepora bilaminata","Rhamphostomella bilaminata"
"Cellepora hyalina","Celleporella hyalina"
"Cellepora incrassata","Turbicellepora incrassata"
"Cellepora laevis","Porella laevis"
"Cellepora laevis","Turbicellepora laevis"
"Cellepora malusii","Fenestrulina malusii"
"Cellepora nordenskjoldi","Celleporina nordenskjoldi"
"Cellepora ovata","Rhamphostomella ovata"
"Cellepora plicata","Rhamphostomella plicata"
"Cellepora ramulosa contigua","Lepraliella contigua"
"Cellepora surcularis","Celleporina surcularis"
"Cellepora ventricosa","Celleporina ventricosa"
"Celleporella nodasakae","Celleporella nodasakae"
"Celleporella reflexa","Celleporella reflexa"
"Celleporina aspera","Celleporina aspera"
"Celleporina incrassata","Turbicellepora incrassata"
"Celleporina nordenskjoldi","Celleporina nordenskjoldi"
"Celleporina surcularis","Celleporina surcularis"
"Cellularia articulata","Microporina articulata"
"Cellularia quadridentata","Dendrobeania quadridentata"
"Cemoria princeps","Puncturella noachina"
"Centromedon pumilus","Centromedon pumilus"
"Cephalothrix linearis","Cephalothrix linearis"
"Cephalothrix rufifrons","Cephalothrix rufifrons"
"Ceradocus torelli","Wimvadocus torelli"
"Ceramaster chondriscus","Ceramaster patagonicus"
"Ceramaster stellatus","Ceramaster stellatus"
"Cerapus hunteri","Ericthonius rubricornis"
"Cerapus megalops","Ericthonius megalops"
"Cerapus rubricornis","Ericthonius rubricornis"
"Ceratoisis paucispinosa","Keratoisis paucispinosa"
"Ceratoisis philippinensis","Keratoisis philippinensis"
"Ceratomysis egregia","Ceratomysis egregia"
"Ceratomysis spinosa","Ceratomysis spinosa"
"Ceratophysa ceratopyga valvaecristata","Ceratophysa ceratopyga"
"Cercops dentatus","Cercops dentatus"
"Cercops holboelli","Cercops holboelli"
"Cerebratulus angulatus","Cerebratulus angulatus"
"Cerebratulus angulosus","Cerebratulus marginatus"
"Cerebratulus bilineatus","Cerebratulus bilineatus"
"Cerebratulus fuscus","Cerebratulus fuscus"
"Cerebratulus impressus","Micrura impressa"
"Cerebratulus latus","Cerebratulus herculeus"
"Cerebratulus maculosus","Cerebratulus fuscus"
"Cerebratulus montgomeryi","Kulikovia montgomeryi"
"Cerebratulus signatus","Cerebratulus signatus"
"Cerebratulus spraguei","Cerebratulus marginatus"
"Cereus artemisia","Anthopleura artemisia"
"Cereus digitatus","Hormathia digitata"
"Cerianthus elongatus","Pachycerianthus fimbriatus"
"Cerianthus nobilis","Pachycerianthus nobilis"
"Cerithiopsis columna","Cerithiopsis columna"
"Cerithiopsis fraseri","Cerithiopsis fraseri"
"Cerithiopsis munita","Lirobittium munitum"
"Cerithiopsis onealensis","Cerithiopsis onealensis"
"Cetoconcha malespinae","Cetomya malespinae"
"Chaetaster californicus","Henricia leviuscula"
"Chaetoderma afanasjevi","Chaetoderma afanasjevi"
"Chaetoderma chistikovi","Chaetoderma chistikovi"
"Chaetoderma montereyense","Chaetoderma argenteum"
"Chaetoderma moskalevi","Chaetoderma moskalevi"
"Chaetoderma robustum","Chaetoderma robustum"
"Chaetopleura angulata","Chaetopleura angulata"
"Chaetopleura thouarsiana","Mopalia ciliata"
"Chaetosphaera falconis","Laonice cirrata"
"Chaetozone berkeleyorum","Chaetozone berkeleyorum"
"Chaetozone camasetosa","Chaetozone camasetosa"
"Chaetozone careyi","Chaetozone careyi"
"Chaetozone pigmentata","Chaetozone pigmentata"
"Chaetozone ruffi","Chaetozone ruffi"
"Chalaraspis unguiculata","Eucopia unguiculata"
