"","x"
"144","Leptobotia mantschurica"
"145","Dasyatis akajei"
"146","Dasyatis izuensis"
"147","Dasyatis laevigata"
"148","Dasyatis brevicaudata"
"149","Phoxinus oxycephalus"
"150","Pseudopentaceros richardsoni"
"151","Helostoma temminkii"
"152","Coranthus polyacanthus"
"153","Apogon cathetogrammus"
"154","Brephamia parvula"
"155","Apogon ellioti"
"156","Apogon semilineatus"
"157","Apogon affinis"
"158","Apogon hyalosoma"
"159","Haplochromis burtoni"
"160","Leptolebias minimus"
"161","Gnatholebias zonatus"
"162","Micromoema xiphophorus"
"163","Roeboides meeki"
"164","Roeboides magdalenae"
"165","Crinodus lophodon"
"166","Acantholatris monodactylus"
"167","Physeter catodon"
"168","Arctocephalus townsendi"
"169","Phoca fasciata"
"170","Phoca groenlandica"
"171","Clavelina flava"
"172","Clavelina producta"
"173","Polycitorella coronaria"
"174","Helicolenus hilgendorfi"
"175","Monocentris japonicus"
"176","Centropyge loricula"
"177","Foetorepus altivelis"
"178","Macropodus chinensis"
"179","Xenocypris argentea"
"180","Nelusetta ayraudi"
"181","Ptychochromoides katria"
"182","Chelonodontops patoca"
"183","Salmostoma bacalia"
"184","Puntius semifasciolatus"
"185","Anematichthys apogon"
"186","Barbonymus schwanefeldii"
"187","Kichulchoia multifasciata"
"188","Labeo catla"
"189","Nicholsicypris normalis"
"190","Yaoshanicus arcus"
"191","Mesonoemacheilus triangularis"
"192","Microrasbora erythromicron"
"193","Parabotia fasciatus"
"194","Homalosoma hainanensis"
"195","Schistura corica"
"196","Monotrete cochinchinensis"
"197","Chelonodontops pleurospilus"
"198","Hemiodopsis gracilis"
"199","Lebiasina astrigata"
"200","Duringlanis perugiae"
"201","Pararasbora moltrechti"
"202","Micronemacheilus cruciatus"
"203","Repomucenus curvicornis"
"204","Neosynchiropus moyeri"
"205","Trichiurus japonicus"
"206","Aperioptus gracilentus"
"207","Osteochilus hasseltii"
"208","Tariqilabeo burmanicus"
"209","Tilodon sexfasciatum"
"210","Encrasicholina pseudoheteroloba"
"211","Lacustricola hutereaui"
"212","Cystodytes aucklandicus"
"213","Leiognathus philippinus"
"214","Deveximentum indicium"
"215","Ecteinascidia herdmanni"
"216","Eudistoma banyulensis"
"217","Aplidium fuscum"
"218","Polycitor adriaticum"
"219","Clavelina delavallei"
"220","Giuris margaritaceus"
"221","Nuchequula decora"
"222","Deveximentum insidiator"
"223","Leiognathus ruconius"
"224","Hyperoglyphe moselii"
"225","Percalates novemaculeata"
"226","Percalates colonorum"
"227","Platycephalus longispinis"
"228","Himantura astra"
"229","Dipturus australis"
"230","Dipturus cerva"
"231","Centrophorus niaukang"
"232","Centroselachus crepidater"
"233","Archocentrus multispinosus"
"234","Tomocichla sieboldii"
"235","Cichlasoma tuyrense"
"236","Botryllus tyreus"
"237","Pseudolaguvia tuberculatus"
"238","Glyptothorax plicolabris"
"239","Glyptothorax pallozonum"
"240","Glyptothorax robustus"
"241","Caprodon unicolor"
"242","Trachinocephalus myops"
"243","Siphamia versicolor"
"244","Hara spinula"
"245","Lateolabrax maculatus"
"246","Aphyosemion festivum"
"247","Rasbora brittani"
"248","Danio choprai"
"249","Inlecypris auropurpureus"
"250","Laubuca dadiburjori"
"251","Johnius vogleri"
"252","Ostorhinchus quadrifasciatus"
"253","Callionymus kaianus"
"254","Pampus cinereus"
"255","Pomadasys hasta"
"256","Repomucenus richardsonii"
"257","Moolgarda engeli"
"258","Arripis truttaceus"
"259","Lagiacrusichthys macropinnis"
"260","Chelidonichthys lucernus"
"261","Schedophilus labyrinthicus"
"262","Moolgarda seheli"
"263","Centroscymnus owstoni"
"264","Mulloidichthys auriflamma"
"265","Pseudoxenomystax albescens"
"266","Dipturus chilensis"
"267","Rhamdia sapo"
"268","Gonostoma elongatum"
"269","Lampanyctus cuprarius"
"270","Pseudonezumia flagellicauda"
"271","Diplomystes mesembrinus"
"272","Megaleporinus obtusidens"
"273","Leporinus silvestrii"
"274","Megaleporinus reinhardti"
"275","Lepidonotothen nudifrons"
"276","Lepidonotothen larseni"
"277","Muraenolepis marmoratus"
"278","Raja pulchra"
"279","Pungitius kaibarae"
"280","Channa diplogramme"
"281","Ixinandria montebelloi"
"282","Otocinclus affinis"
"283","Pareiorhaphis calmoni"
"284","Bathypterois mediterraneus"
"285","Hypoptopoma bilobatum"
"286","Lycodes brevicaudus"
"287","Lycodes multifasciatus"
"288","Lycodes knipowitschi"
"289","Petroschmidtia albonotatus"
"290","Archamia fucata"
"291","Cryptocentroides cristatus"
"292","Planiliza haematocheilus"
"293","Moolgarda cunnesius"
"294","Dasyatis parvonigra"
"295","Dasyatis lata"
"296","Dipturus lemprieri"
"297","Dipturus confusus"
"298","Aetoplatea zonura"
"299","Himantura gerrardi"
"300","Himantura toshi"
"301","Himantura walga"
"302","Dipturus maugeanus"
"303","Bathylagus stilbius"
"304","Barilius barna"
"305","Hermosilla azurea"
"306","Amblyceps mucronatum"
"307","Delphinus capensis"
"308","Myzopsetta ferruginea"
"309","Dagetichthys lusitanica"
"310","Lampetra appendix"
"311","Dasyatis microps"
"312","Coryphopterus bol"
"313","Lutjanus lineatus"
"314","Epinephelus fario"
"315","Glyptothorax dakpathari"
"316","Puntius chelynoides"
"317","Tor mosal"
"318","Petroschmidtia toyamensis"
"319","Cichlasoma urophthalmum"
"320","Chuco intermedium"
"321","Theraps wesseli"
"322","Cyclothone pacifica"
"323","Lycodopsis pacificus"
"324","Apogon norfolcensis"
"325","Liza parsia"
"326","Rineloricaria uracantha"
"327","Roeboides salvadoris"
"328","Astyanax hubbsi"
"329","Astyanax petenensis"
"330","Barbodes collingwoodii"
"331","Acheilognathus somjinensis"
"332","Chromis caerulea"
"333","Pseudanthias truncatus"
"334","Neosynchiropus stellatus"
"335","Zebrasoma velifer"
"336","Otocinclus gibbosus"
"337","Rasbora pauciperforata"
"338","Agonostomus monticola"
"339","Trigloporus lastoviza"
"340","Mastacembelus signatus"
"341","Mastacembelus stappersii"
"342","Neoplecostominae"
"343","Nannoptopoma spectabile"
"344","Symphodus melanocercus"
"345","Salangichthys ishikawae"
"346","Sinocrossocheilus liuchengensis"
"347","Etmopterus sheikoi"
"348","Proscymnodon plunketi"
"349","Diagramma picta"
"350","Labrisomus nigricinctus"
"351","Bairdiella sanctaeluciae"
"352","Carangoides ruber"
"353","Neoniphon vexillarium"
"354","Sciades assimilis"
"355","Pseudopentaceros pectoralis"
"356","Remorina albescens"
"357","Etrumeus teres"
"358","Brachygenys californiensis"
"359","Leiocassis longirostris"
"360","Hisonotus insperatus"
"361","Myleus schomburgkii"
"362","Satyrichthys adeni"
"363","Cruriraja triangularis"
"364","Rogadius portuguesus"
"365","Rhinobatos leucospilus"
"366","Apogon natalensis"
"367","Parupeneus bifasciatus"
"368","Jordanella pulchra"
"369","Amphilophus calobrensis"
"370","Archocentrus spinosissimus"
"371","Caquetaia umbrifera"
"372","Cichlasoma grammodes"
"373","Herichthys labridens"
"374","Theraps heterospilus"
"375","Cichlasoma ufermanni"
"376","Botrylloides giganteus"
"377","Botrylloides nigrum"
"378","Synodontis membranacea"
"379","Synodontis nigromaculata"
"380","Chrysichthys platycephalus"
"381","Chrysichthys sianenna"
"382","Ambassis muelleri"
"383","Spicara flexuosa"
"384","Megaleporinus conirostris"
"385","Lepilemur hubbardorum"
"386","Onychostoma minnanense"
"387","Onychostoma lepturum"
"388","Mugil ashanteensis"
"389","Mugil metzelaari"
"390","Pseudobagrus brevicorpus"
"391","Aspius aspius"
"392","Megaleporinus elongatus"
"393","Enteromius matthesi"
"394","Varicorhinus stenostoma"
"395","Varicorhinus macrolepidotus"
"396","Hemigrammocharax ocellicauda"
"397","Hemigrammocharax uniocellatus"
"398","Hemistichodus lootensi"
"399","Ulcina olrikii"
"400","Paramonacanthus filicauda"
"401","Dagetichthys commersonnii"
"402","Gymnothorax rueppellii"
"403","Taeniura meyeni"
"404","Cyprinus multitaeniata"
"405","Anematichthys armatus"
"406","Ladigesocypris ghigii"
"407","Phoxinus lumaireul"
"408","Tropidophoxinellus callensis"
"409","Anaecypris punica"
"410","Rutilus aula"
"411","Rutilus basak"
"412","Rutilus prespensis"
"413","Hyphessobrycon uruguayensis"
"414","Esox flaviae"
"415","Tachysurus vachellii"
"416","Pelates sexlineatus"
"417","Ariosoma kapala"
"418","Labrisomus guppyi"
"419","Labrisomus striatus"
"420","Barilius tileo"
"421","Homaloptera montana"
"422","Schistura montana"
"423","Schizopyge dolichonema"
"424","Schizopyge nukiangensis"
"425","Schizothorax lissolabiata"
"426","Oreinus myzostomus"
"427","Oreinus elongatus"
"428","Acanthorhodeus gracilis"
"429","Acheilognathus signifer"
"430","Gnatholepis scapulostigma"
"431","Tiaroga cobitis"
"432","Hybopsis zanema"
"433","Entosphenus hubbsi"
"434","Coris frerei"
"435","Rogadius prionotus"
"436","Lutjanus avus"
"437","Strophidon dorsalis"
"438","Dasyatis sabina"
"439","Chaenobryttus gulosus"
"440","Herichthys pantostictus"
"441","Trimma caudomaculata"
"442","Stiphodon hydroreibatus"
"443","Planilisa melinopterus"
"444","Rhonciscus branickii"
"445","Rhencus panamensis"
"446","Bothrocara zestum"
"447","Dagetichthys marginatus"
"448","Serranus knysnaensis"
"449","Repomucenus belcheri"
"450","Yongeichthys nebulosus"
"451","Serranus auriga"
"452","Cteniloricaria fowleri"
"453","Mycteroperca marginata"
"454","Megaderma lyra"
"455","Archamia lineolata"
"456","Neomerinthe rotunda"
"457","Neoscombrops annectens"
"458","Rhinobatos annulatus"
"459","Sillago chondropus"
"460","Umbrina robinsoni"
"461","Valamugil buchanani"
"462","Valamugil robustus"
"463","Peckoltia sabaji"
"464","Alestes batesii"
"465","Alestes grandisquamis"
"466","Alestes comptus"
"467","Alestes bimaculatus"
"468","Rasbora gracilis"
"469","Cociella crocodila"
"470","Inegocia guttata"
"471","Physiculus maximowiczi"
"472","Ophichthus zophistius"
"473","Zenopsis nebulosus"
"474","Hypseleotris agilis"
"475","Adinia xenica"
"476","Erimonax monachus"
"477","Etheostoma aquali"
"478","Etheostoma microlepidum"
"479","Etheostoma sanguifluum"
"480","Eudontomyzon hellenicus"
"481","Eudontomyzon lanceolata"
"482","Lampetra alaskensis"
"483","Ericymba buccata"
"484","Hybopsis dorsalis"
"485","Pteronotropis harperi"
"486","Pero nasuta"
"487","Lampetra geminis"
"488","Pseudobatos glaucostigma"
"489","Opsarius canarensis"
"490","Bembrops philippinus"
"491","Scolopsis xenochroa"
"492","Dipturus healdi"
"493","Pseudocaranx georgianus"
"494","Pseudoicichthys australis"
"495","Cyphocharax corumbae"
"496","Glandulocauda melanogenys"
"497","Moolgarda perusii"
"498","Oedalechilus labiosus"
"499","Minimugil cascasia"
"500","Ostorhinchus guamensis"
"501","Archamia flavofasciata"
"502","Plectorhinchus orientalis"
"503","Bathyraja kincaidii"
"504","Raja binoculata"
"505","Notarius luniscutis"
"506","Pomadasys corvinaeformis"
"507","Epinephelus moara"
"508","Tetraodon biocellatus"
"509","Barbus gananensis"
"510","Varicorhinus beso"
"511","Chilomycterus geometricus"
"512","Tetraodon erythrotaenia"
"513","Tetraodon fluviatilis"
"514","Monotrete leiurus"
"515","Tetraodon nigroviridis"
"516","Plicofollis tenuispinis"
"517","Rhonciscus crocro"
"518","Rhencus macracanthus"
"519","Repomucenus filamentosus"
"520","Platybelone argala"
"521","Brachygenys chrysargyreum"
"522","Triathalassothia gloverensis"
"523","Rhinesomus triqueter"
"524","Oostethus brachyurus"
"525","Euchiloglanis davidi"
"526","Garra cryptonemus"
"527","Garra robustus"
"528","Herichthys bartoni"
"529","Herichthys steindachneri"
"530","Sagittalarva inornata"
"531","Acrossocheilus cinctus"
"532","Varicorhinus mariae"
"533","Varicorhinus sandersi"
"534","Labiobarbus spilopleura"
"535","Labeo vulgaris"
"536","Megalobrama skolkovii"
"537","Caranx carangus"
"538","Coilia ramcarti"
"539","Cynoglossus elongatus"
"540","Megalops cundinga"
"541","Pseudapocryptes lanceolatus"
"542","Neotrygon trigonoides"
"543","Sargocentron suborbitalis"
"544","Chaenogobius dolichognathus"
"545","Liparis atlanticus"
"546","Molva dipterygia"
"547","Puntius snyderi"
"548","Amoya chusanensis"
"549","Ambassis commersoni"
"550","Nandus marmoratus"
"551","Chanodichthys flavipinnis"
"552","Acrossocheilus barbodon"
"553","Piabina thomasi"
"554","Bryconamericus orteguasae"
"555","Synchiropus masudai"
"556","Neosynchiropus morrisoni"
"557","Repomucenus octostigmatus"
"558","Repomucenus lunatus"
"559","Repomucenus sagitta"
"560","Repomucenus planus"
"561","Lepidonotothen kempi"
"562","Melanotaenia rubrostriatus"
"563","Heteroclinus flavescens"
"564","Hemistichodus mesmaekersi"
"565","Nannaethiops gracilis"
"566","Megaleporinus trifasciatus"
"567","Dipturus linteus"
"568","Onychostoma rara"
"569","Inia boliviensis"
"570","Gobiobotia intermedia"
"571","Eugnathogobius polylepis"
"572","Barbus castrasibutum"
"573","Inia araguaiaensis"
"574","Lycodes brashnikovi"
"575","Okamejei powelli"
"576","Pempheris flavicycla"
"577","Labrisomus haitiensis"
"578","Eugnathogobius oligactis"
"579","Centropyge aurantonota"
"580","Centropyge flavicauda"
"581","Lepus microtis"
"582","Diapterus aureolus"
"583","Haludaria pradhani"
"584","Pseudobagrus emarginatus"
"585","Chanodichthys recurviceps"
"586","Thymallus baicalolenensis"
"587","Schizothorax irregularis"
"588","Earrana"
"589","Typhlogarra widdowsoni"
"590","Himantura dalyensis"
"591","Luciobarbus schejch"
"592","Triplophysa yarkandensis"
"593","Lophiodes lugubris"
"594","Lophius indicus"
"595","Nemichthys acanthonotus"
"596","Chaetodon modestus"
"597","Oostethus manadensis"
"598","Periophthalmus cantonensis"
"599","Glyptocephalus kitaharae"
"600","Planiliza parmata"
"601","Hemibagrus capitulum"
"602","Laemolyta petiti"
"603","Odontanthias perumali"
"604","Plectorhinchus unicolor"
"605","Paracanthocobitis aurea"
"606","Varicorhinus longidorsalis"
"607","Chrysichthys congicus"
"608","Cyphomyrus psittacus"
"609","Nanochromis dimidiatus"
"610","Pollimyrus osborni"
"611","Congopanchax myersi"
"612","Symphysodon haraldi"
"613","Pundamilia nyererei"
"614","Zacco acanthogenys"
"615","Panaqolus tankei"
"616","Bengana rendahli"
"617","Coelonotus leiaspis"
"618","Symphysodon aequifasciata"
"619","Opsariichthys acutipinnis"
"620","Gonorhynchus diplochilus"
"621","Hemiculter eigenmanni"
"622","Callochromis stappersii"
"623","Chanodichthys ilishaeformis"
"624","Polyclinum madrasensis"
"625","Melanochromis johannii"
"626","Alburnoides samii"
"627","Cheilinus quinquecinctus"
"628","Hime formosanus"
"629","Hime damasi"
"630","Opistognathus nubilis"
"631","Mesonoemacheilus petrubanarescui"
"632","Mesonoemacheilus guentheri"
"633","Prochilodus harttii"
"634","Ancistomus snethlageae"
"635","Nemacheilus denisoni"
"636","Hemitilapia oxyrhynchus"
"637","Paratrygon ajereba"
"638","Oxyporhamphus convexus"
"639","Larimichthys terengganui"
"640","Sinocyclocheilus ronganensis"
"641","Oxynoemacheilus freyhofi"
"642","Halicampus crinitus"
"643","Paracanthocobitis botia"
"644","Deuterodon pedri"
"645","Pseudambassis baculis"
"646","Gymnocranius elogatus"
"647","Scolopsis torquata"
"648","Channa pseudomarulius"
"649","Cirrhitus spilotoceps"
"650","Glyptosternon oschanini"
"651","Trichomycterus hasemani"
"652","Cambeva cubataonis"
"653","Alcichthys alcicornis"
"654","Hypodytes rubripinnis"
"655","Monopterus javanensis"
"656","Puntius schanicus"
"657","Chimarrichthys davidi"
"658","Nectamia zebrina"
"659","Mugil soiuy"
"660","Paracanthocobitis pictilis"
"661","Paracanthocobitis mandalayensis"
"662","Paracanthocobitis zonalternans"
"663","Rhonciscus bayanus"
"664","Brachygenys jessiae"
"665","Sillaginopsis domina"
"666","Gephyromochlus leopardus"
"667","Mesonoemacheilus tambaraparniensis"
"668","Mesonoemacheilus periyarensis"
"669","Gymnocypris selincuoensis"
"670","Leuroglossus urotranus"
"671","Garra pingi"
"672","Satyrichthys hians"
"673","Guyanancistrus longispinis"
"674","Guyanancistrus niger"
"675","Eretmobrycon terrabensis"
"676","Hypostomus aspidolepis"
"677","Epinephelus coriallicola"
"678","Myleus arnoldi"
"679","Myleus rhomboidalis"
"680","Myleus tiete"
"681","Patagonotothen brevicauda"
"682","Rutilus panosi"
"683","Ariosoma bowersi"
"684","Stegastes marginatus"
"685","Eretmobrycon gonzalezi"
"686","Heptapterus panamensis"
"687","Lebiasina panamensis"
"688","Panamius panamensis"
"689","Rivulus montium"
"690","Sturisoma panamense"
"691","Cheilodipterus lineatus"
"692","Channa lipor"
"693","Bryconamericus maromba"
"694","Diapoma alburnum"
"695","Eretmobrycon brevirostris"
"696","Eretmobrycon emperador"
"697","Eretmobrycon scleroparius"
"698","Hemibrycon galvisi"
"699","Oxynoemacheilus cemali"
"700","Labeo lankae"
"701","Liopsetta putnami"
"702","Pleuronichthys lighti"
"703","Mesonoemacheilus menoni"
"704","Epinephelus geoffroyi"
"705","Eleotris klunzingerii"
"706","Channa aurolineata"
"707","Dasyatis say"
"708","Gymnothorax mucifer"
"709","Barbus escherichii"
"710","Steindachneriidae"
"711","Channa stiktos"
"712","Neobathyclupea argentea"
"713","Trichiurus haumela"
"714","Amblypharyngodon grandisquamis"
"715","Astyanax keronolepis"
"716","Eumicrotremus birulai"
"717","Odaxothrissa vittata"
