"","species"
"293","Bajacalifornia erimoensis"
"294","Bathylaco nigricans"
"295","Bathytroctes macrolepis"
"296","Conocara salmoneum"
"297","Narcetes stomias"
"298","Photostylus pycnopterus"
"299","Rouleina attrita"
"300","Talismania bifurcata"
"301","Holtbyrnia innesi"
"302","Holtbyrnia laticauda"
"303","Holtbyrnia latifrons"
"304","Maulisia acuticeps"
"305","Maulisia argipalla"
"306","Mentodus eubranchus"
"307","Mentodus facilis"
"308","Mirorictus taningi"
"309","Platytroctes apus"
"310","Sagamichthys abei"
"311","Allosmerus elongatus"
"312","Hypomesus nipponensis"
"313","Hypomesus olidus"
"314","Hypomesus pretiosus"
"315","Hypomesus transpacificus"
"316","Mallotus villosus"
"317","Osmerus dentex"
"318","Osmerus mordax"
"319","Spirinchus starksi"
"320","Spirinchus thaleichthys"
"321","Thaleichthys pacificus"
"322","Coregonus autumnalis"
"323","Coregonus laurettae"
"324","Coregonus nasus"
"325","Coregonus pidschian"
"326","Coregonus clupeaformis"
"327","Coregonus sardinella"
"328","Oncorhynchus clarkii"
"329","Oncorhynchus gorbuscha"
"330","Oncorhynchus keta"
"331","Oncorhynchus kisutch"
"332","Oncorhynchus mykiss"
"333","Oncorhynchus nerka"
"334","Oncorhynchus tshawytscha"
"335","Prosopium cylindraceum"
"336","Salmo salar"
"337","Salvelinus alpinus"
"338","Salvelinus confluentus"
"339","Salvelinus malma"
"340","Stenodus leucichthys"
"341","Cyclothone acclinidens"
"342","Cyclothone alba"
"343","Cyclothone atraria"
"344","Cyclothone braueri"
"345","Cyclothone microdon"
"346","Cyclothone pallida"
"347","Cyclothone pseudopallida"
"348","Cyclothone signata"
"349","Diplophos taenia"
"350","Gonostoma atlanticum"
"351","Sigmops elongatus"
"352","Sigmops ebelingi"
"353","Sigmops gracilis"
"354","Argyropelecus aculeatus"
"355","Argyropelecus affinis"
"356","Argyropelecus hemigymnus"
"357","Argyropelecus lychnus"
"358","Argyropelecus sladeni"
"359","Danaphos oculatus"
"360","Maurolicus muelleri"
"361","Sternoptyx diaphana"
"362","Sternoptyx obscura"
"363","Sternoptyx pseudobscura"
"364","Valenciennellus tripunctulatus"
"365","Ichthyococcus elongatus"
"366","Ichthyococcus irregularis"
"367","Vinciguerria lucetia"
"368","Vinciguerria nimbaria"
"369","Vinciguerria poweriae"
"370","Woodsia nonsuchae"
"371","Aristostomias scintillans"
"372","Bathophilus brevis"
"373","Bathophilus filifer"
"374","Bathophilus flemingi"
"375","Borostomias panamensis"
"376","Chauliodus macouni"
"377","Chauliodus sloani"
"378","Eustomias perplexus"
"379","Flagellostomias boureei"
"380","Idiacanthus antrostomus"
"381","Idiacanthus fasciola"
"382","Malacosteus niger"
"383","Melanostomias valdiviae"
"384","Neonesthes capensis"
"385","Opostomias mitsuii"
"386","Pachystomias microdon"
"387","Photonectes margarita"
"388","Rhadinesthes decimus"
"389","Stomias atriventer"
"390","Tactostoma macropus"
"391","Aulopus bajacali"
"392","Synodus evermanni"
"393","Synodus lacertinus"
"394","Synodus lucioceps"
"395","Synodus scituliceps"
"396","Synodus sechurae"
"397","Benthalbella dentata"
"398","Benthalbella linguidens"
"399","Rosenblattichthys volucris"
"400","Scopelarchoides nicholsi"
"401","Scopelarchus analis"
"402","Scopelarchus guentheri"
"403","Evermannella ahlstromi"
"404","Alepisaurus ferox"
"405","Anotopterus nikparini"
"406","Anotopterus pharao"
"407","Arctozenus risso"
"408","Lestidiops neles"
"409","Lestidiops pacificus"
"410","Lestidiops jayakari"
"411","Lestidiops pseudosphyraenoides"
"412","Lestidiops ringens"
"413","Lestidiops sphyraenopsis"
"414","Macroparalepis johnfitchi"
"415","Magnisudis atlantica"
"416","Stemonosudis macrura"
"417","Sudis atrox"
"418","Bathysaurus mollis"
"419","Ahliesaurus brevis"
"420","Scopelosaurus adleri"
"421","Scopelosaurus harryi"
"422","Bathypterois atricolor"
"423","Bathypterois ventralis"
"424","Gigantura indica"
"425","Neoscopelus macrolepidotus"
"426","Scopelengys tristis"
"427","Benthosema glaciale"
"428","Benthosema panamense"
"429","Benthosema pterotum"
"430","Benthosema suborbitale"
"431","Bolinichthys longipes"
"432","Bolinichthys pyrsobolus"
"433","Centrobranchus nigroocellatus"
"434","Centrobranchus andreae"
"435","Ceratoscopelus townsendi"
"436","Diaphus anderseni"
"437","Diaphus fulgens"
"438","Diaphus rafinesquii"
"439","Diaphus kuroshio"
"440","Diaphus pacificus"
"441","Diaphus parri"
"442","Diaphus theta"
"443","Diaphus trachops"
"444","Diogenichthys atlanticus"
"445","Diogenichthys laternatus"
"446","Electrona risso"
"447","Gonichthys tenuiculus"
"448","Hygophum atratum"
"449","Hygophum proximum"
"450","Hygophum reinhardtii"
"451","Lampadena urophaos"
"452","Lampadena yaquinae"
"453","Lampanyctus festivus"
"454","Lampanyctus tenuiformis"
"455","Lampanyctus jordani"
"456","Lampanyctus nobilis"
"457","Lampanyctus parvicauda"
"458","Lampanyctus steinbecki"
"459","Loweina rara"
"460","Myctophum aurolaternatum"
"461","Myctophum nitidulum"
"462","Nannobrachium bristori"
"463","Nannobrachium fernae"
"464","Nannobrachium gibbsi"
"465","Nannobrachium hawaiiensis"
"466","Nannobrachium idostigma"
"467","Nannobrachium nigrum"
"468","Nannobrachium regale"
"469","Nannobrachium ritteri"
"470","Notolychnus valdiviae"
"471","Notoscopelus japonicus"
"472","Notoscopelus resplendens"
"473","Parvilux ingens"
"474","Protomyctophum crockeri"
"475","Protomyctophum thompsoni"
"476","Stenobrachius leucopsarus"
"477","Stenobrachius nannochir"
"478","Symbolophorus californiensis"
"479","Symbolophorus evermanni"
"480","Symbolophorus reversus"
"481","Taaningichthys bathyphilus"
"482","Taaningichthys minimus"
"483","Taaningichthys paurolychnus"
"484","Tarletonbeania crenularis"
"485","Tarletonbeania taylori"
"486","Triphoturus mexicanus"
"487","Triphoturus nigrescens"
"488","Lampris guttatus"
"489","Lampris incognitus"
"490","Lampris megalopsis"
"491","Lophotus capellei"
"492","Lophotus lacepede"
"493","Desmodema lorum"
"494","Trachipterus altivelis"
"495","Trachipterus trachypterus"
"496","Trachipterus fukuzakii"
"497","Zu cristatus"
"498","Regalecus russelii"
"499","Stylephorus chordatus"
"500","Bregmaceros bathymaster"
"501","Bregmaceros atlanticus"
"502","Coelorinchus scaphopsis"
"503","Coryphaenoides acrolepis"
"504","Coryphaenoides anguliceps"
"505","Coryphaenoides armatus"
"506","Coryphaenoides capito"
"507","Coryphaenoides cinereus"
"508","Coryphaenoides filifer"
"509","Coryphaenoides leptolepis"
"510","Coryphaenoides liocephalus"
"511","Coryphaenoides longifilis"
"512","Albatrossia pectoralis"
"513","Coryphaenoides yaquinae"
"514","Malacocephalus laevis"
"515","Mesobius berryi"
"516","Nezumia convergens"
"517","Nezumia kensmithi"
"518","Nezumia liolepis"
"519","Nezumia stelgidolepis"
"520","Echinomacrurus occidentalis"
"521","Antimora microlepis"
"522","Antimora rostrata"
"523","Halargyreus johnsonii"
"524","Laemonema longipes"
"525","Laemonema verecundum"
"526","Lepidion schmidti"
"527","Lepidion inosimae"
"528","Physiculus nematopus"
"529","Physiculus rastrelliger"
"530","Physiculus talarae"
"531","Melanonus zugmayeri"
"532","Merluccius productus"
"533","Merluccius angustimanus"
"534","Arctogadus glacialis"
"535","Boreogadus saida"
"536","Eleginus gracilis"
"537","Gadus chalcogrammus"
"538","Theragra finnmarchica"
"539","Gadus macrocephalus"
"540","Microgadus proximus"
"541","Lota lota"
"542","Echiodon exsilium"
"543","Carapus dubius"
"544","Acanthonus armatus"
"545","Bassozetus levistomatus"
"546","Bassozetus nasus"
"547","Bassozetus zenkevitchi"
"548","Brotula clarkae"
"549","Brotula ordwayi"
"550","Brotulotaenia nielseni"
"551","Cherublemma emmelas"
"552","Chilara taylori"
"553","Dicrolene filamentosa"
"554","Holcomycteronus digittatus"
"555","Holcomycteronus profundissimus"
"556","Lamprogrammus niger"
"557","Lepophidium hubbsi"
"558","Lepophidium microlepis"
"559","Lepophidium negropinna"
"560","Lepophidium pardale"
"561","Lepophidium prorates"
"562","Lepophidium stigmatistium"
"563","Neobythites stelliferoides"
"564","Ophidion galeoides"
"565","Ophidion imitator"
"566","Ophidion iris"
"567","Ophidion scrippsae"
"568","Otophidium indefatigabile"
"569","Petrotyx hopkinsi"
"570","Porogadus catena"
"571","Spectrunculus crassus"
"572","Spectrunculus grandis"
"573","Barathronus pacificus"
"574","Brosmophycis marginata"
"575","Cataetyx rubrirostris"
"576","Cataetyx simus"
"577","Grammonus diagrammus"
"578","Sciadonus pedicellaris"
"579","Thalassobathia pelagica"
"580","Ogilbia nigromarginata"
"581","Ogilbia nudiceps"
"582","Ogilbia ventralis"
"583","Porichthys analis"
"584","Porichthys ephippiatus"
"585","Porichthys margaritatus"
"586","Porichthys mimeticus"
"587","Porichthys myriaster"
"588","Porichthys notatus"
"589","Lophiodes caulinaris"
"590","Lophiodes spilurus"
"591","Lophiomus setigerus"
"592","Antennarius commerson"
"593","Antennatus sanguineus"
"594","Antennatus strigatus"
"595","Fowlerichthys avalonis"
"596","Chaunacops coloratus"
"597","Dibranchus spinosus"
"598","Dibranchus spongiosa"
"599","Zalieutes elater"
"600","Caulophryne jordani"
"601","Caulophryne pelagica"
"602","Caulophryne polynema"
"603","Melanocetus johnsonii"
"604","Himantolophus nigricornis"
"605","Himantolophus sagamius"
"606","Himantolophus groenlandicus"
"607","Bertella idiomorpha"
"608","Chaenophryne draco"
"609","Chaenophryne longiceps"
"610","Chaenophryne melanorhabdus"
"611","Dolopichthys longicornis"
"612","Dolopichthys pullatus"
"613","Leptacanthichthys gracilispinis"
"614","Microlophichthys microlophus"
"615","Oneirodes acanthias"
"616","Oneirodes basili"
"617","Oneirodes bulbosus"
"618","Oneirodes eschrichtii"
"619","Oneirodes thompsoni"
"620","Phyllorhinichthys micractis"
"621","Thaumatichthys axeli"
"622","Centrophryne spinulosa"
"623","Ceratias holboelli"
"624","Cryptopsaras couesii"
"625","Gigantactis gargantua"
"626","Gigantactis macronema"
"627","Gigantactis microdontis"
"628","Gigantactis savagei"
"629","Gigantactis vanhoeffeni"
"630","Borophryne apogon"
"631","Linophryne coronata"
"632","Linophryne racemifera"
"633","Chaenomugil proboscideus"
"634","Dajaus monticola"
"635","Mugil cephalus"
"636","Mugil hospes"
"637","Mugil setosus"
"638","Mugil curema"
"639","Atherinella eriarcha"
"640","Atherinella nepenthe"
"641","Atherinops affinis"
"642","Atherinopsis californiensis"
"643","Leuresthes tenuis"
"644","Menidia audens"
"645","Menidia beryllina"
"646","Cheilopogon dorsomacula"
"647","Cheilopogon furcatus"
"648","Cheilopogon heterurus"
"649","Cheilopogon papilio"
"650","Cheilopogon pinnatibarbatus"
"651","Cheilopogon spilonotopterus"
"652","Cheilopogon xenopterus"
"653","Cypselurus angusticeps"
"654","Cypselurus callopterus"
"655","Exocoetus monocirrhus"
"656","Exocoetus volitans"
"657","Fodiator rostratus"
"658","Hirundichthys albimaculatus"
"659","Hirundichthys marginatus"
"660","Hirundichthys rondeletii"
"661","Hirundichthys speculiger"
"662","Parexocoetus brachypterus"
"663","Prognichthys tringa"
"664","Euleptorhamphus viridis"
"665","Hemiramphus saltator"
"666","Hyporhamphus gilli"
"667","Hyporhamphus naos"
"668","Hyporhamphus rosae"
"669","Oxyporhamphus micropterus"
"670","Ablennes hians"
"671","Platybelone argalus"
"672","Strongylura exilis"
"673","Tylosurus crocodilus"
"674","Tylosurus pacificus"
"675","Tylosurus acus"
"676","Cololabis saira"
"677","Fundulus parvipinnis"
"678","Alloophorus robustus"
"679","Lucania goodei"
"680","Lucania parva"
"681","Gambusia affinis"
"682","Poecilia latipinna"
"683","Melamphaes acanthomus"
"684","Melamphaes janae"
"685","Melamphaes laeviceps"
"686","Melamphaes longivelis"
"687","Melamphaes lugubris"
"688","Melamphaes macrocephalus"
"689","Melamphaes parvus"
"690","Melamphaes spinifer"
"691","Melamphaes suborbitalis"
"692","Poromitra crassiceps"
"693","Poromitra rugosa"
"694","Poromitra curilensis"
"695","Poromitra jucunda"
"696","Poromitra megalops"
"697","Poromitra macrophthalma"
"698","Poromitra oscitans"
"699","Scopeloberyx opisthopterus"
"700","Scopeloberyx robustus"
"701","Scopelogadus bispinosus"
"702","Scopelogadus mizolepis"
"703","Cetichthys parini"
"704","Cetostoma regani"
"705","Ditropichthys storeri"
"706","Parataeniophorus brevis"
"707","Rondeletia loricata"
"708","Barbourisia rufa"
"709","Eutaeniophorus festivus"
"710","Anoplogaster cornuta"
"711","Diretmoides pauciradiatus"
"712","Diretmus argenteus"
"713","Phthanophaneron harveyi"
"714","Myripristis berndti"
"715","Myripristis leiognathus"
"716","Sargocentron suborbitale"
"717","Allocyttus folletti"
"718","Allocyttus verrucosus"
"719","Zenopsis nebulosa"
"720","Zenopsis filamentosa"
"721","Aulorhynchus flavidus"
"722","Gasterosteus aculeatus"
"723","Pungitius pungitius"
"724","Cosmocampus arctus"
"725","Doryrhamphus excisus"
"726","Hippocampus ingens"
"727","Syngnathus auliscus"
"728","Syngnathus californiensis"
"729","Syngnathus euchrous"
"730","Syngnathus exilis"
"731","Syngnathus insulae"
"732","Syngnathus leptorhynchus"
"733","Aulostomus chinensis"
"734","Fistularia commersonii"
"735","Fistularia corneta"
"736","Macroramphosus scolopax"
"737","Macroramphosus gracilis"
"738","Adelosebastes latens"
"739","Pontinus furcirhinus"
"740","Pontinus sierra"
"741","Pontinus vaughani"
"742","Scorpaena afuerae"
"743","Scorpaena guttata"
"744","Scorpaena histrio"
"745","Scorpaena mystes"
"746","Scorpaena russula"
"747","Scorpaena sonorae"
"748","Scorpaenodes xyris"
"749","Sebastes aleutianus"
"750","Sebastes alutus"
"751","Sebastes atrovirens"
"752","Sebastes auriculatus"
"753","Sebastes aurora"
"754","Sebastes babcocki"
"755","Sebastes rubrivinctus"
"756","Sebastes baramenuke"
"757","Sebastes borealis"
"758","Sebastes brevispinis"
"759","Sebastes carnatus"
"760","Sebastes caurinus"
"761","Sebastes chlorostictus"
"762","Sebastes chrysomelas"
"763","Sebastes ciliatus"
"764","Sebastes constellatus"
"765","Sebastes crameri"
"766","Sebastes dallii"
"767","Sebastes diaconus"
"768","Sebastes mystinus"
"769","Sebastes diploproa"
"770","Sebastes elongatus"
"771","Sebastes emphaeus"
"772","Sebastes ensifer"
"773","Sebastes entomelas"
"774","Sebastes eos"
"775","Sebastes flavidus"
"776","Sebastes gilli"
"777","Sebastes glaucus"
"778","Sebastes goodei"
"779","Sebastes helvomaculatus"
"780","Sebastes hopkinsi"
"781","Sebastes jordani"
"782","Sebastes lentiginosus"
"783","Sebastes levis"
"784","Sebastes macdonaldi"
"785","Sebastes maliger"
"786","Sebastes melanops"
"787","Sebastes melanosema"
"788","Sebastes melanostictus"
"789","Sebastes melanostomus"
"790","Sebastes miniatus"
"791","Sebastes moseri"
"792","Sebastes nebulosus"
"793","Sebastes nigrocinctus"
"794","Sebastes notius"
"795","Sebastes ovalis"
"796","Sebastes paucispinis"
"797","Sebastes phillipsi"
"798","Sebastes pinniger"
"799","Sebastes polyspinis"
"800","Sebastes proriger"
"801","Sebastes rastrelliger"
"802","Sebastes reedi"
"803","Sebastes rosaceus"
"804","Sebastes rosenblatti"
"805","Sebastes ruberrimus"
"806","Sebastes rufinanus"
"807","Sebastes rufus"
"808","Sebastes saxicola"
"809","Sebastes semicinctus"
"810","Sebastes serranoides"
"811","Sebastes serriceps"
"812","Sebastes simulator"
"813","Sebastes umbrosus"
"814","Sebastes variabilis"
"815","Sebastes variegatus"
"816","Sebastes wilsoni"
"817","Sebastes zacentrus"
"818","Sebastolobus alascanus"
"819","Sebastolobus altivelis"
"820","Sebastolobus macrochir"
"821","Bellator gymnostethus"
"822","Bellator loxias"
"823","Bellator xenisma"
"824","Prionotus albirostris"
"825","Prionotus birostratus"
"826","Prionotus horrens"
"827","Prionotus ruscarius"
"828","Prionotus stephanophrys"
"829","Anoplopoma fimbria"
"830","Erilepis zonifer"
"831","Oxylebius pictus"
"832","Zaniolepis frenata"
"833","Zaniolepis latipinnis"
"834","Hexagrammos decagrammus"
"835","Hexagrammos lagocephalus"
"836","Hexagrammos octogrammus"
"837","Pleurogrammus azonus"
"838","Hexagrammos stelleri"
"839","Ophiodon elongatus"
"840","Pleurogrammus monopterygius"
"841","Jordania zonope"
"842","Paricelinus hopliticus"
"843","Scorpaenichthys marmoratus"
"844","Rhamphocottus richardsonii"
"845","Cottus aleuticus"
"846","Cottus asper"
"847","Leptocottus armatus"
"848","Archistes biseriatus"
"849","Archistes plumarius"
"850","Artediellichthys nigripinnis"
"851","Artediellus atlanticus"
"852","Artediellus camchaticus"
"853","Artediellus gomojunovi"
"854","Artediellus miacanthus"
"855","Artediellus ochotensis"
"856","Artediellus pacificus"
"857","Artediellus scaber"
"858","Artedius corallinus"
"859","Artedius fenestralis"
"860","Artedius harringtoni"
"861","Artedius lateralis"
"862","Artedius notospilotus"
"863","Ascelichthys rhodorus"
"864","Asemichthys taylori"
"865","Bolinia euryptera"
"866","Chitonotus pugetensis"
"867","Clinocottus acuticeps"
"868","Clinocottus analis"
"869","Clinocottus embryum"
"870","Clinocottus globiceps"
"871","Clinocottus recalvus"
"872","Cottunculus microps"
"873","Cottunculus sadko"
"874","Dasycottus setiger"
"875","Enophrys bison"
"876","Enophrys diceraus"
"877","Enophrys lucasi"
"878","Enophrys taurina"
"879","Eurymen gyrinus"
"880","Gymnocanthus detrisus"
"881","Gymnocanthus galeatus"
"882","Gymnocanthus pistilliger"
"883","Gymnocanthus tricuspis"
"884","Icelinus borealis"
"885","Icelinus burchami"
"886","Icelinus cavifrons"
"887","Icelinus filamentosus"
"888","Icelinus fimbriatus"
"889","Icelinus limbaughi"
"890","Icelinus oculatus"
"891","Icelinus quadriseriatus"
"892","Icelinus tenuis"
"893","Icelus bicornis"
"894","Icelus canaliculatus"
"895","Icelus euryops"
"896","Icelus spatula"
"897","Icelus spiniger"
"898","Icelus uncinalis"
"899","Leiocottus hirundo"
"900","Malacocottus kincaidi"
"901","Malacocottus zonurus"
"902","Malacocottus aleuticus"
"903","Megalocottus platycephalus"
"904","Microcottus sellaris"
"905","Myoxocephalus jaok"
"906","Myoxocephalus niger"
"907","Myoxocephalus polyacanthocephalus"
"908","Myoxocephalus quadricornis"
"909","Myoxocephalus scorpioides"
"910","Myoxocephalus scorpius"
"911","Myoxocephalus stelleri"
"912","Oligocottus maculosus"
"913","Oligocottus rimensis"
"914","Oligocottus rubellio"
"915","Oligocottus snyderi"
"916","Orthonopias triacis"
"917","Phallocottus obtusus"
"918","Porocottus mednius"
"919","Porocottus quadrifilis"
"920","Psychrolutes paradoxus"
"921","Psychrolutes phrictus"
"922","Psychrolutes sigalutes"
"923","Radulinus asprellus"
"924","Radulinus boleoides"
"925","Radulinus vinculus"
"926","Rastrinus scutiger"
"927","Ruscarius creaseri"
"928","Ruscarius meanyi"
"929","Sigmistes caulias"
"930","Sigmistes smithi"
"931","Stelgistrum beringianum"
"932","Stelgistrum concinnum"
"933","Synchirus gilli"
"934","Thyriscus anoplus"
"935","Trichocottus brashnikovi"
"936","Triglops forficatus"
