taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Helobdellanunununojensis,Helobdellanunununojensis,Helobdella nununununojensis,Helobdella,NA,51290,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella sorojchi,Helobdella sorojchi,Helobdella sorojchi,Helobdella,species,51287,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella ringueleti,Helobdella ringueleti,Helobdella ringueleti,Helobdella,species,51288,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella bolivianita,Helobdella bolivianita,Helobdella bolivianita,Helobdella,species,51295,FALSE,NA,Helobdella,accepted,1,1,160018
Dero furcata,Dero furcata,Dero furcata,Dero,species,676633,FALSE,sibling_higher,Dero,accepted,NA,1,993490
Lamprodrilus decathecus,Lamprodrilus decathecus,Lamprodrilus decathecus,Lamprodrilus,species,769000,FALSE,NA,Lamprodrilus,accepted,0,1,1040063
Haemopis kingi,Haemopis kingi,Haemopis kingi,Haemopis,species,944488,FALSE,NA,Haemopis,accepted,1,1,1382833
Oxyptychus braziliensis,Oxyptychus braziliensis,Oxyptychus braziliensis,Oxyptychus,species,663523,FALSE,NA,Oxyptychus,accepted,NA,1,1439623
Erpobdella costata,Erpobdella costata,Erpobdella costata,Erpobdella,species,42952,FALSE,NA,Erpobdella,accepted,NA,1,160006
Metaphire yuhsii,Metaphire yuhsii,Metaphire yuhsii,Metaphire,species,518192,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire formosae,Metaphire formosae,Metaphire formosae,Metaphire,species,518195,FALSE,NA,Metaphire,accepted,1,NA,1062143
Hirudo troctina,Hirudo troctina,Hirudo troctina,Hirudo,species,536322,FALSE,NA,Hirudo,accepted,0,1,370714
Barbronia gwalagwalensis,Barbronia gwalagwalensis,Barbronia gwalagwalensis,Barbronia,species,756058,FALSE,NA,Barbronia,accepted,NA,1,1511282
Haemopis terrestris,Haemopis terrestris,Haemopis terrestris,Haemopis,species,309974,FALSE,NA,Haemopis,accepted,1,1,1382833
Metaphire glareosa,Metaphire glareosa,Metaphire glareosa,Metaphire,species,839178,FALSE,NA,Metaphire,accepted,1,NA,1062143
Helobdella pichipanan,Helobdella pichipanan,Helobdella pichipanan,Helobdella,species,779129,FALSE,NA,Helobdella,accepted,1,1,160018
Erpobdella wuttkei,Erpobdella wuttkei,Erpobdella wuttkei,Erpobdella,NA,172128,FALSE,NA,Erpobdella,accepted,NA,1,160006
Amynthas lini,Amynthas lini,Amynthas lini,Amynthas,species,786626,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas mayshanensis,Amynthas mayshanensis,Amynthas mayshanensis,Amynthas,species,786624,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas polyglandularis,Amynthas polyglandularis,Amynthas polyglandularis,Amynthas,species,786625,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Erpobdella mexicana,Erpobdella mexicana,Erpobdella mexicana,Erpobdella,species,849665,FALSE,NA,Erpobdella,accepted,NA,1,160006
Erpobdella ochoterenai,Erpobdella ochoterenai,Erpobdella ochoterenai,Erpobdella,species,849666,FALSE,NA,Erpobdella,accepted,NA,1,160006
Barbronia arcana,Barbronia arcana,Barbronia arcana,Barbronia,species,224442,FALSE,NA,Barbronia,accepted,NA,1,1511282
Amynthas diffringens,Amynthas diffringens,Amynthas diffringens,Amynthas,species,615951,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Metaphire tschiliensis,Metaphire tschiliensis,Metaphire tschiliensis,Metaphire,species,619490,FALSE,NA,Metaphire,accepted,1,NA,1062143
Amynthas axillis,Amynthas axillis,Amynthas axillis,Amynthas,species,21150,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas triastriatus,Amynthas triastriatus,Amynthas triastriatus,Amynthas,species,690145,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas lautus,Amynthas lautus,Amynthas lautus,Amynthas,species,21152,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas dactilicus,Amynthas dactilicus,Amynthas dactilicus,Amynthas,species,690129,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas incongruus,Amynthas incongruus,Amynthas incongruus,Amynthas,species,264557,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas kiangensis,Amynthas kiangensis,Amynthas kiangensis,Amynthas,species,1071444,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas plantoporophoratus,Amynthas plantoporophoratus,Amynthas plantoporophoratus,Amynthas,species,542154,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas benignus,Amynthas benignus,Amynthas benignus,Amynthas,species,1071459,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas limellus,Amynthas limellus,Amynthas limellus,Amynthas,species,258927,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas homochaetus,Amynthas homochaetus,Amynthas homochaetus,Amynthas,species,430765,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas tuberculatus,Amynthas tuberculatus,Amynthas tuberculatus,Amynthas,species,690143,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas pongchii,Amynthas pongchii,Amynthas pongchii,Amynthas,species,168835,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas asacceus,Amynthas asacceus,Amynthas asacceus,Amynthas,NA,1042262,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas loti,Amynthas loti,Amynthas loti,Amynthas,species,1042266,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Diplocardia eiseni,Diplocardia eiseni,Diplocardia eiseni,Diplocardia,species,615948,FALSE,NA,Diplocardia,accepted,1,0,1062007
Diplocardia smithi,Diplocardia smithi,Diplocardia smithi,Diplocardia,species,77653,FALSE,NA,Diplocardia,accepted,1,0,1062007
Diplocardia caroliniana,Diplocardia caroliniana,Diplocardia caroliniana,Diplocardia,species,77648,FALSE,NA,Diplocardia,accepted,1,0,1062007
Hormogaster elisae,Hormogaster elisae,Hormogaster elisae,Hormogaster,species,368543,FALSE,NA,Hormogaster,accepted,1,0,1062083
Helobdella octatestisaca,Helobdella octatestisaca,Helobdella octatestisaca,Helobdella,species,321052,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella melananus,Helobdella melananus,Helobdella melananus,Helobdella,NA,321058,FALSE,NA,Helobdella,accepted,1,1,160018
Aporrectodeacturna,Aporrectodeacturna,Aporrectodea nocturna,Aporrectodea,NA,245040,FALSE,NA,Aporrectodea,accepted,1,0,994659
Erpobdella montezuma,Erpobdella montezuma,Erpobdella montezuma,Erpobdella,species,780892,FALSE,NA,Erpobdella,accepted,NA,1,160006
Dina lyhnida,Dina lyhnida,Dina lyhnida,Dina,species,903051,FALSE,NA,Dina,accepted,1,1,1290570
Dina krilata,Dina krilata,Dina krilata,Dina,species,377989,FALSE,NA,Dina,accepted,1,1,1290570
Dina lepinja,Dina lepinja,Dina lepinja,Dina,species,378002,FALSE,NA,Dina,accepted,1,1,1290570
Dina ohridana,Dina ohridana,Dina ohridana,Dina,species,903049,FALSE,NA,Dina,accepted,1,1,1290570
Dina latestriata,Dina latestriata,Dina latestriata,Dina,species,378000,FALSE,NA,Dina,accepted,1,1,1290570
Dina svilesta,Dina svilesta,Dina svilesta,Dina,species,1023098,FALSE,NA,Dina,accepted,1,1,1290570
Erpobdella johanssoni,Erpobdella johanssoni,Erpobdella johanssoni,Erpobdella,NA,5574,FALSE,NA,Erpobdella,accepted,NA,1,160006
Helobdella atli,Helobdella atli,Helobdella atli,Helobdella,species,50551,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella virginiae,Helobdella virginiae,Helobdella virginiae,Helobdella,species,146400,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella socimulcensis,Helobdella socimulcensis,Helobdella socimulcensis,Helobdella,species,50553,FALSE,NA,Helobdella,accepted,1,1,160018
Erpobdella annulata,Erpobdella annulata,Erpobdella annulata,Erpobdella,species,631087,FALSE,NA,Erpobdella,accepted,NA,1,160006
Hormogaster oroeli,Hormogaster oroeli,Hormogaster oroeli,Hormogaster,species,1089443,FALSE,NA,Hormogaster,accepted,1,0,1062083
Hormogaster pretiosaleida,Hormogaster pretiosaleida,Hormogaster praetiosa nigra,Hormogaster,NA,1089449,FALSE,infraspecific,Hormogaster,accepted,1,0,1062083
Hormogaster ireguana,Hormogaster ireguana,Hormogaster ireguana,Hormogaster,species,1089447,FALSE,NA,Hormogaster,accepted,1,0,1062083
Helobdella californica,Helobdella californica,Helobdella californica,Helobdella,species,376476,FALSE,NA,Helobdella,accepted,1,1,160018
Martiodrilus tenkatei,Martiodrilus tenkatei,Martiodrilus tenkatei,Martiodrilus,species,5705841,FALSE,NA,Martiodrilus,accepted,1,0,1062131
Aporrectodea molleri,Aporrectodea molleri,Aporrectodea molleri,Aporrectodea,species,245042,FALSE,NA,Aporrectodea,accepted,1,0,994659
Aporrectodea giardi,Aporrectodea giardi,Aporrectodea giardi,Aporrectodea,species,973362,FALSE,NA,Aporrectodea,accepted,1,0,994659
Amynthas zhangi,Amynthas zhangi,Amynthas zhangi,Amynthas,species,5224435,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas lingshuiensis,Amynthas lingshuiensis,Amynthas lingshuiensis,Amynthas,NA,5224426,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas stricosus,Amynthas stricosus,Amynthas stricosus,Amynthas,species,5224430,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas trapezoides,Amynthas trapezoides,Amynthas trapezoides,Amynthas,species,5224429,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas hainanicus,Amynthas hainanicus,Amynthas hainanicus,Amynthas,NA,5705710,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas mediocus,Amynthas mediocus,Amynthas mediocus,Amynthas,species,5705681,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Metaphire peguana,Metaphire peguana,Metaphire peguana,Metaphire,species,5224417,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire bahli,Metaphire bahli,Metaphire bahli,Metaphire,species,5224418,FALSE,NA,Metaphire,accepted,1,NA,1062143
Amynthas longisiphonus,Amynthas longisiphonus,Amynthas longisiphonus,Amynthas,species,5705747,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas szechuanensis,Amynthas szechuanensis,Amynthas szechuanensis,Amynthas,species,5705702,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Metaphire exilis,Metaphire exilis,Metaphire exilis,Metaphire,species,5705679,FALSE,NA,Metaphire,accepted,1,NA,1062143
Amynthas daeari,Amynthas daeari,Amynthas daeari,Amynthas,species,5224433,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Helobdella bowermani,Helobdella bowermani,Helobdella bowermani,Helobdella,species,5492585,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella simplex,Helobdella simplex,Helobdella simplex,Helobdella,species,5492582,FALSE,NA,Helobdella,accepted,1,1,160018
Drawida koreana,Drawida koreana,Drawida koreana,Drawida,species,5693491,FALSE,NA,Drawida,accepted,1,1,1027687
Metaphire tecta,Metaphire tecta,Metaphire tecta,Metaphire,NA,7487901,FALSE,NA,Metaphire,accepted,1,NA,1062143
Amynthas pectiniferus,Amynthas pectiniferus,Amynthas pectiniferus,Amynthas,NA,5972679,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Dichogaster modigliani,Dichogaster modigliani,Dichogaster modigliani,Dichogaster,species,5972684,FALSE,NA,Dichogaster,accepted,1,1,1040124
Drawida impertusa,Drawida impertusa,Drawida impertusa,Drawida,species,5972740,FALSE,NA,Drawida,accepted,1,1,1027687
Metaphire houlleti,Metaphire houlleti,Metaphire houlleti,Metaphire,species,2845428,FALSE,NA,Metaphire,accepted,1,NA,1062143
Amynthas jiriensis,Amynthas jiriensis,Amynthas jiriensis,Amynthas,species,5972678,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas alexandri,Amynthas alexandri,Amynthas alexandri,Amynthas,species,5972675,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas papulosus,Amynthas papulosus,Amynthas papulosus,Amynthas,species,2845407,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas lalashan,Amynthas lalashan,Amynthas lalashan,Amynthas,NA,7487470,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas fusing,Amynthas fusing,Amynthas fusing,Amynthas,NA,7487467,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas lioujia,Amynthas lioujia,Amynthas lioujia,Amynthas,NA,7487471,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas majia,Amynthas majia,Amynthas majia,Amynthas,NA,7487475,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Erpobdella adani,Erpobdella adani,Erpobdella adani,Erpobdella,NA,7486055,FALSE,NA,Erpobdella,accepted,NA,1,160006
Drawida alishanensis,Drawida alishanensis,Drawida alishanensis,Drawida,NA,7488262,FALSE,NA,Drawida,accepted,1,1,1027687
Drawida fenqihuensis,Drawida fenqihuensis,Drawida fenqihuensis,Drawida,NA,7488264,FALSE,NA,Drawida,accepted,1,1,1027687
