taxa_query,found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Pristina leidyi,Pristina (Pristina) leidyi,species,Annelida,Clitellata,Tubificida,Naididae,Pristina,1040757,30664,5194052,231967,alternate representation,NA,FALSE,NA,"Smith, 1896",Pristina (Pristina) leidyi,Pristina leidyi,Pristina leidyi,"Pristina leidyi Smith, 1896",1,0
Pristina longiseta,Pristina (Pristina) longiseta,species,Annelida,Clitellata,Tubificida,Naididae,Pristina,1040148,30663,5194048,544393,alternate representation,NA,FALSE,NA,"Ehrenberg, 1831",Pristina (Pristina) longiseta,Pristina longiseta,Pristina longiseta,"Pristina longiseta Ehrenberg, 1828",1,0
Pristina osborni,Pristina (Pristinella) osborni,species,Annelida,Clitellata,Tubificida,Naididae,Pristina,1040143,30662,5194065,975576,alternate representation,NA,FALSE,NA,"(Walton, 1906)",Pristina (Pristinella) osborni,Pristina osborni,Pristina osborni,"Pristina osborni (Walton, 1906)",1,0
Slavina appendiculata,Slavina appendiculata,species,Annelida,Clitellata,Tubificida,Naididae,Slavina,157597,30658,2308197,544391,accepted,NA,FALSE,NA,"(d'Udekem, 1855)",Slavina appendiculata,Slavina appendiculata,Slavina appendiculata,"Slavina appendiculata (Udekem, 1855)",1,0
Stylaria lacustris,Stylaria lacustris,species,Annelida,Clitellata,Tubificida,Naididae,Stylaria,137486,30655,2308060,318904,accepted,NA,FALSE,NA,"(Linnaeus, 1758)",Stylaria lacustris,Stylaria lacustris,Stylaria lacustris,"Stylaria lacustris (Linnaeus, 1758)",1,0
Branchiura sowerbyi,Branchiura sowerbyi,species,Annelida,Clitellata,Tubificida,Naididae,Branchiura,182695,30650,2308574,536508,accepted,NA,FALSE,NA,"Beddard, 1892",Branchiura sowerbyi,Branchiura sowerbyi,Branchiura sowerbyi,"Branchiura sowerbyi Beddard, 1892",1,0
Erpobdella octoculata,Erpobdella octoculata,species,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,Erpobdella,181575,33374,2308846,931415,accepted,NA,FALSE,NA,"(Linnaeus, 1758)",Erpobdella octoculata,Erpobdella octoculata,Erpobdella octoculata,"Erpobdella octoculata (Linnaeus, 1758)",1,NA
Haemopis,Haemopis,genus,Annelida,Clitellata,Arhynchobdellida,Haemopidae,Haemopis,1382833,25574,2308810,675,accepted,NA,FALSE,NA,"Savigny, 1822",Haemopis,Haemopis,Haemopis,"Haemopis Savigny, 1822",1,1
Haemopis grandis,Haemopis grandis,species,Annelida,Clitellata,Arhynchobdellida,Haemopidae,Haemopis,1451152,29717,2308819,89385,accepted,NA,FALSE,NA,"(Verrill, 1874)",Haemopis grandis,Haemopis grandis,Haemopis grandis,"Haemopis grandis (Verrill, 1874)",1,NA
Placobdella ornata,Placobdella ornata,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Placobdella,160288,26113,2307929,870767,accepted,NA,FALSE,sibling_higher,"(Verrill, 1872)",Placobdella ornata,Placobdella ornata,Placobdella ornata,"Placobdella ornata (Verrill, 1872)",1,NA
Eiseniella tetraedra,Eiseniella tetraedra,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eiseniella,994671,127165,2307762,2845389,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Eiseniella tetraedra,Eiseniella tetraedra,Eiseniella tetraedra,"Eiseniella tetraedra (Savigny, 1826)",0,1
Lumbricus terrestris,Lumbricus terrestris,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,1069627,25197,4410657,316441,accepted,NA,FALSE,NA,"Linnaeus, 1758",Lumbricus terrestris,Lumbricus terrestris,Lumbricus terrestris,"Lumbricus terrestris Linnaeus, 1758",0,1
Aporrectodea,Aporrectodea,genus,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,994659,25204,2307755,1039469,accepted,NA,FALSE,NA,"Orley, 1885",Aporrectodea,Aporrectodea,Aporrectodea,"Aporrectodea Orley, 1885",0,1
Lumbricus rubellus,Lumbricus rubellus,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,994658,25199,4410669,115614,accepted,NA,FALSE,NA,"Hoffmeister, 1843",Lumbricus rubellus,Lumbricus rubellus,Lumbricus rubellus,"Lumbricus rubellus Hoffmeister, 1843",0,1
Helobdella,Helobdella,genus,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,160018,25448,2307934,870779,accepted,NA,FALSE,NA,"Blanchard, 1896",Helobdella,Helobdella,Helobdella,"Helobdella Blanchard, 1896",1,1
Aporrectodea tuberculata,Aporrectodea caliginosa,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,1041019,183649,2307756,915040,unaccepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Aporrectodea caliginosa,Aporrectodea tuberculata,Aporrectodea tuberculata,"Aporrectodea tuberculata (Eisen, 1874)",0,1
Dendrobaena octaedra,Dendrobaena octaedra,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,1041023,25203,7772922,390576,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena octaedra,"Dendrobaena octaedra (Savigny, 1826)",1,0
Dendrodrilus rubidus,Bimastos rubidus,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrodrilus,1056838,25201,9715336,1098821,unaccepted,superseded subsequent combination,FALSE,NA,"(Savigny in Cuvier, 1826)",Bimastos rubidus,Dendrodrilus rubidus,Dendrodrilus rubidus,"Dendrodrilus rubidus (Savigny, 1826)",0,1
Helobdella stagnalis,Helobdella stagnalis,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,160019,26096,2307936,621686,accepted,NA,FALSE,NA,"(Linnaeus, 1758)",Helobdella stagnalis,Helobdella stagnalis,Helobdella stagnalis,"Helobdella stagnalis (Linnaeus, 1758)",1,NA
Octolasion cyaneum,Octolasion cyaneum,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,1551551,127147,2307766,128736,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Octolasion cyaneum,Octolasion cyaneum,Octolasion cyaneum,"Octolasion cyaneum (Savigny, 1826)",NA,1
Sparganophilus,Sparganophilus,genus,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus,992683,127254,2308257,531296,accepted,NA,FALSE,NA,"Benham, 1892",Sparganophilus,Sparganophilus,Sparganophilus,"Sparganophilus Benham, 1892",1,1
Dichogaster bolaui,Dichogaster bolaui,species,Annelida,Clitellata,Crassiclitellata,Octochaetidae,Dichogaster,1041015,183703,4410238,4974331,accepted,NA,FALSE,NA,"(Michaelsen, 1891)",Dichogaster bolaui,Dichogaster bolaui,Dichogaster bolaui,"Dichogaster bolaui (Michaelsen, 1891)",1,0
Mesenchytraeus solifugus,Mesenchytraeus solifugus,species,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Mesenchytraeus,1073933,171067,9060483,378300,accepted,NA,FALSE,NA,"(Emery, 1898)",Mesenchytraeus solifugus,Mesenchytraeus solifugus,Mesenchytraeus solifugus,"Mesenchytraeus solifugus (Emery, 1898)",NA,1
Hirudo verbana,Hirudo verbana,species,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Hirudo,1324814,25255,8845441,1037686,accepted,NA,FALSE,NA,"Carena, 1820",Hirudo verbana,Hirudo verbana,Hirudo verbana,"Hirudo verbana Carena, 1820",1,1
Limnatis nilotica,Limnatis nilotica,species,Annelida,Clitellata,Arhynchobdellida,Praobdellidae,Limnatis,1324753,29711,10490144,89388,accepted,NA,FALSE,NA,"(Savigny, 1822)",Limnatis nilotica,Limnatis nilotica,Limnatis nilotica,"Limnatis nilotica (Savigny, 1822)",1,0
Metaphire,Metaphire,genus,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1062143,26241,3267593,518191,accepted,NA,FALSE,NA,"Sims & Easton, 1972",Metaphire,Metaphire,Metaphire,"Metaphire Sims & Easton, 1972",NA,1
Metaphire nanaoensis,Metaphire nanaoensis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1068410,26246,5739107,839179,accepted,NA,FALSE,NA,"Chang & Chen, 2005",Metaphire nanaoensis,Metaphire nanaoensis,Metaphire nanaoensis,"Metaphire nanaoensis Chang & Chen, 2005",0,1
Metaphire taiwanensis,Metaphire taiwanensis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1072075,26245,5739103,839180,unassessed,NA,FALSE,NA,"C-F. Tsai, S-C. Tsai & Shen, 2004",Metaphire taiwanensis,Metaphire taiwanensis,Metaphire taiwanensis,"Metaphire taiwanensis C-F.Tsai, S-C.Tsai & Shen, 2004",NA,1
Metaphire trutina,Metaphire trutina,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1068406,26247,5739109,839165,unassessed,NA,FALSE,NA,"C-F. Tsai, J-H. Chen, S-C. Tsai & Shen, 2003",Metaphire trutina,Metaphire trutina,Metaphire trutina,"Metaphire trutina C-F.Tsai, J-H.Chen, S-C.Tsai & Shen, 2003",NA,1
Metaphire feijani,Metaphire feijani,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1068248,26244,5739110,418231,unassessed,NA,FALSE,NA,"C.-H. Chang & J.-H. Chen, 2004",Metaphire feijani,Metaphire feijani,Metaphire feijani,"Metaphire feijani C.-H.Chang & J.-H.Chen, 2004",0,1
Batracobdelloides tricarinata,Batracobdelloides tricarinata,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Batracobdelloides,1391550,79737,10711007,205090,accepted,NA,FALSE,NA,"(Blanchard, 1897)",Batracobdelloides tricarinata,Batracobdelloides tricarinata,Batracobdelloides tricarinata,"Batracobdelloides tricarinata (Blanchard, 1897)",1,NA
Eisenia fetida,Eisenia fetida,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,1041027,26354,5815560,316451,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Eisenia fetida,Eisenia fetida,Eisenia fetida,"Eisenia fetida (Savigny, 1826)",1,1
Helobdella elongata,Gloiobdella elongata,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,160014,26088,2307951,51294,unaccepted,superseded subsequent combination,FALSE,NA,"(Castle, 1900)",Gloiobdella elongata,Helobdella elongata,Helobdella elongata,"Helobdella elongata (Castle, 1900)",1,1
Eukerria,Eukerria,genus,Annelida,Clitellata,Crassiclitellata,Ocnerodrilidae,Eukerria,1040121,183701,3267570,1013000,accepted,NA,FALSE,NA,"Michaelsen, 1935",Eukerria,Eukerria,Eukerria,"Eukerria Michaelsen, 1935",1,0
Uncinais uncinata,Uncinais uncinata,species,Annelida,Clitellata,Tubificida,Naididae,Uncinais,137487,733922,2308179,563209,accepted,NA,FALSE,NA,"(Ørsted, 1842)",Uncinais uncinata,Uncinais uncinata,Uncinais uncinata,"Uncinais uncinata (Ørsted, 1842)",1,0
Helobdella robusta,Helobdella robusta,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,1250309,80507,2307945,870792,accepted,NA,FALSE,NA,"Shankland, Bissen & Weisblat, 1992",Helobdella robusta,Helobdella robusta,Helobdella robusta,"Helobdella robusta Shankland, Bissen & Weisblat, 1992",1,1
Erpobdella punctata,Erpobdella punctata,species,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,Erpobdella,160007,33373,2308841,610870,accepted,NA,FALSE,NA,"(Leidy, 1870)",Erpobdella punctata,Erpobdella punctata,Erpobdella punctata,"Erpobdella punctata (Leidy, 1870)",1,NA
Ilyodrilus templetoni,Ilyodrilus templetoni,species,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,992890,651731,2308490,980699,accepted,NA,FALSE,NA,"(Southern, 1909)",Ilyodrilus templetoni,Ilyodrilus templetoni,Ilyodrilus templetoni,"Ilyodrilus templetoni (Southern, 1909)",1,0
Tubifex ignotus,Lophochaeta ignota,species,Annelida,Clitellata,Tubificida,Naididae,Tubifex,1033455,654635,2308442,531291,unaccepted,NA,FALSE,sibling_higher,"Štolc, 1886",Lophochaeta ignota,Tubifex ignotus,Tubifex ignotus,"Tubifex ignotus (Štolc, 1886)",1,0
Diplocardia sylvicola,Diplocardia sylvicola,species,Annelida,Clitellata,Crassiclitellata,Acanthodrilidae,Diplocardia,1069141,106187,8901858,1052779,unassessed,NA,FALSE,NA,"Gates, 1977",Diplocardia sylvicola,Diplocardia sylvicola,Diplocardia sylvicola,"Diplocardia sylvicola Gates, 1977",0,1
Diplocardia,Diplocardia,genus,Annelida,Clitellata,Crassiclitellata,Acanthodrilidae,Diplocardia,1062007,80675,7758244,640502,accepted,NA,FALSE,NA,"Garman, 1888",Diplocardia,Diplocardia,Diplocardia,"Diplocardia Garman, 1888",0,1
Hirudo medicinalis,Hirudo medicinalis,species,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Hirudo,724639,25256,2308887,954042,accepted,NA,FALSE,NA,"Linnaeus, 1758",Hirudo medicinalis,Hirudo medicinalis,Hirudo medicinalis,"Hirudo medicinalis Linnaeus, 1758",1,0
Piscicolaria reducta,Piscicolaria reducta,species,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Piscicolaria,763076,952878,2307850,885441,accepted,NA,FALSE,NA,"(Meyer, 1940)",Piscicolaria reducta,Piscicolaria reducta,Piscicolaria reducta,"Piscicolaria reducta (Meyer, 1940)",1,0
Potamothrix moldaviensis,Potamothrix moldaviensis,species,Annelida,Clitellata,Tubificida,Naididae,Potamothrix,137563,657176,2308609,2846188,accepted,NA,FALSE,NA,"Vejdovský & Mrázek, 1903",Potamothrix moldaviensis,Potamothrix moldaviensis,Potamothrix moldaviensis,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903",1,0
Erpobdella,Erpobdella,genus,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,Erpobdella,160006,26122,10869541,737591,accepted,NA,FALSE,NA,"Lamarck, 1818",Erpobdella,Erpobdella,Erpobdella,"Erpobdella Lamarck, 1818",1,NA
Ophidonais serpentina,Ophidonais serpentina,species,Annelida,Clitellata,Tubificida,Naididae,Ophidonais,238751,30670,2308038,549847,accepted,NA,FALSE,NA,"(Müller, 1774)",Ophidonais serpentina,Ophidonais serpentina,Ophidonais serpentina,"Ophidonais serpentina (Müller, 1774)",1,0
Spirosperma ferox,Spirosperma ferox,species,Annelida,Clitellata,Tubificida,Naididae,Spirosperma,1038999,768580,2308512,508576,accepted,NA,FALSE,NA,"Eisen, 1879",Spirosperma ferox,Spirosperma ferox,Spirosperma ferox,"Spirosperma ferox Eisen, 1879",1,0
Placobdella,Placobdella,genus,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Placobdella,160287,26110,2307920,870770,accepted,NA,FALSE,NA,"Blanchard, 1893",Placobdella,Placobdella,Placobdella,"Placobdella Blanchard, 1893",1,1
Bryodrilus diverticulatus,Bryodrilus diverticulatus,species,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Bryodrilus,1068262,349666,4409824,430224,accepted,NA,FALSE,NA,"Černosvitov, 1929",Bryodrilus diverticulatus,Bryodrilus diverticulatus,Bryodrilus diverticulatus,"Bryodrilus diverticulatus Černosvitov, 1929",NA,1
Bryodrilus parvus,Bryodrilus parvus,species,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Bryodrilus,1070269,349667,4409825,430226,accepted,NA,FALSE,NA,"Nurminen, 1970",Bryodrilus parvus,Bryodrilus parvus,Bryodrilus parvus,"Bryodrilus parvus Nurminen, 1970",NA,1
Bryodrilus librus,Bryodrilus librus,species,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Bryodrilus,1344902,349668,9308919,2846791,accepted,NA,FALSE,NA,"(Nielsen & Christensen, 1959)",Bryodrilus librus,Bryodrilus librus,Bryodrilus librus,"Bryodrilus librus (Nielsen & Christensen, 1959)",NA,1
Amynthas corticis,Amynthas corticis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,1425419,80648,2307610,786614,accepted,NA,FALSE,sibling_higher,"(Kinberg, 1866)",Amynthas corticis,Amynthas corticis,Amynthas corticis,"Amynthas corticis (Kinberg, 1866)",1,1
Amynthas exiguus,Amynthas exiguus,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,1073828,183696,7345696,2845410,unassessed,NA,FALSE,sibling_higher,NA,Amynthas exiguus,Amynthas exiguus,Amynthas exiguus,"Amynthas exiguus (Gates, 1930)",0,1
Amynthas borealis,Amynthas borealis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,1067749,714686,9023331,7487464,unassessed,NA,FALSE,sibling_higher,"Panha & Bantaowong, 2011",Amynthas borealis,Amynthas borealis,Amynthas borealis,"Amynthas borealis Panha & Bantaowong, 2011",0,1
Amynthas phatubensis,Amynthas phatubensis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,1067747,714689,8874573,7487478,unassessed,NA,FALSE,sibling_higher,"Panha & Bantaowong, 2011",Amynthas phatubensis,Amynthas phatubensis,Amynthas phatubensis,"Amynthas phatubensis Panha & Bantaowong, 2011",0,1
Amynthas,Amynthas,genus,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,1062218,26238,2307607,536507,accepted,NA,FALSE,NA,"Kinberg, 1866",Amynthas,Amynthas,Amynthas,"Amynthas Kinberg, 1866",0,1
Metaphire grandipenes,Metaphire grandipenes,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1067746,714721,9733144,7487873,unassessed,NA,FALSE,NA,"Bantaowong & Panha, 2011",Metaphire grandipenes,Metaphire grandipenes,Metaphire grandipenes,"Metaphire grandipenes Bantaowong & Panha, 2011",0,1
Metaphire anomala,Metaphire anomala,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1508960,714722,8469460,6326807,accepted,NA,FALSE,NA,"(Michaelsen, 1907)",Metaphire anomala,Metaphire anomala,Metaphire anomala,"Metaphire anomala (Michaelsen, 1907)",0,1
Metaphire khaoluangensis,Metaphire khaoluangensis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1067741,732334,8465518,6326828,unassessed,NA,FALSE,NA,"Bantaowong & Panha, 2016",Metaphire khaoluangensis,Metaphire khaoluangensis,Metaphire khaoluangensis,"Metaphire khaoluangensis Bantaowong & Panha, 2016",0,1
Metaphire trangensis,Metaphire trangensis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1067740,732339,8438042,6326858,unassessed,NA,FALSE,NA,"Bantaowong & Panha, 2016",Metaphire trangensis,Metaphire trangensis,Metaphire trangensis,"Metaphire trangensis Bantaowong & Panha, 2016",0,1
Metaphire saxicalcis,Metaphire saxicalcis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1067744,732335,8692244,6326849,unassessed,NA,FALSE,NA,"Bantaowong & Panha, 2016",Metaphire saxicalcis,Metaphire saxicalcis,Metaphire saxicalcis,"Metaphire saxicalcis Bantaowong & Panha, 2016",0,1
Amynthas tontong,Amynthas tontong,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,1067748,714953,9096220,7487550,unassessed,NA,FALSE,sibling_higher,"Panha & Bantaowong, 2011",Amynthas tontong,Amynthas tontong,Amynthas tontong,"Amynthas tontong Panha & Bantaowong, 2011",0,1
Eophila,Eophila,genus,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eophila,1041055,544724,4404816,192661,accepted,NA,FALSE,NA,"Rosa, 1893",Eophila,Eophila,Eophila,"Eophila Rosa, 1893",0,1
Eophila tellinii,Eophila tellinii,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eophila,1044188,544725,4410584,2845354,accepted,NA,FALSE,NA,"(Rosa, 1888)",Eophila tellinii,Eophila tellinii,Eophila tellinii,"Eophila tellinii (Rosa, 1888)",NA,1
Aporrectodea terrestris,Lumbricus terrestris,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,1069627,764252,4410822,7487334,unaccepted,"recombination by Tétry of an invalid recombination by Savigny, with Tétry misspelling Enterion terrestre sensu Savigny, 1822, in itself a misspelling based on Lumbricus terrestris",FALSE,NA,"Linnaeus, 1758",Lumbricus terrestris,Aporrectodea terrestris,Aporrectodea terrestris,"Aporrectodea terrestris (Savigny, 1826)",0,1
Lumbricus festivus,Lumbricus festivus,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,1551459,101067,7418556,128739,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Lumbricus festivus,Lumbricus festivus,Lumbricus festivus,"Lumbricus festivus (Savigny, 1826)",NA,1
Allolobophoridella eiseni,Bimastos eiseni,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophoridella,1073836,308874,4410889,4165424,unaccepted,NA,FALSE,NA,"(Levinsen, 1884)",Bimastos eiseni,Allolobophoridella eiseni,Allolobophoridella eiseni,"Allolobophoridella eiseni (Levinsen, 1884)",0,1
Dendrobaena attemsi,Dendrobaena attemsi,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,1425363,101077,8290434,1091901,accepted,NA,FALSE,NA,"(Michaelsen, 1903)",Dendrobaena attemsi,Dendrobaena attemsi,Dendrobaena attemsi,"Dendrobaena attemsi (Michaelsen, 1903)",NA,1
