"","found_taxa","common_name","biogeographical_notes","group","fish_base_url"
"50","Hemilepidotus hemilepidotus","Red Irish lord","north to Monterrey Bay","Sculpins","https://www.fishbase.ca/summary/Hemilepidotus-jordani.html"
"51","Cottus asper","prickly sculpin","",NA,NA
"52","Pleuronichthys coenosus","C-O sole","","Flatfish","https://www.fishbase.ca/summary/4251"
"53","Artedius fenestralis","Padded sculpin","","Sculpins","https://www.fishbase.ca/summary/Artedius-fenestralis.html"
"54","Platichthys stellatus","Starry flounder","","Flatfish","https://www.fishbase.ca/summary/Platichthys-stellatus.html"
"55","Thunnus orientalis","Pacific bluefin tuna","","Other","https://www.fishbase.ca/summary/14290"
"56","Ascelichthys rhodorus","Rosylip sculpin","north to central CA","Sculpins","https://www.fishbase.ca/summary/4051"
"57","Oncorhynchus clarkii clarkii","Cutthroat trout","north to Eel River",NA,NA
"58","Alburnus alburnus","Bleak","freshwater europe",NA,NA
"59","Salvelinus taranetzi","Salvelinus taranetzi","russia",NA,NA
"60","Hexagrammos agrammus","Spotty-bellied greenling","west pacific",NA,NA
"61","Mugil cephalus","Flathead grey mullet","south to cali",NA,NA
"62","Hypsoblennius gentilis","Bay blenny","south to Monterey Bay",NA,NA
"63","Paralabrax clathratus","Kelp bass","south to WA",NA,NA
"64","Paralabrax nebulifer","Barred sand bass","south to Santa Cruz, CA",NA,NA
"65","Anchoa mitchilli","Bay anchovy","Atlantic",NA,NA
"66","Seriola lalandi","Yellowtail amberjack","south to BC",NA,NA
"67","Paralichthys californicus","California flounder","south to WA",NA,NA
"68","Fundulus lima","Killifish","tropical",NA,NA
"69","Hypsopsetta guttulata","Diamond turbot","south to Cape Mendicino",NA,NA
"70","Limanda limanda","Common dab","european",NA,NA
"71","Gadus chalcogrammus","Alaska pollock","north to Sarmel, CA","Other","https://www.fishbase.ca/summary/Gadus-chalcogrammus.html"
"72","Salvelinus malma","Dolly varden","freshewater - north to Washington",NA,NA
"73","Lepidopsetta bilineata","Pacific rock sole","",NA,NA
"74","Oncorhynchus nerka","Sockeye salmon","north of Columbia River drainage in Oregon","Salmon","https://www.fishbase.ca/summary/oncorhynchus-nerka.html"
"75","Gobiesox maeandricus","Northern clingfish","","Other","https://www.fishbase.ca/summary/Gobiesox-maeandricus.html"
"76","Rimicola muscarum","Kelp clingfish","south to Queen Charlotte Islands","","https://www.fishbase.se/summary/Rimicola-muscarum.html"
"77","Phytichthys chirus","Ribbon prickleback","","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/3791"
"78","Blepsias cirrhosus","Silverspotted sculpin","north to central CA","Sculpins","https://www.fishbase.ca/summary/4054"
"79","Micrometrus minimus","Dwarf perch","south to Bodega Bay, CA",NA,NA
"80","Sebastes auriculatus","Brown rockfish","",NA,NA
"81","Myoxocephalus stelleri","Steller's sculpin","Alaska",NA,NA
"82","Pholis crassispina","Pholis crassispina","asian species",NA,NA
"83","Brachyistius frenatus","Kelp perch","south to northern BC","Perches","https://www.fishbase.ca/summary/3625"
"84","Microgadus proximus","Pacific tomcod","borth to central cali","Other","https://www.fishbase.ca/summary/Microgadus-proximus.html"
"85","Gibbonsia montereyensis","Crevice kelpfish","south to BC","Other","https://www.fishbase.ca/summary/Gibbonsia-montereyensis.html"
"86","Liparis florae","Tidepool snailfish","north to Point Conception","Snailfish","https://www.fishbase.ca/summary/Liparis-florae"
"87","Hydrolagus colliei","Spotted ratfish","","Cartilaginous fishes","https://www.fishbase.ca/summary/Hydrolagus-colliei.html"
"88","Citharichthys sordidus","Pacific sanddab","","Flatfish","https://www.fishbase.ca/summary/Citharichthys-sordidus.html"
"89","Oxylebius pictus","Painted greenling","","Other","https://www.fishbase.ca/summary/Oxylebius-pictus.html"
"90","Oncorhynchus mykiss","Rainbow trout / steelhead","",NA,NA
