"","species","ednafish","mifishlist","npfish","hakaiseinefish"
"125","Oncorhynchus clarkii lewisi",1,0,0,0
"126","Pholis crassispina",1,1,0,0
"127","Pholis ornata",1,0,1,0
"128","Phytichthys chirus",1,0,1,0
"129","Pleuronectes platessa",1,0,0,0
"130","Polypera greeni",1,0,1,0
"131","Prosopium williamsoni",1,1,0,0
"132","Rhamphocottus richardsonii",1,0,1,0
"133","Rhinichthys cataractae",1,1,0,0
"134","Ronquilus jordani",1,0,1,0
"135","Salmo salar",1,1,1,0
"136","Scomber japonicus",1,1,1,0
"137","Sebastes baramenuke",1,0,0,0
"138","Sebastes cheni",1,0,0,0
"139","Sebastes entomelas",1,0,1,0
"140","Sebastes koreanus",1,1,0,0
"141","Sebastes mystinus",1,0,1,0
"142","Sebastes nebulosus",1,0,1,0
"143","Sebastes nigrocinctus",1,1,1,0
"144","Sebastolobus macrochir",1,0,1,0
"145","Sprattus sprattus",1,1,0,0
"146","Stichaeus punctatus",1,0,1,0
"147","Xiphister atropurpureus",1,1,1,0
"148","Zaprora silenus",1,0,1,0
"149","(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.",0,1,0,0
"150","Abalistes stellaris",0,1,0,0
"151","Abbottina obtusirostris",0,1,0,0
"152","Abbottina rivularis",0,1,0,0
"153","Ablennes hians",0,1,0,0
"154","Aborichthys elongatus",0,1,0,0
"155","Abramis brama",0,1,0,0
"156","Abudefduf bengalensis",0,1,0,0
"157","Abudefduf vaigiensis",0,1,0,0
"158","Acanthaluteres brownii",0,1,0,0
"159","Acanthaphritis unoorum",0,1,0,0
"160","Acanthobrama persidis",0,1,0,0
"161","Acanthocepola krusensternii",0,1,0,0
"162","Acanthocobitis botia",0,1,0,0
"163","Acanthocobitis zonalternans",0,1,0,0
"164","Acanthogobius hasta",0,1,0,0
"165","Acanthopagrus latus",0,1,0,0
"166","Acanthopagrus schlegelii",0,1,0,0
"167","Acanthopagrus schlegelii x Pagrus major",0,1,0,0
"168","Acanthorhodeus chankaensis",0,1,0,0
"169","Acanthorhodeus gracilis",0,1,0,0
"170","Acanthurus leucosternon",0,1,0,0
"171","Acanthurus lineatus",0,1,0,0
"172","Acantopsis choirorhynchos",0,1,0,0
"173","Acentrogobius caninus",0,1,0,0
"174","Acentrogobius chlorostigmatoides",0,1,0,0
"175","Acentrogobius pflaumii",0,1,0,0
"176","Acestrorhynchus sp. NM-2010",0,1,0,0
"177","Acheilognathus barbatus",0,1,0,0
"178","Acheilognathus intermedia",0,1,0,0
"179","Acheilognathus macropterus",0,1,0,0
"180","Acheilognathus majusculus",0,1,0,0
"181","Acheilognathus meridianus",0,1,0,0
"182","Acheilognathus omeiensis",0,1,0,0
"183","Acheilognathus rhombeus",0,1,0,0
"184","Acheilognathus signifer",0,1,0,0
"185","Acheilognathus somjinensis",0,1,0,0
"186","Acheilognathus tonkinensis",0,1,0,0
"187","Acheilognathus typus",0,1,0,0
"188","Acheilognathus yamatsutae",0,1,0,0
"189","Achirus lineatus",0,1,0,0
"190","Acipenser baerii",0,1,0,0
"191","Acipenser brevirostrum",0,1,0,0
"192","Acipenser dabryanus",0,1,0,0
"193","Acipenser dabryanus x Acipenser schrenckii",0,1,0,0
"194","Acipenser fulvescens",0,1,0,0
"195","Acipenser gueldenstaedtii",0,1,0,0
"196","Acipenser gueldenstaedtii x Acipenser baerii",0,1,0,0
"197","Acipenser medirostris",0,1,1,0
"198","Acipenser mikadoi",0,1,0,0
"199","Acipenser nudiventris",0,1,0,0
"200","Acipenser oxyrinchus",0,1,0,0
"201","Acipenser ruthenus",0,1,0,0
"202","Acipenser schrenckii",0,1,0,0
"203","Acipenser schrenckii x Huso dauricus",0,1,0,0
"204","Acipenser sinensis",0,1,0,0
"205","Acipenser stellatus",0,1,0,0
"206","Acipenser sturio",0,1,1,0
"207","Acipenser transmontanus",0,1,1,0
"208","Acreichthys tomentosus",0,1,0,0
"209","Acrocheilus alutaceus",0,1,1,0
"210","Acrossocheilus barbodon",0,1,0,0
"211","Acrossocheilus beijiangensis",0,1,0,0
"212","Acrossocheilus fasciatus",0,1,0,0
"213","Acrossocheilus hemispinus",0,1,0,0
"214","Acrossocheilus iridescens",0,1,0,0
"215","Acrossocheilus jishouensis",0,1,0,0
"216","Acrossocheilus kreyenbergii",0,1,0,0
"217","Acrossocheilus monticola",0,1,0,0
"218","Acrossocheilus paradoxus",0,1,0,0
"219","Acrossocheilus parallens",0,1,0,0
"220","Acrossocheilus spinifer",0,1,0,0
"221","Acrossocheilus stenotaeniatus",0,1,0,0
"222","Acrossocheilus wenchowensis",0,1,0,0
"223","Acrossocheilus wuyiensis",0,1,0,0
"224","Acrossocheilus yunnanensis",0,1,0,0
"225","Aeoliscus strigatus",0,1,0,0
"226","Aequidens metae",0,1,0,0
"227","Aesopia cornuta",0,1,0,0
"228","Aethaloperca rogaa",0,1,0,0
"229","Aetobatus flagellum",0,1,0,0
"230","Ageneiosus pardalis",0,1,0,0
"231","Agonostomus monticola",0,1,0,0
"232","Akrokolioplax bicornis",0,1,0,0
"233","Albula glossodonta",0,1,0,0
"234","Albulichthys albuloides",0,1,0,0
"235","Alburnus alburnus",0,1,0,0
"236","Alburnus istanbulensis",0,1,0,0
"237","Alburnus mossulensis",0,1,0,0
"238","Alburnus tarichi",0,1,0,0
"239","Aldrichetta forsteri",0,1,0,0
"240","Aldrovandia affinis",0,1,0,0
"241","Aldrovandia oleosa",0,1,0,0
"242","Alectis ciliaris",0,1,1,0
"243","Alectis indica",0,1,0,0
"244","Alepes djedaba",0,1,0,0
"245","Alepes kleinii",0,1,0,0
"246","Alepocephalus agassizii",0,1,0,0
"247","Alepocephalus australis",0,1,0,0
"248","Alepocephalus bairdii",0,1,0,0
"249","Alepocephalus bicolor",0,1,0,0
"250","Alepocephalus productus",0,1,0,0
"251","Alepocephalus tenebrosus",0,1,1,0
"252","Alepocephalus umbriceps",0,1,0,0
"253","Algansea lacustris",0,1,0,0
"254","Allocyttus niger",0,1,0,0
"255","Alopias pelagicus",0,1,0,0
"256","Alopias superciliosus",0,1,1,0
"257","Alosa aestivalis",0,1,0,0
"258","Alosa alabamae",0,1,0,0
"259","Alosa alosa",0,1,0,0
"260","Alosa mediocris",0,1,0,0
"261","Alosa pseudoharengus",0,1,0,0
"262","Alosa sapidissima",0,1,1,0
"263","Alticorpus geoffreyi",0,1,0,0
"264","Aluterus monoceros",0,1,0,0
"265","Aluterus scriptus",0,1,0,0
"266","Amanses scopas",0,1,0,0
"267","Amarsipus carlsbergi",0,1,0,0
"268","Amazonsprattus scintilla",0,1,0,0
"269","Ambassis gymnocephalus",0,1,0,0
"270","Ambastaia sidthimunki",0,1,0,0
"271","Ambloplites rupestris",0,1,0,0
"272","Amblychaeturichthys hexanema",0,1,0,0
"273","Amblydoras gonzalezi",0,1,0,0
"274","Amblygaster sirm",0,1,0,0
"275","Amblyglyphidodon curacao",0,1,0,0
"276","Amblypharyngodon mola",0,1,0,0
"277","Amblyraja georgiana",0,1,0,0
"278","Amblyraja radiata",0,1,0,0
"279","Amblyrhynchichthys truncatus",0,1,0,0
"280","Ameiurus catus",0,1,0,0
"281","Ameiurus natalis",0,1,0,0
"282","Ameiurus nebulosus",0,1,1,0
"283","Amia calva",0,1,0,0
"284","Ammodytes americanus",0,1,0,0
"285","Ammodytes dubius",0,1,0,0
"286","Amoya chusanensis",0,1,0,0
"287","Amphilius sp. NM-2010",0,1,0,0
"288","Amphilophus citrinellus",0,1,0,0
"289","Amphiprion akallopisos",0,1,0,0
"290","Amphiprion bicinctus",0,1,0,0
"291","Amphiprion clarkii",0,1,0,0
"292","Amphiprion ephippium",0,1,0,0
"293","Amphiprion frenatus",0,1,0,0
"294","Amphiprion ocellaris",0,1,0,0
"295","Amphiprion percula",0,1,0,0
"296","Amphiprion perideraion",0,1,0,0
"297","Amphiprion polymnus",0,1,0,0
"298","Amphiprion sebae",0,1,0,0
"299","Anabas testudineus",0,1,0,0
"300","Anarchias sp. Ansp",0,1,0,0
"301","Anarhichas denticulatus",0,1,0,0
"302","Anarhichas lupus",0,1,0,0
"303","Anarhichas minor",0,1,0,0
"304","Ancherythroculter kurematsui",0,1,0,0
"305","Ancherythroculter lini",0,1,0,0
"306","Ancherythroculter nigrocauda",0,1,0,0
"307","Ancherythroculter wangi",0,1,0,0
"308","Anchoviella sp. LBP 2297",0,1,0,0
"309","Andinoacara pulcher",0,1,0,0
"310","Andinoacara rivulatus",0,1,0,0
"311","Anematichthys apogon",0,1,0,0
"312","Anguilla anguilla",0,1,0,0
"313","Anguilla australis",0,1,0,0
"314","Anguilla bengalensis",0,1,0,0
"315","Anguilla bicolor",0,1,0,0
"316","Anguilla celebesensis",0,1,0,0
"317","Anguilla dieffenbachii",0,1,0,0
"318","Anguilla interioris",0,1,0,0
"319","Anguilla japonica",0,1,0,0
"320","Anguilla luzonensis",0,1,0,0
"321","Anguilla malgumora",0,1,0,0
"322","Anguilla marmorata",0,1,0,0
"323","Anguilla megastoma",0,1,0,0
"324","Anguilla mossambica",0,1,0,0
"325","Anguilla nebulosa",0,1,0,0
"326","Anguilla obscura",0,1,0,0
"327","Anguilla reinhardtii",0,1,0,0
"328","Anguilla rostrata",0,1,0,0
"329","Anodontostoma chacunda",0,1,0,0
"330","Anomalops katoptron",0,1,0,0
"331","Anoplocapros lenticularis",0,1,0,0
"332","Anoplogaster cornuta",0,1,1,0
"333","Anoxypristis cuspidata",0,1,0,0
"334","Antigonia capros",0,1,0,0
"335","Anyperodon leucogrammicus",0,1,0,0
"336","Apareiodon affinis",0,1,0,0
"337","Apeltes quadracus",0,1,0,0
"338","Aperioptus gracilentus",0,1,0,0
"339","Aphanopus carbo",0,1,1,0
"340","Aphredoderus sayanus",0,1,0,0
"341","Aphyocypris chinensis",0,1,0,0
"342","Aphyocypris kikuchii",0,1,0,0
"343","Aphyosemion australe",0,1,0,0
"344","Aphyosemion cameronense",0,1,0,0
"345","Aphyosemion coeleste",0,1,0,0
"346","Aphyosemion cognatum",0,1,0,0
"347","Aphyosemion cyanostictum",0,1,0,0
"348","Aphyosemion gabunense",0,1,0,0
"349","Aphyosemion kouamense",0,1,0,0
"350","Aphyosemion kunzi",0,1,0,0
"351","Aplocheilus lineatus",0,1,0,0
"352","Aplocheilus panchax",0,1,0,0
"353","Apogon semilineatus",0,1,0,0
"354","Apolemichthys armitagei",0,1,0,0
"355","Apolemichthys griffisi",0,1,0,0
"356","Apolemichthys kingi",0,1,0,0
"357","Apteronotus albifrons",0,1,0,0
"358","Aptocyclus ventricosus",0,1,1,0
"359","Arapaima gigas",0,1,0,0
"360","Archiaphyosemion guineense",0,1,0,0
"361","Arcos sp. KU 149",0,1,0,0
"362","Arctogadus glacialis",0,1,0,0
"363","Arctoscopus japonicus",0,1,1,0
"364","Argyrosomus amoyensis",0,1,0,0
"365","Argyrosomus japonicus",0,1,0,0
"366","Ariomma indicum",0,1,0,0
"367","Ariomma lurida",0,1,0,0
"368","Ariosoma shiroanago",0,1,0,0
"369","Arius arius",0,1,0,0
"370","Arius maculatus",0,1,0,0
"371","Arnoglossus polyspilus",0,1,0,0
"372","Arnoglossus tenuis",0,1,0,0
"373","Arothron firmamentum",0,1,0,0
"374","Arothron hispidus",0,1,0,0
"375","Arothron manilensis",0,1,0,0
"376","Arripis trutta",0,1,0,0
"377","Aseraggodes kobensis",0,1,0,0
"378","Aspasma minima",0,1,0,0
"379","Aspiolucius esocinus",0,1,0,0
"380","Aspiorhynchus laticeps",0,1,0,0
"381","Assurger anzac",0,1,0,0
"382","Astatotilapia calliptera",0,1,0,0
"383","Asterorhombus intermedius",0,1,0,0
"384","Astronotus ocellatus",0,1,0,0
"385","Astyanax giton",0,1,0,0
"386","Astyanax paranae",0,1,0,0
"387","Ataxolepis apus",0,1,0,0
"388","Ateleopus japonicus",0,1,0,0
"389","Atherinomorus lacunosus",0,1,0,0
"390","Atherinosoma microstoma",0,1,0,0
"391","Atlantoraja castelnaui",0,1,0,0
"392","Atractosteus spatula",0,1,0,0
"393","Atractosteus tristoechus",0,1,0,0
"394","Atractosteus tropicus",0,1,0,0
"395","Atrobucca nibe",0,1,0,0
"396","Atule mate",0,1,0,0
"397","Auchenoglanis occidentalis",0,1,0,0
"398","Aulichthys japonicus",0,1,0,0
"399","Aulonocara stuartgranti",0,1,0,0
"400","Aulopyge huegelii",0,1,0,0
"401","Aulostomus chinensis",0,1,0,0
"402","Auriglobus modestus",0,1,0,0
"403","Austrolebias charrua",0,1,0,0
"404","Auxis rochei",0,1,0,0
"405","Auxis thazard",0,1,0,0
"406","Avocettina infans",0,1,1,0
"407","Awaous banana",0,1,0,0
"408","Bagarius yarrelli",0,1,0,0
"409","Bagre panamensis",0,1,0,0
"410","Bahaba taipingensis",0,1,0,0
"411","Bajacalifornia megalops",0,1,1,0
"412","Balantiocheilos melanopterus",0,1,0,0
"413","Balistapus undulatus",0,1,0,0
"414","Balistes vetula",0,1,0,0
"415","Balistoides conspicillum",0,1,0,0
"416","Bangana decora",0,1,0,0
"417","Bangana tungting",0,1,0,0
"418","Banjos banjos",0,1,0,0
"419","Barbatula barbatula",0,1,0,0
"420","Barbatula nuda",0,1,0,0
"421","Barbatula toni",0,1,0,0
"422","Barbodes aurotaeniatus",0,1,0,0
"423","Barbodes binotatus",0,1,0,0
"424","Barbodes lateristriga",0,1,0,0
"425","Barboides gracilis",0,1,0,0
"426","Barbonymus altus",0,1,0,0
"427","Barbonymus gonionotus",0,1,0,0
"428","Barbonymus schwanefeldii",0,1,0,0
"429","Barbourisia rufa",0,1,1,0
"430","Barbucca diabolica",0,1,0,0
"431","Barbus barbus",0,1,0,0
"432","Barilius bendelisis",0,1,0,0
"433","Bassozetus zenkevitchi",0,1,1,0
"434","Bathyclupea megaceps",0,1,0,0
"435","Bathygadus antrodes",0,1,0,0
"436","Bathygobius coalitus",0,1,0,0
"437","Bathylychnops exilis",0,1,1,0
"438","Bathyprion danae",0,1,0,0
"439","Bathyraja albomaculata",0,1,0,0
"440","Bathyraja griseocauda",0,1,0,0
"441","Bathyraja maccaini",0,1,0,0
"442","Bathyraja meridionalis",0,1,0,0
"443","Bathyraja multispinis",0,1,0,0
"444","Bathyraja richardsoni",0,1,0,0
"445","Bathyraja shuntovi",0,1,0,0
"446","Bathytroctes breviceps",0,1,0,0
"447","Bathytroctes macrolepis",0,1,0,0
"448","Bathytroctes michaelsarsi",0,1,0,0
"449","Bathytroctes microlepis",0,1,0,0
"450","Beaufortia kweichowensis",0,1,0,0
"451","Beaufortia szechuanensis",0,1,0,0
"452","Bedotia geayi",0,1,0,0
"453","Belligobio nummifer",0,1,0,0
"454","Bengana rendahli",0,1,0,0
"455","Benthodesmus tenuis",0,1,1,0
"456","Beryx decadactylus",0,1,0,0
"457","Beryx mollis",0,1,0,0
"458","Beryx splendens",0,1,0,0
"459","Betta splendens",0,1,0,0
"460","Bhavania australis",0,1,0,0
"461","Bidyanus bidyanus",0,1,0,0
"462","Biwia springeri",0,1,0,0
"463","Biwia zezera",0,1,0,0
"464","Blicca bjoerkna",0,1,0,0
"465","Bodianus oxycephalus",0,1,0,0
"466","Bolbometopon muricatum",0,1,0,0
"467","Boleophthalmus boddarti",0,1,0,0
"468","Boleophthalmus pectinirostris",0,1,0,0
"469","Boreogadus saida",0,1,1,0
"470","Bostockia porosa",0,1,0,0
"471","Bostrychus sinensis",0,1,0,0
"472","Bothrocara hollandi",0,1,0,0
"473","Bothus myriaster",0,1,0,0
"474","Bothus pantherinus",0,1,0,0
"475","Botia lohachata",0,1,0,0
"476","Botia udomritthiruji",0,1,0,0
"477","Bovichtus argentinus",0,1,0,0
"478","Brachaluteres ulvarum",0,1,0,0
"479","Brachirus orientalis",0,1,0,0
"480","Brachygobius doriae",0,1,0,0
"481","Brachyhypopomus occidentalis",0,1,0,0
"482","Brachymystax lenok",0,1,0,0
"483","Brachymystax tumensis",0,1,0,0
"484","Branchiostegus albus",0,1,0,0
"485","Branchiostegus argentatus",0,1,0,0
"486","Branchiostegus japonicus",0,1,0,0
"487","Bregmaceros nectabanus",0,1,0,0
"488","Brevimyrus niger",0,1,0,0
"489","Brevoortia tyrannus",0,1,0,0
"490","Brycon henni",0,1,0,0
"491","Brycon orbignyanus",0,1,0,0
"492","Buccochromis nototaenia",0,1,0,0
"493","Bufoceratias thele",0,1,0,0
"494","Bujurquina mariae",0,1,0,0
"495","Bunocephalus coracoideus",0,1,0,0
"496","Cabdio morar",0,1,0,0
"497","Caesio cuning",0,1,0,0
"498","Callanthias japonicus",0,1,0,0
"499","Callionymus enneactis",0,1,0,0
"500","Callorhinchus callorynchus",0,1,0,0
"501","Callorhinchus capensis",0,1,0,0
"502","Callorhinchus milii",0,1,0,0
"503","Calotomus japonicus",0,1,0,0
"504","Campostoma anomalum",0,1,0,0
"505","Campylomormyrus compressirostris",0,1,0,0
"506","Candidia barbata",0,1,0,0
"507","Candidia pingtungensis",0,1,0,0
"508","Cantherhines pardalis",0,1,0,0
"509","Canthidermis maculata",0,1,0,0
"510","Canthigaster coronata",0,1,0,0
"511","Canthigaster jactator",0,1,0,0
"512","Canthigaster rivulata",0,1,0,0
"513","Canthigaster valentini",0,1,0,0
"514","Canthophrys gongota",0,1,0,0
"515","Capoeta aculeata",0,1,0,0
"516","Capoeta damascina",0,1,0,0
"517","Capros aper",0,1,0,0
"518","Carangoides armatus",0,1,0,0
"519","Carangoides equula",0,1,0,0
"520","Carangoides malabaricus",0,1,0,0
"521","Caranx ignobilis",0,1,0,0
"522","Caranx melampygus",0,1,0,0
"523","Caranx tille",0,1,0,0
"524","Carapus bermudensis",0,1,0,0
"525","Carassioides acuminatus",0,1,0,0
"526","Carassius auratus",0,1,1,0
"527","Carassius auratus x Cyprinus carpio",0,1,0,0
"528","Carassius auratus x Cyprinus carpio x Carassius cuvieri",0,1,0,0
"529","Carassius auratus x Megalobrama amblycephala pentaploid hybrid",0,1,0,0
"530","Carassius auratus x Megalobrama amblycephala tetraploid hybrid",0,1,0,0
"531","Carassius auratus x Megalobrama amblycephala triploid hybrid",0,1,0,0
"532","Carassius auratus x Megalobrama amblycephala x Carassius cuvieri",0,1,0,0
"533","Carassius carassius",0,1,0,0
"534","Carassius cuvieri",0,1,0,0
"535","Carassius gibelio",0,1,0,0
"536","Carassius langsdorfii",0,1,0,0
"537","Carcharhinus acronotus",0,1,0,0
"538","Carcharhinus amblyrhynchoides",0,1,0,0
"539","Carcharhinus amboinensis",0,1,0,0
"540","Carcharhinus brevipinna",0,1,0,0
"541","Carcharhinus falciformis",0,1,0,0
"542","Carcharhinus leucas",0,1,0,0
"543","Carcharhinus longimanus",0,1,0,0
"544","Carcharhinus macloti",0,1,0,0
"545","Carcharhinus melanopterus",0,1,0,0
"546","Carcharhinus obscurus",0,1,0,0
"547","Carcharhinus plumbeus",0,1,0,0
"548","Carcharhinus sorrah",0,1,0,0
"549","Carcharhinus tjutjot",0,1,0,0
"550","Carcharias taurus",0,1,0,0
"551","Carcharodon carcharias",0,1,1,0
"552","Carinotetraodon lorteti",0,1,0,0
"553","Carinotetraodon salivator",0,1,0,0
"554","Carinotetraodon travancoricus",0,1,0,0
"555","Carpiodes carpio",0,1,0,0
"556","Cataetyx rubrirostris",0,1,1,0
"557","Catlocarpio siamensis",0,1,0,0
"558","Catostomus catostomus",0,1,1,0
"559","Catostomus commersonii",0,1,0,0
"560","Caulophryne jordani",0,1,1,0
"561","Caulophryne pelagica",0,1,1,0
"562","Centropyge acanthops",0,1,0,0
"563","Centropyge bispinosa",0,1,0,0
"564","Centropyge deborae",0,1,0,0
"565","Centropyge eibli",0,1,0,0
"566","Centropyge flavicauda",0,1,0,0
"567","Centropyge flavissima",0,1,0,0
"568","Centropyge heraldi",0,1,0,0
"569","Centropyge interrupta",0,1,0,0
"570","Centropyge joculator",0,1,0,0
"571","Centropyge loricula",0,1,0,0
"572","Centropyge multicolor",0,1,0,0
"573","Centropyge nox",0,1,0,0
"574","Centropyge venusta",0,1,0,0
"575","Centropyge vrolikii",0,1,0,0
"576","Centropyge woodheadi",0,1,0,0
"577","Cephalopholis argus",0,1,0,0
"578","Cephalopholis boenak",0,1,0,0
"579","Cephalopholis sexmaculata",0,1,0,0
"580","Cephalopholis sonnerati",0,1,0,0
"581","Cephalopholis urodeta",0,1,0,0
"582","Cephaloscyllium umbratile",0,1,0,0
"583","Ceratias uranoscopus",0,1,0,0
"584","Cetomimus sp. AMS I34481001",0,1,0,0
"585","Cetonurus globiceps",0,1,0,0
"586","Cetorhinus maximus",0,1,1,0
"587","Cetostoma regani",0,1,1,0
"588","Chaenobryttus gulosus",0,1,0,0
"589","Chaenocephalus aceratus",0,1,0,0
"590","Chaenodraco wilsoni",0,1,0,0
"591","Chaenogobius gulosus",0,1,0,0
"592","Chaenomugil proboscideus",0,1,0,0
"593","Chaetobranchopsis bitaeniatus",0,1,0,0
"594","Chaetodermis penicilligerus",0,1,0,0
"595","Chaetodon auripes",0,1,0,0
"596","Chaetodon octofasciatus",0,1,0,0
"597","Chaetodontoplus conspicillatus",0,1,0,0
"598","Chaetodontoplus mesoleucus",0,1,0,0
"599","Chaetodontoplus poliourus",0,1,0,0
"600","Chaetodontoplus septentrionalis",0,1,0,0
"601","Chaeturichthys stigmatias",0,1,0,0
"602","Chagunius chagunio",0,1,0,0
"603","Chalceus macrolepidotus",0,1,0,0
"604","Champsocephalus gunnari",0,1,0,0
"605","Champsodon cf. snyderi CBM-ZF 10876",0,1,0,0
"606","Channa argus",0,1,0,0
"607","Channa argus x Channa maculata",0,1,0,0
"608","Channa asiatica",0,1,0,0
"609","Channa gachua",0,1,0,0
"610","Channa maculata",0,1,0,0
"611","Channa marulius",0,1,0,0
"612","Channa micropeltes",0,1,0,0
"613","Channa punctata",0,1,0,0
"614","Channa striata",0,1,0,0
"615","Chanodichthys dabryi",0,1,0,0
"616","Chanodichthys erythropterus",0,1,0,0
"617","Chanodichthys ilishaeformis",0,1,0,0
"618","Chanodichthys mongolicus",0,1,0,0
"619","Chanodichthys recurviceps",0,1,0,0
"620","Chanos chanos",0,1,0,0
"621","Chascanopsetta lugubris",0,1,0,0
"622","Chauliodus sloani",0,1,1,0
