species,phylum,class,obisgbif,hakaisample,verifiedbc
Anthopleura elegantissima,Cnidaria,Anthozoa,1,1,1
Pugettia producta,Arthropoda,Malacostraca,1,1,1
Nucella lamellosa,Mollusca,Gastropoda,1,1,1
Cucumaria miniata,Echinodermata,Holothuroidea,1,1,1
Munida quadrispina,Arthropoda,Malacostraca,1,1,1
Hemigrapsus nudus,Arthropoda,Malacostraca,1,1,1
Metacarcinus gracilis,Arthropoda,Malacostraca,1,1,1
Octopus rubescens,Mollusca,Cephalopoda,1,0,0
Balanus glandula,Arthropoda,Thecostraca,1,1,1
Macoma nasuta,Mollusca,Bivalvia,1,1,1
Anthopleura xanthogrammica,Cnidaria,Anthozoa,1,0,0
Telmessus cheiragonus,Arthropoda,Malacostraca,1,1,1
Leukoma staminea,Mollusca,Bivalvia,1,1,1
Paracrangon echinata,Arthropoda,Malacostraca,1,0,0
Pisaster ochraceus,Echinodermata,Asteroidea,1,1,1
Phacellophora camtschatica,Cnidaria,Scyphozoa,1,0,0
Cadlina klasmalmbergi,Mollusca,Gastropoda,1,0,0
Lophopanopeus bellus,Arthropoda,Malacostraca,1,1,1
Diodora aspera,Mollusca,Gastropoda,1,1,1
Enteroctopus dofleini,Mollusca,Cephalopoda,1,0,0
Nuttallia obscurata,Mollusca,Bivalvia,1,1,1
Membranipora membranacea,Bryozoa,Gymnolaemata,1,0,0
Pagurus granosimanus,Arthropoda,Malacostraca,1,1,1
Mytilus californianus,Mollusca,Bivalvia,1,1,1
Scyra acutifrons,Arthropoda,Malacostraca,1,1,1
Dermasterias imbricata,Echinodermata,Asteroidea,1,1,1
Clytia gregaria,Cnidaria,Hydrozoa,1,0,0
Neverita lewisii,Mollusca,Gastropoda,1,0,0
Melibe leonina,Mollusca,Gastropoda,1,1,1
Ophiopholis aculeata,Echinodermata,Ophiuroidea,1,0,0
Evasterias troschelii,Echinodermata,Asteroidea,1,1,1
Semibalanus cariosus,Arthropoda,Thecostraca,1,1,1
Ophiura luetkenii,Echinodermata,Ophiuroidea,1,1,1
Neotrypaea californiensis,Arthropoda,Malacostraca,1,0,0
Cryptochiton stelleri,Mollusca,Polyplacophora,1,1,1
Pentidotea wosnesenskii,Arthropoda,Malacostraca,1,1,1
Patiria miniata,Echinodermata,Asteroidea,1,1,1
Ciona savignyi,Chordata,Ascidiacea,1,1,1
Pugettia gracilis,Arthropoda,Malacostraca,1,1,1
Metacarcinus magister,Arthropoda,Malacostraca,1,1,1
Petrolisthes eriomerus,Arthropoda,Malacostraca,1,1,1
Pollicipes polymerus,Arthropoda,Thecostraca,1,1,1
Macoma inquinata,Mollusca,Bivalvia,1,1,1
Mopalia lignosa,Mollusca,Polyplacophora,1,1,1
Diaulula odonoghuei,Mollusca,Gastropoda,1,0,0
Clinocardium nuttallii,Mollusca,Bivalvia,1,1,1
Pododesmus macrochisma,Mollusca,Bivalvia,1,1,1
Apostichopus californicus,Echinodermata,Holothuroidea,1,0,0
Aurelia labiata,Cnidaria,Scyphozoa,1,1,1
Pycnopodia helianthoides,Echinodermata,Asteroidea,1,1,1
Pisaster brevispinus,Echinodermata,Asteroidea,1,1,1
Zirfaea pilsbryi,Mollusca,Bivalvia,1,0,0
Pomaulax gibberosus,Mollusca,Gastropoda,1,1,1
Urticina grebelnyi,Cnidaria,Anthozoa,1,0,0
Mopalia muscosa,Mollusca,Polyplacophora,1,0,0
Cancer productus,Arthropoda,Malacostraca,1,1,1
Eubranchus sanjuanensis,Mollusca,Gastropoda,1,0,0
Triopha catalinae,Mollusca,Gastropoda,1,0,0
Hermissenda crassicornis,Mollusca,Gastropoda,1,1,1
Megalorchestia californiana,Arthropoda,Malacostraca,1,1,1
Pandalus platyceros,Arthropoda,Malacostraca,1,1,1
Magallana gigas,Mollusca,Bivalvia,1,0,0
Nucella ostrina,Mollusca,Gastropoda,1,1,1
Carcinus maenas,Arthropoda,Malacostraca,1,0,0
Chrysaora fuscescens,Cnidaria,Scyphozoa,1,0,0
Tonicella lineata,Mollusca,Polyplacophora,1,1,1
Cliona californiana,Porifera,Demospongiae,1,0,0
Pandalus danae,Arthropoda,Malacostraca,1,1,1
Alitta williami,Annelida,Polychaeta,1,0,0
Scotoplanes globosa,Echinodermata,Holothuroidea,1,0,0
Mediaster aequalis,Echinodermata,Asteroidea,1,1,1
Ceratostoma foliatum,Mollusca,Gastropoda,1,1,1
Mya arenaria,Mollusca,Bivalvia,1,1,1
Strongylocentrotus purpuratus,Echinodermata,Echinoidea,1,1,1
Arctonoe fragilis,Annelida,Polychaeta,1,1,1
Acanthodoris nanaimoensis,Mollusca,Gastropoda,1,1,1
Dirona pellucida,Mollusca,Gastropoda,1,1,1
Metridium senile,Cnidaria,Anthozoa,1,0,0
Eudistylia vancouveri,Annelida,Polychaeta,1,0,0
Dendronotus iris,Mollusca,Gastropoda,1,1,1
Crassadoma gigantea,Mollusca,Bivalvia,1,0,0
Cyanea ferruginea,Cnidaria,Scyphozoa,1,0,0
Clione limacina,Mollusca,Gastropoda,1,0,0
Peltodoris nobilis,Mollusca,Gastropoda,1,1,1
Solen sicarius,Mollusca,Bivalvia,1,0,0
Cucumaria piperata,Echinodermata,Holothuroidea,1,1,1
Mesocentrotus franciscanus,Echinodermata,Echinoidea,1,1,1
Eupentacta quinquesemita,Echinodermata,Holothuroidea,1,1,1
Dendronotus robilliardi,Mollusca,Gastropoda,1,0,0
Metridium farcimen,Cnidaria,Anthozoa,1,0,0
Urticina clandestina,Cnidaria,Anthozoa,1,0,0
Acmaea mitra,Mollusca,Gastropoda,1,1,1
Limacia cockerelli,Mollusca,Gastropoda,1,0,0
Halice sublittoralis,Arthropoda,Malacostraca,1,0,0
Ctenodiscus crispatus,Echinodermata,Asteroidea,1,0,0
Crossaster papposus,Echinodermata,Asteroidea,1,1,1
Ptilosarcus gurneyi,Cnidaria,Anthozoa,1,1,1
Stylasterias forreri,Echinodermata,Asteroidea,1,1,1
Fusitriton oregonensis,Mollusca,Gastropoda,1,0,0
Psolus chitonoides,Echinodermata,Holothuroidea,1,1,1
Amphissa versicolor,Mollusca,Gastropoda,1,1,1
Gorgonocephalus eucnemis,Echinodermata,Ophiuroidea,1,1,1
Balticina willemoesi,Cnidaria,Anthozoa,1,0,0
Solaster paxillatus,Echinodermata,Asteroidea,1,0,0
Lopholithodes foraminatus,Arthropoda,Malacostraca,1,0,0
Luidia foliolata,Echinodermata,Asteroidea,1,1,1
Pugettia foliata,Arthropoda,Malacostraca,1,1,1
Acantholithodes hispidus,Arthropoda,Malacostraca,1,1,1
Orthasterias koehleri,Echinodermata,Asteroidea,1,1,1
Chionoecetes bairdi,Arthropoda,Malacostraca,1,0,0
Scoletoma zonata,Annelida,Polychaeta,1,1,1
Syllis pigmentata,Annelida,Polychaeta,1,1,1
Laonice cirrata,Annelida,Polychaeta,1,1,1
Amphitrite cirrata,Annelida,Polychaeta,1,0,0
Lottia paradigitalis,Mollusca,Gastropoda,1,1,1
Amphissa columbiana,Mollusca,Gastropoda,1,1,1
Littorina sitkana,Mollusca,Gastropoda,1,1,1
Tegula pulligo,Mollusca,Gastropoda,1,1,1
Lottia persona,Mollusca,Gastropoda,1,1,1
Amphiporus formidabilis,Nemertea,Hoplonemertea,1,1,1
Metacaprella kennerlyi,Arthropoda,Malacostraca,1,1,1
Balanus balanus,Arthropoda,Thecostraca,1,0,0
Harpacticus obscurus,Arthropoda,Copepoda,1,0,0
Lottia digitalis,Mollusca,Gastropoda,1,1,1
Crepidula adunca,Mollusca,Gastropoda,1,1,1
Oxydromus pugettensis,Annelida,Polychaeta,1,1,1
Harmothoe imbricata,Annelida,Polychaeta,1,1,1
Schistomeringos longicornis,Annelida,Polychaeta,1,0,0
Asteronyx loveni,Echinodermata,Ophiuroidea,1,0,0
Lepidozona interstincta,Mollusca,Polyplacophora,1,1,1
Batillaria attramentaria,Mollusca,Gastropoda,1,0,0
Paciocinebrina interfossa,Mollusca,Gastropoda,1,0,0
Lottia scutum,Mollusca,Gastropoda,1,1,1
Sarsia bella,Cnidaria,Hydrozoa,1,0,0
Spirontocaris lamellicornis,Arthropoda,Malacostraca,1,0,0
Ampithoe dalli,Arthropoda,Malacostraca,1,1,1
Apohyale pugettensis,Arthropoda,Malacostraca,1,0,0
Antiopella fusca,Mollusca,Gastropoda,1,0,0
Sarsamphiascus undosus,Arthropoda,Copepoda,1,0,0
Limacina helicina,Mollusca,Gastropoda,1,1,1
Chionoecetes angulatus,Arthropoda,Malacostraca,1,0,0
Mopalia vespertina,Mollusca,Polyplacophora,1,0,0
Eulalia levicornuta,Annelida,Polychaeta,1,0,0
Pseudostichopus tuberosus,Echinodermata,Holothuroidea,1,0,0
Ophiopholis kennerlyi,Echinodermata,Ophiuroidea,1,1,1
Nassarius mendicus,Mollusca,Gastropoda,1,1,1
Traskorchestia traskiana,Arthropoda,Malacostraca,1,1,1
Pandalus eous,Arthropoda,Malacostraca,1,0,0
Peltogaster boschmai,Arthropoda,Thecostraca,1,0,0
Argis alaskensis,Arthropoda,Malacostraca,1,0,0
Epizoanthus scotinus,Cnidaria,Anthozoa,1,1,1
Neoamphitrite robusta,Annelida,Polychaeta,1,0,0
Benthopecten acanthonotus,Echinodermata,Asteroidea,1,0,0
Harmothoe rarispina,Annelida,Polychaeta,1,0,0
Funiculina quadrangularis,Cnidaria,Anthozoa,1,0,0
Keenocardium californiense,Mollusca,Bivalvia,1,0,0
Lottia pelta,Mollusca,Gastropoda,1,1,1
Amphiascopsis cinctus,Arthropoda,Copepoda,1,0,0
Clavadoce nigrimaculata,Annelida,Polychaeta,1,0,0
Syllis alternata,Annelida,Polychaeta,1,0,0
Rhabdus rectius,Mollusca,Scaphopoda,1,0,0
Solaster dawsoni,Echinodermata,Asteroidea,1,1,1
Pugettia richii,Arthropoda,Malacostraca,1,1,1
Eualus barbatus,Arthropoda,Malacostraca,1,0,0
Freyellaster fecundus,Echinodermata,Asteroidea,1,0,0
Chone magna,Annelida,Polychaeta,1,0,0
Platynereis bicanaliculata,Annelida,Polychaeta,1,1,1
Strongylocentrotus fragilis,Echinodermata,Echinoidea,1,0,0
Glycera nana,Annelida,Polychaeta,1,1,1
Crepipatella lingulata,Mollusca,Gastropoda,1,1,1
Cucumaria pseudocurata,Echinodermata,Holothuroidea,1,0,0
Lacuna vincta,Mollusca,Gastropoda,1,1,1
Callianax biplicata,Mollusca,Gastropoda,1,0,0
Catablema multicirratum,Cnidaria,Hydrozoa,1,0,0
Paranemertes peregrina,Nemertea,Hoplonemertea,1,1,1
Myrianida flava,Annelida,Polychaeta,1,0,0
Syllis elongata,Annelida,Polychaeta,1,1,1
Brisaster latifrons,Echinodermata,Echinoidea,1,1,1
Crossaster borealis,Echinodermata,Asteroidea,1,0,0
Caprella laeviuscula,Arthropoda,Malacostraca,1,0,0
Stauridiosarsia cliffordi,Cnidaria,Hydrozoa,1,0,0
Mytilus trossulus,Mollusca,Bivalvia,1,1,1
Pandalus jordani,Arthropoda,Malacostraca,1,0,0
Manania gwilliami,Cnidaria,Staurozoa,1,0,0
Pagurus samuelis,Arthropoda,Malacostraca,1,1,1
Phyllochaetopterus prolifica,Annelida,Polychaeta,1,1,1
Ophiopholis japonica,Echinodermata,Ophiuroidea,1,0,0
Pentamera pseudocalcigera,Echinodermata,Holothuroidea,1,0,0
Lophaster furcilliger,Echinodermata,Asteroidea,1,0,0
Trichotropis cancellata,Mollusca,Gastropoda,1,1,1
Calliostoma ligatum,Mollusca,Gastropoda,1,1,1
Pagurus hirsutiusculus,Arthropoda,Malacostraca,1,1,1
Aoroides intermedius,Arthropoda,Malacostraca,1,1,1
Oregonia gracilis,Arthropoda,Malacostraca,1,0,0
Goniada brunnea,Annelida,Polychaeta,1,0,0
Leitoscoloplos pugettensis,Annelida,Polychaeta,1,1,1
Amphiodia occidentalis,Echinodermata,Ophiuroidea,1,1,1
Lumbrineris japonica,Annelida,Polychaeta,1,1,1
Crepidula williamsi,Mollusca,Gastropoda,1,0,0
Mytilus edulis,Mollusca,Bivalvia,1,0,0
Alia carinata,Mollusca,Gastropoda,1,1,1
Margarites pupillus,Mollusca,Gastropoda,1,0,0
Parallorchestes cowani,Arthropoda,Malacostraca,1,1,1
Paramoera bousfieldi,Arthropoda,Malacostraca,1,1,1
Haminoea vesicula,Mollusca,Gastropoda,1,1,1
Arctonoe vittata,Annelida,Polychaeta,1,1,1
Nymphon pixellae,Arthropoda,Pycnogonida,1,0,0
Diaulula sandiegensis,Mollusca,Gastropoda,1,1,1
Paguristes turgidus,Arthropoda,Malacostraca,1,0,0
Solaster endeca,Echinodermata,Asteroidea,1,1,1
Dirona albolineata,Mollusca,Gastropoda,1,1,1
Lirabuccinum dirum,Mollusca,Gastropoda,1,1,1
Lucinoma annulata,Mollusca,Bivalvia,1,1,1
Triopha maculata,Mollusca,Gastropoda,1,0,0
Dendraster excentricus,Echinodermata,Echinoidea,1,1,1
Pseudarchaster dissonus,Echinodermata,Asteroidea,1,0,0
Sternaspis fossor,Annelida,Polychaeta,1,0,0
Paciocinebrina lurida,Mollusca,Gastropoda,1,0,0
Thelepus crispus,Annelida,Polychaeta,1,1,1
Pomocellaria californica,Bryozoa,Gymnolaemata,1,0,0
Myxicola infundibulum,Annelida,Polychaeta,1,0,0
Nephtys punctata,Annelida,Polychaeta,1,0,0
Neptunea phoenicea,Mollusca,Gastropoda,1,0,0
Petrolisthes cinctipes,Arthropoda,Malacostraca,1,1,1
Glebocarcinus oregonensis,Arthropoda,Malacostraca,1,1,1
Amphicteis mucronata,Annelida,Polychaeta,1,0,0
Muusoctopus leioderma,Mollusca,Cephalopoda,1,0,0
Manania handi,Cnidaria,Staurozoa,1,1,1
Hymenodora frontalis,Arthropoda,Malacostraca,1,0,0
Monocorophium insidiosum,Arthropoda,Malacostraca,1,0,0
Ampithoe valida,Arthropoda,Malacostraca,1,0,0
Amphiporus angulatus,Nemertea,Hoplonemertea,1,0,0
Gonionemus vertens,Cnidaria,Hydrozoa,1,0,0
Dipsacaster borealis,Echinodermata,Asteroidea,1,0,0
Haminoea virescens,Mollusca,Gastropoda,1,0,0
Eogammarus confervicolus,Arthropoda,Malacostraca,1,0,0
Mopalia swanii,Mollusca,Polyplacophora,1,1,1
Sagenaster evermanni,Echinodermata,Asteroidea,1,0,0
Eupolymnia heterobranchia,Annelida,Polychaeta,1,1,1
Strongylocentrotus pallidus,Echinodermata,Echinoidea,1,0,0
Katharina tunicata,Mollusca,Polyplacophora,1,1,1
Crepidula norrisiarum,Mollusca,Gastropoda,1,0,0
Megalorchestia pugettensis,Arthropoda,Malacostraca,1,1,1
Caberea ellisii,Bryozoa,Gymnolaemata,1,0,0
Serpula vermicularis,Annelida,Polychaeta,1,0,0
Nereis vexillosa,Annelida,Polychaeta,1,1,1
Florometra serratissima,Echinodermata,Crinoidea,1,1,1
Thysanocardia nigra,Annelida,0,1,0,0
Anobothrus gracilis,Annelida,Polychaeta,1,0,0
Tricellaria ternata,Bryozoa,Gymnolaemata,1,1,1
Dendronotus dalli,Mollusca,Gastropoda,1,0,0
Phyllodoce medipapillata,Annelida,Polychaeta,1,1,1
Psilaster pectinatus,Echinodermata,Asteroidea,1,0,0
Plumularia setacea,Cnidaria,Hydrozoa,1,1,1
Littorina plena,Mollusca,Gastropoda,1,1,1
Catablema vesicarium,Cnidaria,Hydrozoa,1,0,0
Dendronotus albus,Mollusca,Gastropoda,1,0,0
Cryptolithodes sitchensis,Arthropoda,Malacostraca,1,0,0
Maera fusca,Arthropoda,Malacostraca,1,0,0
Vorticeros praedatorium,Platyhelminthes,0,1,0,0
Naineris dendritica,Annelida,Polychaeta,1,1,1
Tresus capax,Mollusca,Bivalvia,1,1,1
Garveia annulata,Cnidaria,Hydrozoa,1,0,0
Thrombophyton trachydermum,Cnidaria,Anthozoa,1,0,0
Plumularia lagenifera,Cnidaria,Hydrozoa,1,1,1
Eusergestes similis,Arthropoda,Malacostraca,1,0,0
Nereis pelagica,Annelida,Polychaeta,1,0,0
Caligus clemensi,Arthropoda,Copepoda,1,0,0
Cumanotus fernaldi,Mollusca,Gastropoda,1,0,0
Pachycerianthus fimbriatus,Cnidaria,Anthozoa,1,1,1
Cribrinopsis fernaldi,Cnidaria,Anthozoa,1,0,0
Stomphia didemon,Cnidaria,Anthozoa,1,1,1
Aequorea victoria,Cnidaria,Hydrozoa,1,0,0
Pteraster tesselatus,Echinodermata,Asteroidea,1,0,0
Serpula columbiana,Annelida,Polychaeta,1,0,0
Leucilla nuttingi,Porifera,Calcarea,1,0,0
Homaxinella amphispicula,Porifera,Demospongiae,1,0,0
Lepidozona mertensii,Mollusca,Polyplacophora,1,1,1
Humilaria kennerleyi,Mollusca,Bivalvia,1,1,1
Entodesma navicula,Mollusca,Bivalvia,1,0,0
Mytilimeria nuttalli,Mollusca,Bivalvia,1,1,1
Solaster stimpsoni,Echinodermata,Asteroidea,1,1,1
Puncturella cucullata,Mollusca,Gastropoda,1,0,0
Gari californica,Mollusca,Bivalvia,1,0,0
Tonicella insignis,Mollusca,Polyplacophora,1,1,1
Schuchertinia milleri,Cnidaria,Hydrozoa,1,0,0
Lafoea dumosa,Cnidaria,Hydrozoa,1,1,1
Chone aurantiaca,Annelida,Polychaeta,1,0,0
Protula pacifica,Annelida,Polychaeta,1,0,0
Balanus nubilus,Arthropoda,Thecostraca,1,1,1
Tubulanus albocinctus,Nemertea,Palaeonemertea,1,0,0
Rhinolithodes wosnessenskii,Arthropoda,Malacostraca,1,0,0
Lopholithodes mandtii,Arthropoda,Malacostraca,1,1,1
Distaplia occidentalis,Chordata,Ascidiacea,1,0,0
Phyllolithodes papillosus,Arthropoda,Malacostraca,1,1,1
Elassochirus tenuimanus,Arthropoda,Malacostraca,1,1,1
Boltenia villosa,Chordata,Ascidiacea,1,1,1
Chelyosoma productum,Chordata,Ascidiacea,1,1,1
Halocynthia aurantium,Chordata,Ascidiacea,1,1,1
Doris odhneri,Mollusca,Gastropoda,1,1,1
Nanomia bijuga,Cnidaria,Hydrozoa,1,0,0
Pleurobrachia bachei,Ctenophora,Tentaculata,1,1,1
Acanthodoris hudsoni,Mollusca,Gastropoda,1,0,0
Pseudochitinopoma occidentalis,Annelida,Polychaeta,1,1,1
Haliotis kamtschatkana,Mollusca,Gastropoda,1,0,0
Pista elongata,Annelida,Polychaeta,1,0,0
Schizoporella japonica,Bryozoa,Gymnolaemata,1,0,0
Bugulina californica,Bryozoa,Gymnolaemata,1,0,0
Dendrobeania murrayana,Bryozoa,Gymnolaemata,1,1,1
Dendrobeania lichenoides,Bryozoa,Gymnolaemata,1,0,0
Tritonia festiva,Mollusca,Gastropoda,1,0,0
Corella willmeriana,Chordata,Ascidiacea,1,1,1
Cnemidocarpa finmarkiensis,Chordata,Ascidiacea,1,1,1
Triopha modesta,Mollusca,Gastropoda,1,0,0
Cryptonatica aleutica,Mollusca,Gastropoda,1,0,0
Cucumaria pallida,Echinodermata,Holothuroidea,1,1,1
Aplidium kottae,Chordata,Ascidiacea,1,1,1
Heteropora alaskensis,Bryozoa,Stenolaemata,1,0,0
Cryptolithodes typicus,Arthropoda,Malacostraca,1,1,1
Halecium beanii,Cnidaria,Hydrozoa,1,0,0
Ectopleura crocea,Cnidaria,Hydrozoa,1,0,0
Coryphella verrucosa,Mollusca,Gastropoda,1,1,1
Cribrinopsis rubens,Cnidaria,Anthozoa,1,0,0
Acila castrensis,Mollusca,Bivalvia,1,1,1
Halocynthia igaboja,Chordata,Ascidiacea,1,1,1
Peltodoris lentiginosa,Mollusca,Gastropoda,1,0,0
Semisuberites cribrosa,Porifera,Demospongiae,1,0,0
Myosotella myosotis,Mollusca,Gastropoda,1,0,0
Euplokamis dunlapae,Ctenophora,Tentaculata,1,0,0
Rostanga pulchra,Mollusca,Gastropoda,1,1,1
Bolinopsis infundibulum,Ctenophora,Tentaculata,1,0,0
Pagurus caurinus,Arthropoda,Malacostraca,1,1,1
Aphrocallistes vastus,Porifera,Hexactinellida,1,0,0
Geitodoris heathi,Mollusca,Gastropoda,1,0,0
Aeolidia papillosa,Mollusca,Gastropoda,1,1,1
Ascidia paratropa,Chordata,Ascidiacea,1,0,0
Tochuina gigantea,Mollusca,Gastropoda,1,1,1
Beroe abyssicola,Ctenophora,Nuda,1,0,0
Diopatra ornata,Annelida,Polychaeta,1,0,0
Xestospongia hispida,Porifera,Demospongiae,1,0,0
Rhabdocalyptus dawsoni,Porifera,Hexactinellida,1,1,1
Saxidomus gigantea,Mollusca,Bivalvia,1,1,1
Pandalus stenolepis,Arthropoda,Malacostraca,1,1,1
Berthella chacei,Mollusca,Gastropoda,1,0,0
Stylaster verrillii,Cnidaria,Hydrozoa,1,0,0
Styela gibbsii,Chordata,Ascidiacea,1,1,1
Desmacella austini,Porifera,Demospongiae,1,0,0
Bankia setacea,Mollusca,Bivalvia,1,0,0
Parasabella media,Annelida,Polychaeta,1,0,0
Polymastia pachymastia,Porifera,Demospongiae,1,0,0
Tubulanus sexlineatus,Nemertea,Palaeonemertea,1,1,1
Leucosolenia eleanor,Porifera,Calcarea,1,0,0
Heptacarpus kincaidi,Arthropoda,Malacostraca,1,0,0
Nucella canaliculata,Mollusca,Gastropoda,1,1,1
Terebratalia transversa,Brachiopoda,Rhynchonellata,1,0,0
Ruditapes philippinarum,Mollusca,Bivalvia,1,1,1
Zemysina impolita,Mollusca,Bivalvia,1,0,0
Kellia suborbicularis,Mollusca,Bivalvia,1,0,0
Tubularia indivisa,Cnidaria,Hydrozoa,1,0,0
Aldisa sanguinea,Mollusca,Gastropoda,1,0,0
Macoma calcarea,Mollusca,Bivalvia,1,0,0
Epiactis prolifera,Cnidaria,Anthozoa,1,0,0
Mopalia hindsii,Mollusca,Polyplacophora,1,1,1
Metandrocarpa taylori,Chordata,Ascidiacea,1,1,1
Cadlina modesta,Mollusca,Gastropoda,1,1,1
Pentidotea resecata,Arthropoda,Malacostraca,1,1,1
Craniella villosa,Porifera,Demospongiae,1,0,0
Euspira pallida,Mollusca,Gastropoda,1,0,0
Pyura haustor,Chordata,Ascidiacea,1,1,1
Armina californica,Mollusca,Gastropoda,1,1,1
Bispira pacifica,Annelida,Polychaeta,1,0,0
Chorilia longipes,Arthropoda,Malacostraca,1,1,1
Melanochlamys diomedea,Mollusca,Gastropoda,1,0,0
Neoturris breviconis,Cnidaria,Hydrozoa,1,0,0
Desdimelita californica,Arthropoda,Malacostraca,1,1,1
Thracia trapezoides,Mollusca,Bivalvia,1,0,0
