Sample ID,Field ID,Museum ID,Institution Storing,Project Code,Process ID,Sample ID,Field ID,BIN,Catalog Num,tufA Seq. Length,PSBA Seq. Length,COI-5P Seq. Length,COI-5P Trace Count,ITS Seq. Length,28S Seq. Length,rbcL Seq. Length,18S Seq. Length,Image Count,Barcode Compliant,Collection Date,Identification,Institution,Notes,Phylum,Class,Order,Family,Subfamily,Genus,Species,Identifier,Identifier Email,Identification Method,Taxonomy Notes,Collectors,Collection Date,Country/Ocean,State/Province,Region,Sector,Exact Site,Lat,Lon,Elev,Depth,Elevation Precision,Depth Precision,GPS Source,Coordinate Accuracy,Event Time,Collection Date Accuracy,Habitat,Sampling Protocol,Collection Notes,Site Code,Collection Event ID
BHAK6,BHAK6,BHAK6,Natural History Museum of Los Angeles County,BHAK,BHAK1135-18,BHAK6,BHAK6,BOLD:ADM8238,BHAK6,0[n],0[n],628[0n],4,0[n],0[n],0[n],0[n],2,Yes,22-Jul-2017,Scoletoma zonata,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Scoletoma,Scoletoma zonata,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,22-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.6634,-128.144,,,,,,,,,boulder field,Hand collecting,"boulder on sand, low intertidal",IHAK01,
BHAK7,BHAK7,BHAK7,Natural History Museum of Los Angeles County,BHAK,BHAK1126-18,BHAK7,BHAK7,BOLD:ADM8238,BHAK7,0[n],0[n],630[0n],4,0[n],0[n],0[n],0[n],2,Yes,22-Jul-2017,Scoletoma zonata,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Scoletoma,Scoletoma zonata,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,22-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.6634,-128.144,,,,,,,,,boulder field,Hand collecting,"boulder on sand, low intertidal",IHAK01,
BHAK-0278,BHAK-0278,,Natural History Museum of Los Angeles County,BHAK,BHAK1634-19,BHAK-0278,BHAK-0278,BOLD:AAJ2131,,0[n],0[n],654[0n],2,0[n],0[n],0[n],0[n],1,Yes,24-Jul-2017,Lumbrineridae,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,,,Leslie Harris,lharris@nhm.org,morphology,,"Gustav Paulay, Emmett Duffy, Matt Whalen, Alyssa Gehman",24-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,West Beach,51.652,-128.143,,,,,,,,,low intertidal boulder field with Macrocystis pyrifera and Phyllospadix spp.,Hand Collected,,IHAK07,
BHAK947,BHAK947,Annelida-005855,Florida Museum of Natural History,BHAK,BHAK1144-18,BHAK947,BHAK947,BOLD:ADM9198,Annelida-005855,0[n],0[n],633[0n],4,0[n],0[n],0[n],0[n],2,Yes,28-Jul-2017,Arabella,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Oenonidae,,Arabella,,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,28-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Seventh Beach,51.6408,-128.155,,,,,iPad (Collector),,,,rock outcrop,hand collected,"Headland between Sixth and Seventh Beach, seagrass bed",IHAK15,
BHAK38,BHAK38,BHAK38,Hakai Institute,BHAK,BHAK965-18,BHAK38,BHAK38,BOLD:AAY5175,BHAK38,0[n],0[n],601[2n],2,0[n],0[n],0[n],0[n],1,Yes,22-Jul-2017,Armandia brevis,Hakai Institute,,Annelida,Polychaeta,Opheliida,Opheliidae,,Armandia,Armandia brevis,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,22-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.6647,-128.135,,,,,,,morning,,boulder field,hand collected,"boulder field, low intertidal ",IHAK02,
BHAK2883,BHAK2883,BHAK2883,Natural History Museum of Los Angeles County,BHAK,BHAK983-18,BHAK2883,BHAK2883,BOLD:AAY5175,BHAK2883,0[n],0[n],663[0n],4,0[n],0[n],0[n],0[n],2,Yes,05-Aug-2017,Armandia brevis,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Opheliida,Opheliidae,,Armandia,Armandia brevis,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,05-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,Mouth of Kwakshua,51.655,-127.96,,13,,8,iPad (collector),,,,rock outcrop,Vacuum/Scuba,,IHAK52a,
BHAK-0245,BHAK-0245,,Hakai Institute,BHAK,BHAK1640-19,BHAK-0245,BHAK-0245,BOLD:AAY5175,,0[n],0[n],682[1n],2,0[n],0[n],0[n],0[n],1,Yes,22-Jul-2017,Armandia brevis,Hakai Institute,,Annelida,Polychaeta,Opheliida,Opheliidae,,Armandia,Armandia brevis,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,Sedentaria??(Subclass); Scolecida??(Infraclass),Vasily Radashevsky,22-Jul-2017,Canada,British Columbia,Central Coast,Hecate Island,Martin Beach,51.666,-128.079,,,,,,,,,Soft sediment; sheltered bay,Hand Collected,,IHAK04a,
BHAK-0246,BHAK-0246,,Hakai Institute,BHAK,BHAK1636-19,BHAK-0246,BHAK-0246,BOLD:AAY5175,,0[n],0[n],682[1n],2,0[n],0[n],0[n],0[n],1,Yes,22-Jul-2017,Armandia brevis,Hakai Institute,,Annelida,Polychaeta,Opheliida,Opheliidae,,Armandia,Armandia brevis,Vasily Radashevsky,,morphology,Sedentaria??(Subclass); Scolecida??(Infraclass),Vasily Radashevsky,22-Jul-2017,Canada,British Columbia,Central Coast,Hecate Island,Martin Beach,51.666,-128.079,,,,,,,,,Soft sediment; sheltered bay,Hand Collected,,IHAK04a,
BHAK271,BHAK271,BHAK271,Natural History Museum of Los Angeles County,BHAK,BHAK914-18,BHAK271,BHAK271,BOLD:ACT3072,BHAK271,0[n],0[n],621[0n],2,0[n],0[n],0[n],0[n],2,Yes,25-Jul-2017,Thoracophelia mucronata,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Opheliida,Opheliidae,Opheliinae,Thoracophelia,Thoracophelia mucronata,Leslie Harris,lharris@nhm.org,morphology,,Noriko Okamoto,25-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,West Beach,51.6577,-128.145,,,,,,,,,sandy beach,hand collected,"Mid-high intertidal, 1 cm top sediment",,
BHAK-0902,BHAK-0902,,Natural History Museum of Los Angeles County,BHAK,BHAK1400-18,BHAK-0902,BHAK-0902,BOLD:AAN6738,,0[n],0[n],627[0n],2,0[n],0[n],0[n],0[n],1,Yes,22-Jul-2017,Paleanotus bellis,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,Paleanotus,Paleanotus bellis,Leslie Harris,lharris@nhm.org,morphology,,Vasily Radashevsky,22-Jul-2017,Canada,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079,,,,,,,,,sheltered bay,Hand collected,soft sediment,IHAK04,
BHAK248,BHAK248,BHAK248,Natural History Museum of Los Angeles County,BHAK,BHAK952-18,BHAK248,BHAK248,BOLD:AAN6738,BHAK248,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,22-Jul-2017,Paleanotus bellis,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,Paleanotus,Paleanotus bellis,Leslie Harris,lharris@nhm.org,morphology,,Vasily Radashevsky,22-Jul-2017,Canada,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079,,,,,,,,,sheltered bay,Hand collecting,soft sediment,IHAK04,
BHAK249,BHAK249,BHAK249,Natural History Museum of Los Angeles County,BHAK,BHAK912-18,BHAK249,BHAK249,BOLD:AAN6738,BHAK249,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,22-Jul-2017,Paleanotus bellis,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,Paleanotus,Paleanotus bellis,Leslie Harris,lharris@nhm.org,morphology,,Vasily Radashevsky,22-Jul-2017,Canada,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079,,,,,,,,,sheltered bay,Hand collecting,soft sediment,IHAK04,
BHAK-05835,BHAK-5835,Annelida_008461,Florida Museum of Natural History,BHAK,BHAK2846-20,BHAK-05835,BHAK-5835,BOLD:AAN6738,Annelida_008461,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,27-Jun-2018,Paleanotus,Florida Museum of Natural History,,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,Paleanotus,,Gustav Paulay,paulay@flmnh.ufl.edu,Morphology,,Matt Whalen,27-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.667,-128.14,,,,,,,,,intertidal,Brushes,,,EHAK-73
BHAK440,BHAK440,BHAK440,Natural History Museum of Los Angeles County,BHAK,BHAK938-18,BHAK440,BHAK440,BOLD:AAY0661,BHAK440,0[n],0[n],643[0n],2,0[n],0[n],0[n],0[n],2,Yes,25-Jul-2017,Glycera americana,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Phyllodocida,Glyceridae,,Glycera,Glycera americana,Leslie Harris,lharris@nhm.org,morphology,,Sarah Dudas,25-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,HCGR Beach,51.6426,-128.078,,,,,,,,,cobble/mud/sand,Hand collecting,mid intertidal 2.2-1.5m,SHAK17,
BHAK433,BHAK433,BHAK433,Natural History Museum of Los Angeles County,BHAK,BHAK935-18,BHAK433,BHAK433,BOLD:AAY0668,BHAK433,0[n],0[n],653[0n],2,0[n],0[n],0[n],0[n],2,Yes,24-Jul-2017,Glycera americana,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Phyllodocida,Glyceridae,,Glycera,Glycera americana,Leslie Harris,lharris@nhm.org,morphology,,Sarah Dudas,24-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.644,-128.119,,,,,,,,,soft sediment,hand collected,"sand mud, mid intertidal 2.2-1.5 m",SHAK09,
BHAK453,BHAK453,BHAK453,Natural History Museum of Los Angeles County,BHAK,BHAK960-18,BHAK453,BHAK453,BOLD:AAY0661,BHAK453,0[n],0[n],647[0n],2,0[n],0[n],0[n],0[n],2,Yes,24-Jul-2017,Glycera nana,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Phyllodocida,Glyceridae,,Glycera,Glycera nana,Leslie Harris,lharris@nhm.org,morphology,,"Gustav Paulay, Emmett Duffy",24-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,West Beach,51.6519,-128.143,,,,,,,,,Boulder Field,Hand collecting,"boulder field, low intertidal, biotic habitat = Macrocystis and Phyllospadix",IHAK07,
BHAK-0277,BHAK-0277,,Natural History Museum of Los Angeles County,BHAK,BHAK1427-18,BHAK-0277,BHAK-0277,BOLD:AAI7326,,0[n],0[n],627[0n],2,0[n],0[n],0[n],0[n],2,Yes,24-Jul-2017,Glycera,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Phyllodocida,Glyceridae,,Glycera,,Leslie Harris,lharris@nhm.org,morphology,,"Gustav Paulay, Emmett Duffy",24-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,West Beach,51.6519,-128.143,,,,,,,,,Boulder Field,Hand collected,"boulder field, low intertidal, biotic habitat = Macrocystis and Phyllospadix",IHAK07,
