identification,sample_id,bin,phylum,class,order,family,genus,species,state_province,region,sector,exact_site,lat,lon
Nereis procera,BHAK-2530,BOLD:ADM7200,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis procera,British Columbia,Central Coast,Calvert Island,North Beach,51.667,-128.134
Nereis vexillosa,BHAK1030,BOLD:AAC8492,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis vexillosa,British Columbia,Central Coast,Calvert Island,Seventh Beach,51.6408,-128.155
Nereis vexillosa,BHAK959,BOLD:AAC8492,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis vexillosa,British Columbia,Central Coast,Calvert Island,Meay Channel,51.6646,-128.095
Nereis vexillosa,BHAK2,BOLD:AAW0041,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis vexillosa,British Columbia,Central Coast,Calvert Island,North Beach,51.6634,-128.144
Nereis vexillosa,BHAK-0001,BOLD:AAW0041,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis vexillosa,British Columbia,Central Coast,Calvert Island,North Beach,51.663,-128.144
Nereis,BHAK1886,BOLD:AAF4530,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,British Columbia,Central Coast,Calvert Island,West Beach,51.6554,-128.142
Nereis,BHAK695,BOLD:AAF4530,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,British Columbia,Central Coast,Calvert Island,Fifth Beach,51.6418,-128.155
Nereis,BHAK703,BOLD:AAF4530,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,British Columbia,Central Coast,Calvert Island,Fifth Beach,51.6418,-128.155
Nereis,BHAK2539,BOLD:AAK8465,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,British Columbia,Central Coast,Calvert Island,West Beach,51.6495,-128.155
Nereis,BHAK288,BOLD:AAN8836,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,British Columbia,Central Coast,Calvert Island,Crazy Town,51.6671,-128.134
Nereis,BHAK287,BOLD:AAN8836,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,British Columbia,Central Coast,Calvert Island,Crazy Town,51.6671,-128.134
Nereis,BHAK58,BOLD:ADM7200,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079
Nereis,BHAK59,BOLD:ADM7200,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079
Nereis,BHAK705,NA,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,British Columbia,Central Coast,Calvert Island,Fifth Beach,51.6418,-128.155
Platynereis bicanaliculata,BHAK16,BOLD:AAB5409,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,British Columbia,Central Coast,Calvert Island,Little Wolf Beach,51.6655,-128.13
Platynereis bicanaliculata,BHAK466,BOLD:AAB6489,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,British Columbia,Central Coast,Calvert Island,HCGR Beach,51.643,-128.078
Platynereis bicanaliculata,BHAK-07716,BOLD:AAB6489,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,British Columbia,Central Coast,Calvert Island,Pruth Bay E1,51.679,-128.115
Platynereis bicanaliculata,BHAK-05853,BOLD:AAB6489,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.645,-128.119
Platynereis bicanaliculata,BHAK-05852,BOLD:AAB6489,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.645,-128.119
Platynereis bicanaliculata,BHAK-07717,BOLD:AAB6489,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,British Columbia,Central Coast,Calvert Island,Pruth Bay E1,51.679,-128.115
Platynereis bicanaliculata,BHAK-05851,BOLD:AAB6489,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.645,-128.119
Platynereis bicanaliculata,BHAK1800,BOLD:AAC5672,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,British Columbia,Central Coast,Triquet Island,NA,51.8057,-128.258
Platynereis,BHAK-06678,BOLD:AAB6489,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,NA,British Columbia,Central Coast,Calvert Island,Sandspit,51.678,-128.115
Pholoe,BHAK57,BOLD:AAF6038,Annelida,Polychaeta,Phyllodocida,Pholoidae,Pholoe,NA,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079
Pholoe,BHAK56,BOLD:AAF6038,Annelida,Polychaeta,Phyllodocida,Pholoidae,Pholoe,NA,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079
Pholoides asperus,BHAK-2889,BOLD:AAL4855,Annelida,Polychaeta,Phyllodocida,Pholoidae,Pholoides,Pholoides asperus,British Columbia,Central Coast,Calvert Island,Mouth of Kwakshua,51.6552,-127.96
Pholoides asperus,BHAK-2888,BOLD:AAL4855,Annelida,Polychaeta,Phyllodocida,Pholoidae,Pholoides,Pholoides asperus,British Columbia,Central Coast,Calvert Island,Mouth of Kwakshua,51.6552,-127.96
Eteone fauchaldi,BHAK422,BOLD:ADM4711,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone fauchaldi,British Columbia,Central Coast,Calvert Island,West Beach,51.6542,-128.141
Eteone pacifica,BHAK-0441,BOLD:ADS6072,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone pacifica,British Columbia,Central Coast,Calvert Island,Piles Beach,51.645,-128.086
Eteone spilotus,BHAK-3378,BOLD:AAX7807,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone spilotus,British Columbia,Central Coast,Rattenbury Island,NA,51.701,-128.074
Eteone,BHAK953,BOLD:ADM4191,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,NA,British Columbia,Central Coast,Calvert Island,Goose Grass Bay,51.66,-128.117
Eteone,BHAK1049,BOLD:ADM4191,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,NA,British Columbia,Central Coast,Calvert Island,Seventh Beach,51.6408,-128.155
Eteone,BHAK-0903,BOLD:ADV9515,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,NA,British Columbia,Central Coast,Hecate Island,Martin Beach,51.666,-128.079
Eulalia californiensis,BHAK-06784,BOLD:AAU0676,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia californiensis,British Columbia,Central Coast,Calvert Island,Meiofauna Station 7 (Keith Anchorage),51.642,-128.092
Eulalia californiensis,BHAK-06786,BOLD:AAU0676,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia californiensis,British Columbia,Central Coast,Calvert Island,Meiofauna Station 7 (Keith Anchorage),51.642,-128.092
Eulalia quadrioculata,BHAK-3502,BOLD:AAE3332,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia quadrioculata,British Columbia,Central Coast,Calvert Island,North Beach,51.6648,-128.135
Eulalia quadrioculata,BHAK-0922,BOLD:AAE3332,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia quadrioculata,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.644,-128.12
Eulalia quadrioculata,BHAK2896,BOLD:AAE3332,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia quadrioculata,British Columbia,Central Coast,Hecate Island,Kelpie Point,51.734,-127.997
Eulalia quadrioculata,BHAK-2115,BOLD:AAE3332,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia quadrioculata,British Columbia,Central Coast,Calvert Island,Pruth Dock,51.6546,-128.129
Eulalia quadrioculata,BHAK-0923,BOLD:AAE3332,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia quadrioculata,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.644,-128.12
Eulalia quadrioculata,BHAK-2897,BOLD:AAE3332,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia quadrioculata,British Columbia,Central Coast,Hecate Island,Kelpie Point,51.7428,-128.206
Eulalia,BHAK-0940,BOLD:ADO9378,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,NA,British Columbia,Central Coast,Calvert Island,West Beach,51.6519,-128.143
Eulalia,BHAK-2899,BOLD:ADS9434,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,NA,British Columbia,Central Coast,Hecate Island,Kelpie Point,51.649,-128.155
Eulalia,BHAK-3087,BOLD:ADV2062,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,NA,British Columbia,Central Coast,Rattenbury Island,NA,51.701,-128.074
Nereiphylla,BHAK-0272,BOLD:ADS3680,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Nereiphylla,NA,British Columbia,Central Coast,Calvert Island,Fifth Beach,51.642,-128.155
Notophyllum imbricatum,BHAK-3088,BOLD:ADL9673,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Notophyllum,Notophyllum imbricatum,British Columbia,Central Coast,Rattenbury Island NE,NA,51.701,-128.074
Notophyllum imbricatum,BHAK-3089,BOLD:ADL9673,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Notophyllum,Notophyllum imbricatum,British Columbia,Central Coast,Rattenbury Island,NA,51.701,-128.074
Phyllodoce groenlandica,BHAK2575,NA,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce groenlandica,British Columbia,Central Coast,Choked Pass,Starfish Island,51.6804,-128.127
Phyllodoce hartmanae,BHAK-2709,BOLD:ADP4078,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce hartmanae,British Columbia,Central Coast,Starfish Island,Starfish Rocky Reef site,51.6806,-128.116
Phyllodoce medipapillata,BHAK2105,BOLD:AAC1574,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce medipapillata,British Columbia,Central Coast,Triquet Island,NA,51.8057,-128.258
Phyllodoce medipapillata,BHAK-1375,BOLD:AAC1574,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce medipapillata,British Columbia,Central Coast,Calvert Island,Meay Channel,51.6654,-128.095
Phyllodoce medipapillata,BHAK47,BOLD:AAC1574,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce medipapillata,British Columbia,Central Coast,Calvert Island,North Beach,51.6647,-128.135
Phyllodoce medipapillata,BHAK-05966,BOLD:AAC1574,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce medipapillata,British Columbia,Central Coast,Calvert Island,Meiofauna Station 7 (Keith Anchorage),51.642,-128.092
Phyllodoce medipapillata,BHAK-05965,BOLD:AAC1574,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce medipapillata,British Columbia,Central Coast,Calvert Island,Meiofauna Station 7 (Keith Anchorage),51.642,-128.092
Phyllodoce medipapillata,BHAK87,BOLD:ADM5648,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce medipapillata,British Columbia,Central Coast,Hecate Island,Marten Beach,51.6655,-128.079
Pterocirrus parvoseta,BHAK-0956,BOLD:AAW0527,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Pterocirrus,Pterocirrus parvoseta,British Columbia,Central Coast,Calvert Island,Seventh Beach,51.6408,-128.155
Pterocirrus parvoseta,BHAK-1374,BOLD:AAW0527,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Pterocirrus,Pterocirrus parvoseta,British Columbia,Central Coast,Calvert Island,Meay Channel,51.6654,-128.095
Pterocirrus parvoseta,BHAK48,BOLD:AAW0527,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Pterocirrus,Pterocirrus parvoseta,British Columbia,Central Coast,Calvert Island,North Beach,51.6647,-128.135
Arctonoe fragilis,BHAK1350,BOLD:AAD3962,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe fragilis,British Columbia,Central Coast,Calvert Island,Meay Channel,51.6646,-128.095
Arctonoe fragilis,BHAK4,BOLD:AAD3962,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe fragilis,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079
Arctonoe pulchra,BHAK2138,BOLD:ACZ1720,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe pulchra,British Columbia,Central Coast,Rattenbury Island,NA,51.701,-128.074
Arctonoe pulchra,BHAK2555,BOLD:ACZ1720,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe pulchra,British Columbia,Central Coast,Calvert Island,West Beach,51.6495,-128.155
Arctonoe pulchra,BHAK2557,BOLD:ACZ1720,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe pulchra,British Columbia,Central Coast,Calvert Island,West Beach,51.6495,-128.155
Arctonoe pulchra,BHAK-2007,BOLD:ACZ1720,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe pulchra,British Columbia,Central Coast,Triquet Island,NA,51.806,-128.258
Arctonoe vittata,BHAK2531,BOLD:AAD3962,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe vittata,British Columbia,Central Coast,Triquet Island,NA,51.804,-128.254
Arctonoe vittata,BHAK-2911,BOLD:AAD3962,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe vittata,British Columbia,Central Coast,Calvert Island,West Beach,51.8958,-128.169
Arctonoe vittata,BHAK1544,BOLD:AAD3962,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe vittata,British Columbia,Central Coast,Calvert Island,Meay Channel,51.6646,-128.095
Arctonoe vittata,BHAK2902,BOLD:ACZ1720,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe vittata,British Columbia,Central Coast,Calvert Island,Mouth of Kwakshua,51.655,-127.96
Arctonoe,BHAK520,BOLD:AAD3962,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,NA,British Columbia,Central Coast,Calvert Island,Fifth Beach,51.6387,-128.157
Arctonoe,BHAK-3083,BOLD:ACZ1720,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,NA,British Columbia,Central Coast,Choked Pass,Starfish Island,51.6802,-128.126
Gaudichaudius iphionelloides,BHAK1871,BOLD:ADM8473,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gaudichaudius,Gaudichaudius iphionelloides,British Columbia,Central Coast,Hakai Pass,Mercury Islet,51.744,-128.071
Gaudichaudius iphionelloides,BHAK1869,BOLD:ADM8473,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gaudichaudius,Gaudichaudius iphionelloides,British Columbia,Central Coast,Hakai Pass,Mercury Islet,51.744,-128.071
