accession,taxa_verbatim,found_taxa,rank,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only
MT951686,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MT951689,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
MF742348,Phacellophora camtschatica,Phacellophora camtschatica,species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,0,0
MF742361,Phacellophora camtschatica,Phacellophora camtschatica,species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,0,0
MF742355,Phacellophora camtschatica,Phacellophora camtschatica,species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,0,0
MF742353,Phacellophora camtschatica,Phacellophora camtschatica,species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,0,0
MF742360,Phacellophora camtschatica,Phacellophora camtschatica,species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,0,0
MF742357,Phacellophora camtschatica,Phacellophora camtschatica,species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,0,0
MF742352,Phacellophora camtschatica,Phacellophora camtschatica,species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,0,0
MF742363,Phacellophora camtschatica,Phacellophora camtschatica,species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,0,0
MF742096,Aurelia sp. USWAQCN,Aurelia,genus,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,0,0
AF513651,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142134,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142139,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142119,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142244,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142156,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142242,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142120,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142118,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142226,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142124,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142201,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142208,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142132,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142173,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142131,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142200,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142167,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142141,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142122,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142166,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142176,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142170,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142127,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142128,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142157,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142237,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142205,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142154,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142220,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142133,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142165,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142224,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142149,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142211,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142151,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142232,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142204,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142199,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142235,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142221,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142146,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142148,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142121,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142222,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142230,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142161,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142183,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142123,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142172,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
MW256486,Synchaetidae sp. COIMB2108,Synchaetidae,family,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,NA,0,0
MK905832,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905837,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905834,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905835,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905838,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905841,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905833,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905840,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905842,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905836,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905839,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
KU142218,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142202,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
KU142130,Pseudocalanus mimus,Pseudocalanus mimus,species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,0,0
MW256485,Synchaetidae sp. COIMB2107,Synchaetidae,family,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,NA,0,0
KY751505,Synchaeta tremula,Synchaeta tremula,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
KY751496,Synchaeta tremula,Synchaeta tremula,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
JN936567,Synchaeta cf. tremula/oblonga UO-2012,Synchaeta,genus,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
EU499820,Synchaeta tremula,Synchaeta tremula,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
KY751495,Synchaeta tremula,Synchaeta tremula,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
JN936565,Synchaeta cf. tremula/oblonga UO-2012,Synchaeta,genus,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
KX665199,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
DQ068054,Clytia gracilis,Clytia gracilis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
JQ353730,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
JQ353729,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
AY789900,Clytia gracilis,Clytia gracilis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
HM053515,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665218,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665204,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
HM053516,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
HM053517,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
OQ322681,Clytia sp. WA01,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665169,Clytia gracilis,Clytia gracilis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
JQ716198,Clytia xiamenensis,Clytia xiamenensis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665168,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
JQ716199,Clytia xiamenensis,Clytia xiamenensis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665166,Clytia gracilis,Clytia gracilis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665171,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
JQ716201,Clytia xiamenensis,Clytia xiamenensis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665240,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665167,Clytia gracilis,Clytia gracilis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665194,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665182,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665183,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665190,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665184,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KF962086,Clytia sp. GL JRH-2014,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439972,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439962,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665188,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KF962096,Clytia sp. GL JRH-2014,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439963,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439971,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439967,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439966,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439974,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439970,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KF962081,Clytia folleata,Clytia folleata,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439960,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439969,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
MF000504,Clytia hemisphaerica,Clytia hemisphaerica,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439973,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
DQ068055,Clytia gracilis,Clytia gracilis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KC439968,Clytia sp. 1 SL-2013,Clytia,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665210,Clytia gracilis,Clytia gracilis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665221,Clytia gracilis,Clytia gracilis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
KX665212,Clytia gracilis,Clytia gracilis,species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,0,0
HM542404,Mesocentrotus franciscanus,Mesocentrotus franciscanus,species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,0,0
NC_024177,Mesocentrotus franciscanus,Mesocentrotus franciscanus,species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,0,0
MK037191,Mesocentrotus sp. 17_FA_005,Mesocentrotus,genus,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,0,0
MK550645,Mesocentrotus franciscanus,Mesocentrotus franciscanus,species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,0,0
HM542405,Mesocentrotus franciscanus,Mesocentrotus franciscanus,species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,0,0
HM542400,Mesocentrotus franciscanus,Mesocentrotus franciscanus,species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,0,0
MG676467,Mesocentrotus franciscanus,Mesocentrotus franciscanus,species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,0,0
KC898199,Mesocentrotus franciscanus,Mesocentrotus franciscanus,species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,0,0
HM542403,Mesocentrotus franciscanus,Mesocentrotus franciscanus,species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,0,0
