Representative Sample ID,Phylum,Class,Order,Family,Genus,Species,string,Sample Size
BHAK-06928,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,,Annelida_Polychaeta_Phyllodocida_Tomopteridae_Tomopteris_,2
BHAK-0243,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Leitoscoloplos,Leitoscoloplos pugettensis,Annelida_Polychaeta_Polychaeta_incertae_sedis_Orbiniidae_Leitoscoloplos_Leitoscoloplos pugettensis,15
BHAK-06827,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Naineris,Naineris dendritica,Annelida_Polychaeta_Polychaeta_incertae_sedis_Orbiniidae_Naineris_Naineris dendritica,6
BHAK44,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Naineris,Naineris uncinata,Annelida_Polychaeta_Polychaeta_incertae_sedis_Orbiniidae_Naineris_Naineris uncinata,13
BHAK445,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Scoloplos,Scoloplos acmeceps,Annelida_Polychaeta_Polychaeta_incertae_sedis_Orbiniidae_Scoloplos_Scoloplos acmeceps,6
BHAK-3362,Annelida,Polychaeta,Polychaeta_incertae_sedis,Paraonidae,Aricidea,Aricidea antennata,Annelida_Polychaeta_Polychaeta_incertae_sedis_Paraonidae_Aricidea_Aricidea antennata,1
BHAK-2705,Annelida,Polychaeta,Polychaeta_incertae_sedis,Paraonidae,Paraonides,Paraonides platybranchia,Annelida_Polychaeta_Polychaeta_incertae_sedis_Paraonidae_Paraonides_Paraonides platybranchia,1
BHAK-3363,Annelida,Polychaeta,Polychaeta_incertae_sedis,Paraonidae,,,Annelida_Polychaeta_Polychaeta_incertae_sedis_Paraonidae__,1
BHAK958,Annelida,Polychaeta,Sabellida,Oweniidae,Owenia,Owenia collaris,Annelida_Polychaeta_Sabellida_Oweniidae_Owenia_Owenia collaris,18
BHAK1991,Annelida,Polychaeta,Sabellida,Oweniidae,Owenia,,Annelida_Polychaeta_Sabellida_Oweniidae_Owenia_,8
BHAK-3376,Annelida,Polychaeta,Sabellida,Sabellariidae,Idanthyrsus,Idanthyrsus saxicavus,Annelida_Polychaeta_Sabellida_Sabellariidae_Idanthyrsus_Idanthyrsus saxicavus,1
BHAK295,Annelida,Polychaeta,Sabellida,Sabellariidae,Idanthyrsus,,Annelida_Polychaeta_Sabellida_Sabellariidae_Idanthyrsus_,4
BHAK3393,Annelida,Polychaeta,Sabellida,Sabellariidae,Neosabellaria,Neosabellaria cementarium,Annelida_Polychaeta_Sabellida_Sabellariidae_Neosabellaria_Neosabellaria cementarium,4
BHAK2015,Annelida,Polychaeta,Sabellida,Sabellariidae,,,Annelida_Polychaeta_Sabellida_Sabellariidae__,1
BHAK1356,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,Chone aurantiaca,Annelida_Polychaeta_Sabellida_Sabellidae_Chone_Chone aurantiaca,2
BHAK-3104,Annelida,Polychaeta,Sabellida,Sabellidae,Eudistylia,Eudistylia catharinae,Annelida_Polychaeta_Sabellida_Sabellidae_Eudistylia_Eudistylia catharinae,1
BHAK-0232,Annelida,Polychaeta,Sabellida,Sabellidae,Eudistylia,Eudistylia vancouveri,Annelida_Polychaeta_Sabellida_Sabellidae_Eudistylia_Eudistylia vancouveri,3
BHAK-3110,Annelida,Polychaeta,Sabellida,Sabellidae,Myxicola,,Annelida_Polychaeta_Sabellida_Sabellidae_Myxicola_,18
BHAK-2559,Annelida,Polychaeta,Sabellida,Sabellidae,Paradialychone,Paradialychone ecaudata,Annelida_Polychaeta_Sabellida_Sabellidae_Paradialychone_Paradialychone ecaudata,23
BHAK297,Annelida,Polychaeta,Sabellida,Sabellidae,Parasabella,,Annelida_Polychaeta_Sabellida_Sabellidae_Parasabella_,3
BHAK41,Annelida,Polychaeta,Sabellida,Sabellidae,Pseudopotamilla,Pseudopotamilla occelata,Annelida_Polychaeta_Sabellida_Sabellidae_Pseudopotamilla_Pseudopotamilla occelata,7
BHAK1358,Annelida,Polychaeta,Sabellida,Sabellidae,Pseudopotamilla,,Annelida_Polychaeta_Sabellida_Sabellidae_Pseudopotamilla_,3
BHAK1353,Annelida,Polychaeta,Sabellida,Sabellidae,Schizobranchia,Schizobranchia insignis,Annelida_Polychaeta_Sabellida_Sabellidae_Schizobranchia_Schizobranchia insignis,6
BHAK-0251,Annelida,Polychaeta,Sabellida,Sabellidae,,,Annelida_Polychaeta_Sabellida_Sabellidae__,6
BHAK1054,Annelida,Polychaeta,Sabellida,Serpulidae,Circeis,Circeis armoricana,Annelida_Polychaeta_Sabellida_Serpulidae_Circeis_Circeis armoricana,11
BHAK1330,Annelida,Polychaeta,Sabellida,Serpulidae,Crucigera,Crucigera zygophora,Annelida_Polychaeta_Sabellida_Serpulidae_Crucigera_Crucigera zygophora,8
BHAK1055,Annelida,Polychaeta,Sabellida,Serpulidae,Jugaria,Jugaria quadrangularis,Annelida_Polychaeta_Sabellida_Serpulidae_Jugaria_Jugaria quadrangularis,14
BHAK1765,Annelida,Polychaeta,Sabellida,Serpulidae,Paradexiospira,Paradexiospira violaceus,Annelida_Polychaeta_Sabellida_Serpulidae_Paradexiospira_Paradexiospira violaceus,4
BHAK-1751,Annelida,Polychaeta,Sabellida,Serpulidae,Paradexiospira,Paradexiospira vitrea,Annelida_Polychaeta_Sabellida_Serpulidae_Paradexiospira_Paradexiospira vitrea,16
BHAK1515,Annelida,Polychaeta,Sabellida,Serpulidae,Pileolaria,,Annelida_Polychaeta_Sabellida_Serpulidae_Pileolaria_,16
BHAK-1748,Annelida,Polychaeta,Sabellida,Serpulidae,Pseudochitinopoma,Pseudochitinopoma occidentalis,Annelida_Polychaeta_Sabellida_Serpulidae_Pseudochitinopoma_Pseudochitinopoma occidentalis,16
BHAK-0123,Annelida,Polychaeta,Sabellida,Serpulidae,Salmacina,Salmacina tribranchiata,Annelida_Polychaeta_Sabellida_Serpulidae_Salmacina_Salmacina tribranchiata,1
BHAK1332,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,Serpula columbiana,Annelida_Polychaeta_Sabellida_Serpulidae_Serpula_Serpula columbiana,7
BHAK-0252,Annelida,Polychaeta,Sabellida,Serpulidae,,,Annelida_Polychaeta_Sabellida_Serpulidae__,18
BHAK1060,Annelida,Polychaeta,Sabellida,Spirorbidae,Bushiella,Bushiella abnormis,Annelida_Polychaeta_Sabellida_Spirorbidae_Bushiella_Bushiella abnormis,1
